mouse kid,mouse liv
GO:0019752,GO:1903509
GO:0010810,GO:1905952
GO:0015031,GO:0005996
GO:0051054,GO:0031396
GO:0090066,GO:0006302
GO:0006082,GO:0019439
GO:0090087,GO:0046488
GO:2000145,GO:0035967
GO:0042886,GO:0009410
GO:1901361,GO:0010769
GO:0015833,GO:0010906
GO:0051236,GO:0019218
GO:0032271,GO:1901617
GO:0030833,GO:0051235
GO:0046907,GO:0044255
GO:0044281,GO:0043488
GO:0072659,GO:0045913
GO:0050658,GO:0031647
GO:0050657,GO:1903322
GO:1903362,GO:0000724
GO:0043436,GO:0072522
GO:0030100,GO:0009451
GO:0051050,GO:0045333
GO:0006631,GO:0006665
GO:0048514,GO:1901615
GO:0009101,GO:0000077
GO:1905475,GO:0010770
GO:0040012,GO:0031668
GO:0070085,GO:1901136
GO:0007005,GO:0032368
GO:0099111,GO:1901361
GO:0120032,GO:0000725
GO:0010506,GO:0006417
GO:0010721,GO:0031398
GO:0032535,GO:0050773
GO:0019439,GO:0007005
GO:2001242,GO:0032868
GO:0072001,GO:0010256
GO:0006886,GO:0010212
GO:0040013,GO:0046907
GO:2000146,GO:0016482
GO:0031589,GO:0046034
GO:0051270,GO:0006631
GO:0031330,GO:1901362
GO:0008064,GO:0051650
GO:0043543,GO:0000041
GO:0071417,GO:0006518
GO:0030832,GO:0048024
GO:0006643,GO:1901566
GO:0045184,GO:0001889
GO:0019637,GO:0006629
GO:0051345,GO:0016197
GO:0060491,GO:0044403
GO:0080135,GO:0061013
GO:0050708,GO:0061008
GO:0062012,GO:0043487
GO:0050878,GO:0006457
GO:0044265,GO:0031331
GO:0043161,GO:0042176
GO:1901699,GO:0071496
GO:0001655,GO:0032434
GO:0061138,GO:0035966
GO:0071214,GO:0007030
GO:0104004,GO:0009894
GO:0006629,GO:0032869
GO:0051271,GO:1901135
GO:0044283,GO:0051648
GO:0060341,GO:1903362
GO:0006511,GO:0006633
GO:0010498,GO:1901800
GO:0043632,GO:0009152
GO:1901990,GO:0006164
GO:0110053,GO:0015850
GO:0031345,GO:0034248
GO:0001763,GO:0006109
GO:0032787,GO:0043604
GO:1903532,GO:0006605
GO:0072594,GO:0043161
GO:0070848,GO:0044271
GO:1901215,GO:1901576
GO:1903792,GO:0010821
GO:0031331,GO:0070482
GO:0051603,GO:0043484
GO:0001568,GO:0010675
GO:0002064,GO:1903076
GO:1901135,GO:2000058
GO:0019216,GO:0048511
GO:0001894,GO:0009791
GO:0019941,GO:0009058
GO:0051656,GO:0006886
GO:0044257,GO:0031329
GO:0010959,GO:0050821
GO:0032956,GO:0010498
GO:0001944,GO:1903364
GO:0032970,GO:0043434
GO:0071363,GO:0006402
GO:0016311,GO:0010608
GO:0043254,GO:0018130
GO:0120031,GO:0015931
GO:0051924,GO:0009896
GO:0051493,GO:0008380
GO:0007264,GO:0048545
GO:0051640,GO:0006914
GO:0050920,GO:0061919
GO:0090407,GO:0044249
GO:0009611,GO:1903311
GO:0062197,GO:0071375
GO:0009057,GO:0006412
GO:0051259,GO:0030258
GO:0016192,GO:0034249
GO:0043271,GO:0043043
GO:0043434,GO:0022618
GO:0006979,GO:0050658
GO:0009259,GO:0050657
GO:0034248,GO:0042752
GO:0030163,GO:0001666
GO:1902903,GO:0044242
GO:0060249,GO:0006839
GO:0042326,GO:0050684
GO:0001933,GO:0022604
GO:0060828,GO:0044248
GO:0044248,GO:0036293
GO:0045732,GO:0016071
GO:1901137,GO:1904375
GO:1901652,GO:1901991
GO:1901575,GO:0071826
GO:0033036,GO:0061136
GO:0030031,GO:0031330
GO:0016071,GO:0051236
GO:0019693,GO:0030705
GO:0048878,GO:0045727
GO:0022603,GO:0034641
GO:0009150,GO:0000209
GO:0043087,GO:0034654
GO:0051649,GO:0018205
GO:0010243,GO:0009895
GO:1901214,GO:1901653
GO:0010608,GO:0019438
GO:0032870,GO:1901575
GO:0050767,GO:1901360
GO:0090287,GO:1901652
GO:0008104,GO:1901990
GO:0007169,GO:2001252
GO:0006790,GO:0016311
GO:0006811,GO:1901988
GO:0055086,GO:0072594
GO:0022604,GO:1902115
GO:0002791,GO:0010970
GO:0043085,GO:0010876
GO:0031329,GO:0015031
GO:0044403,GO:0006397
GO:0051051,GO:0009725
GO:0006793,GO:1901137
GO:0030111,GO:0046483
GO:1990778,GO:0009056
GO:0048812,GO:1903050
GO:0006796,GO:0042886
GO:0006897,GO:0006403
GO:0032990,GO:0006139
GO:0043269,GO:0032870
GO:0072521,GO:0006725
GO:1901698,GO:0006869
GO:0006163,GO:0006796
GO:0018193,GO:0061024
GO:0007346,GO:0080135
GO:1901615,GO:0005975
GO:0031400,GO:0016042
GO:1901701,GO:0006793
GO:0044087,GO:0015833
GO:0051347,GO:1901987
GO:0043412,GO:0010506
GO:0048511,GO:0000398
GO:0120039,GO:0000377
GO:0009725,GO:0000375
GO:0009896,GO:0051649
GO:0061024,GO:0010948
GO:0060284,GO:0034622
GO:0050769,GO:0045184
GO:0042592,GO:0032388
GO:0042176,GO:1901565
GO:0022898,GO:0044257
GO:0035239,GO:0045732
GO:0046903,GO:0034976
GO:0060627,GO:0043632
GO:0006810,GO:0033554
GO:0006464,GO:0044265
GO:0036211,GO:0071705
GO:0006417,GO:0015849
GO:0048858,GO:0051259
GO:0034660,GO:0065003
GO:1901987,GO:0034645
GO:0030036,GO:0031667
GO:0045927,GO:0071702
GO:0010876,GO:0006979
GO:1901565,GO:0034660
GO:0043405,GO:0009991
