mouse adr,mouse aor,mouse bfat,mouse bst,mouse cer,mouse hea,mouse hyp,mouse lun,mouse mus,mouse wat,mouse kid,mouse liv
,,GO:0006464,,,,,GO:0051707,GO:0005975,,,
,,GO:0036211,,,,,GO:0034613,GO:0060284,,,
,,GO:0050790,,,,,GO:0045184,GO:0006631,,,
,,GO:0045595,,,,,GO:0006820,GO:0032787,,,
,,GO:2000026,,,,,GO:0010564,GO:0032147,,,
,,GO:0031331,,,,,GO:0015031,GO:2000113,,,
,,GO:0046907,,,,,GO:0070727,GO:0016477,,,
,,GO:0045596,,,,,GO:0008284,GO:0051254,,,
,,GO:1901565,,,,,GO:0030162,GO:0034097,,,
,,GO:0051129,,,,,GO:0006811,GO:0071310,,,
,,GO:0080135,,,,,GO:0008285,GO:0055074,,,
,,GO:0006753,,,,,GO:0015833,GO:0019693,,,
,,GO:0043408,,,,,GO:0042886,GO:0051247,,,
,,GO:0051336,,,,,GO:0044248,GO:0071396,,,
,,GO:0010876,,,,,GO:0009653,GO:0045892,,,
,,GO:0031346,,,,,GO:0006915,GO:0071345,,,
,,GO:0010564,,,,,GO:0031175,GO:0010557,,,
,,GO:0051960,,,,,GO:0051726,GO:0051336,,,
,,GO:0071310,,,,,GO:0045944,GO:1903507,,,
,,GO:0044248,,,,,GO:1901135,GO:0051091,,,
,,GO:0006979,,,,,GO:0012501,GO:0009890,,,
,,GO:0044267,,,,,GO:0009892,GO:0010558,,,
,,GO:0009888,,,,,GO:0008219,GO:1902679,,,
,,GO:0043412,,,,,GO:0030030,GO:0006163,,,
,,GO:0016477,,,,,GO:0031328,GO:0006650,,,
,,GO:0065009,,,,,GO:0009891,GO:0097435,,,
,,GO:0033554,,,,,GO:0031324,GO:0043583,,,
,,GO:0090066,,,,,GO:1901564,GO:0072507,,,
,,GO:0051640,,,,,GO:0055085,GO:0001819,,,
,,GO:1901575,,,,,GO:0006464,GO:0002237,,,
,,GO:0010975,,,,,GO:0036211,GO:0050708,,,
,,GO:0051128,,,,,GO:0010557,GO:0006979,,,
,,GO:0048878,,,,,GO:0006952,GO:0010720,,,
,,GO:0050793,,,,,GO:0044267,GO:0050730,,,
,,GO:0051240,,,,,GO:0048513,GO:0010817,,,
,,GO:0009890,,,,,GO:0048731,GO:0007548,,,
,,GO:0009653,,,,,GO:0016043,GO:0009891,,,
,,GO:0010033,,,,,GO:0048869,GO:0006796,,,
,,GO:1902533,,,,,GO:0006955,GO:0009967,,,
,,GO:0051172,,,,,GO:0010605,GO:0045935,,,
,,GO:1901135,,,,,GO:0120036,GO:0006793,,,
,,GO:0008283,,,,,GO:0009058,GO:0032270,,,
,,GO:0031324,,,,,GO:0051172,GO:0043086,,,
,,GO:0045597,,,,,GO:0030154,GO:0044282,,,
,,GO:0006915,,,,,GO:0043412,GO:0031399,,,
,,GO:1901137,,,,,GO:0006996,GO:0052548,,,
,,GO:0031327,,,,,GO:0048468,GO:1903530,,,
,,GO:0120035,,,,,GO:1901576,GO:0048871,,,
,,GO:0009887,,,,,GO:1903508,GO:0030855,,,
,,GO:0033043,,,,,GO:0045893,GO:0031328,,,
,,GO:0043086,,,,,GO:1902680,GO:0040007,,,
,,GO:0048523,,,,,GO:0051254,GO:0009895,,,
,,GO:0055082,,,,,GO:0009890,GO:0043010,,,
,,GO:0043603,,,,,GO:0031323,GO:0051173,,,
,,GO:0009056,,,,,GO:0044237,GO:0048584,,,
,,GO:0019725,,,,,GO:0044249,GO:0032879,,,
,,GO:0031344,,,,,GO:0019222,GO:0048589,,,
,,GO:0051649,,,,,GO:0071840,GO:0051248,,,
,,GO:0008285,,,,,GO:0022008,GO:0010604,,,
,,GO:1903047,,,,,GO:0080090,GO:0010629,,,
,,GO:0012501,,,,,GO:0008152,GO:0050790,,,
,,GO:0010558,,,,,GO:0007275,GO:0051253,,,
,,GO:0051726,,,,,GO:0032502,GO:0006875,,,
,,GO:0018193,,,,,GO:0071704,GO:0010942,,,
,,GO:1901564,,,,,GO:0019538,GO:0009893,,,
,,GO:0008219,,,,,GO:0048856,GO:0044070,,,
,,GO:0009966,,,,,GO:0060255,GO:0060429,,,
,,GO:0019538,,,,,GO:0044260,GO:0032269,,,
,,GO:2000113,,,,,GO:0051171,GO:0009617,,,
,,GO:0048468,,,,,GO:0044238,GO:0045934,,,
,,GO:0071705,,,,,GO:0045935,GO:0048568,,,
,,GO:0051641,,,,,GO:0006807,GO:0042592,,,
,,GO:1903507,,,,,GO:0010468,GO:0043068,,,
,,GO:0034220,,,,,GO:0007399,GO:0009117,,,
,,GO:0070887,,,,,GO:0009889,GO:0001654,,,
,,GO:1902679,,,,,GO:0034641,GO:0031346,,,
,,GO:0031325,,,,,GO:0031326,GO:0051493,,,
,,GO:0009892,,,,,GO:0043170,GO:0010647,,,
,,GO:0051173,,,,,GO:0009987,GO:0007423,,,
,,GO:0070727,,,,,GO:0065007,GO:0048583,,,
,,GO:0034613,,,,,GO:0050789,GO:0070887,,,
,,GO:0051253,,,,,GO:0050794,GO:0048513,,,
,,GO:0045892,,,,,,GO:0009966,,,
,,GO:0000122,,,,,,GO:0051960,,,
,,GO:0009058,,,,,,GO:0031325,,,
,,GO:0045934,,,,,,GO:0010628,,,
,,GO:0009893,,,,,,GO:0023056,,,
,,GO:0048519,,,,,,GO:0150063,,,
,,GO:0006508,,,,,,GO:0010033,,,
,,GO:0009891,,,,,,GO:0006954,,,
,,GO:0010646,,,,,,GO:0051172,,,
,,GO:0030162,,,,,,GO:0051130,,,
,,GO:0006996,,,,,,GO:0030003,,,
,,GO:1901576,,,,,,GO:0080134,,,
,,GO:0023051,,,,,,GO:0009896,,,
,,GO:0006886,,,,,,GO:0055065,,,
,,GO:1901566,,,,,,GO:0043065,,,
,,GO:0051674,,,,,,GO:0048878,,,
,,GO:0048870,,,,,,GO:0051046,,,
,,GO:0031328,,,,,,GO:0031324,,,
,,GO:0048729,,,,,,GO:0006357,,,
,,GO:0010557,,,,,,GO:0009653,,,
,,GO:0008284,,,,,,GO:0051674,,,
,,GO:0080134,,,,,,GO:0048870,,,
,,GO:0044237,,,,,,GO:0048880,,,
,,GO:0051094,,,,,,GO:0090066,,,
,,GO:0000902,,,,,,GO:0006955,,,
,,GO:0042127,,,,,,GO:0006873,,,
,,GO:0048522,,,,,,GO:0051050,,,
,,GO:0055085,,,,,,GO:0010646,,,
,,GO:0016192,,,,,,GO:0048523,,,
,,GO:0009967,,,,,,GO:0023051,,,
,,GO:1903508,,,,,,GO:0060627,,,
,,GO:0045893,,,,,,GO:2001233,,,
,,GO:0006812,,,,,,GO:0009892,,,
,,GO:1902680,,,,,,GO:0044087,,,
,,GO:0010604,,,,,,GO:0055086,,,
,,GO:0042886,,,,,,GO:0043269,,,
,,GO:0044260,,,,,,GO:0051707,,,
,,GO:0060322,,,,,,GO:0043207,,,
,,GO:0010605,,,,,,GO:0055082,,,
,,GO:0048518,,,,,,GO:0010605,,,
,,GO:0023056,,,,,,GO:0051049,,,
,,GO:0065008,,,,,,GO:0065009,,,
,,GO:0010647,,,,,,GO:0048519,,,
,,GO:0048583,,,,,,GO:0019637,,,
,,GO:0048731,,,,,,GO:0055080,,,
,,GO:0040011,,,,,,GO:0044283,,,
,,GO:0051254,,,,,,GO:0051246,,,
,,GO:0044249,,,,,,GO:0050767,,,
,,GO:0045935,,,,,,GO:0098771,,,
,,GO:0045944,,,,,,GO:0034654,,,
,,GO:0015833,,,,,,GO:0032880,,,
,,GO:0048513,,,,,,GO:0060341,,,
,,GO:0044238,,,,,,GO:0048598,,,
,,GO:0042221,,,,,,GO:0043270,,,
,,GO:0042592,,,,,,GO:0009607,,,
,,GO:0044092,,,,,,GO:0042330,,,
,,GO:0033036,,,,,,GO:0007010,,,
,,GO:0071702,,,,,,GO:0048731,,,
,,GO:0006810,,,,,,GO:0032268,,,
,,GO:0008104,,,,,,GO:0006935,,,
,,GO:0006820,,,,,,GO:0048518,,,
,,GO:0008152,,,,,,GO:0009605,,,
,,GO:0071704,,,,,,GO:0048522,,,
,,GO:0015031,,,,,,GO:0044255,,,
,,GO:0010629,,,,,,GO:0048869,,,
,,GO:0022607,,,,,,GO:0009894,,,
,,GO:0051179,,,,,,GO:0044419,,,
,,GO:0051234,,,,,,GO:1903793,,,
,,GO:0006807,,,,,,GO:0044092,,,
,,GO:0006811,,,,,,GO:0019725,,,
,,GO:0080090,,,,,,GO:0030154,,,
,,GO:0048584,,,,,,GO:0006629,,,
,,GO:0045184,,,,,,GO:0009889,,,
,,GO:0006928,,,,,,GO:0008283,,,
,,GO:0031323,,,,,,GO:0040011,,,
,,GO:0048869,,,,,,GO:0031326,,,
,,GO:0030154,,,,,,GO:0050801,,,
,,GO:0022008,,,,,,GO:0043009,,,
,,GO:0044085,,,,,,GO:0018193,,,
,,GO:0051171,,,,,,GO:0006355,,,
,,GO:0019222,,,,,,GO:0080135,,,
,,GO:0016043,,,,,,GO:1903506,,,
,,GO:0007275,,,,,,GO:2001141,,,
,,GO:0032502,,,,,,GO:0044281,,,
,,GO:0048856,,,,,,GO:0010556,,,
,,GO:0007399,,,,,,GO:2000112,,,
,,GO:0007166,,,,,,GO:0065008,,,
,,GO:0071840,,,,,,GO:0009792,,,
,,GO:0009889,,,,,,GO:0019438,,,
,,GO:0031326,,,,,,GO:0018130,,,
,,GO:0043170,,,,,,GO:0006915,,,
,,GO:0010556,,,,,,GO:0010468,,,
,,GO:0060255,,,,,,GO:0051128,,,
,,GO:2000112,,,,,,GO:0042221,,,
,,GO:0006950,,,,,,GO:1901362,,,
,,GO:1903506,,,,,,GO:0120035,,,
,,GO:2001141,,,,,,GO:0006082,,,
,,GO:0006355,,,,,,GO:0007275,,,
,,GO:0010468,,,,,,GO:0080090,,,
,,GO:0051252,,,,,,GO:0009790,,,
,,GO:0019219,,,,,,GO:0007155,,,
,,GO:0034641,,,,,,GO:0060322,,,
,,GO:1901360,,,,,,GO:0051252,,,
,,GO:0009987,,,,,,GO:0031344,,,
,,GO:0050789,,,,,,GO:0032502,,,
,,GO:0050794,,,,,,GO:0048856,,,
,,GO:0065007,,,,,,GO:0051171,,,
,,,,,,,,GO:0019219,,,
,,,,,,,,GO:0060255,,,
,,,,,,,,GO:0022610,,,
,,,,,,,,GO:0019222,,,
,,,,,,,,GO:0012501,,,
,,,,,,,,GO:0006928,,,
,,,,,,,,GO:0008219,,,
,,,,,,,,GO:0031323,,,
,,,,,,,,GO:0098542,,,
,,,,,,,,GO:0006464,,,
,,,,,,,,GO:0036211,,,
,,,,,,,,GO:0048468,,,
,,,,,,,,GO:0006952,,,
,,,,,,,,GO:0006950,,,
,,,,,,,,GO:0033043,,,
,,,,,,,,GO:0043412,,,
,,,,,,,,GO:0048699,,,
,,,,,,,,GO:0051179,,,
,,,,,,,,GO:0007165,,,
,,,,,,,,GO:0023052,,,
,,,,,,,,GO:0006810,,,
,,,,,,,,GO:0051234,,,
,,,,,,,,GO:1901564,,,
,,,,,,,,GO:0007154,,,
,,,,,,,,GO:0051716,,,
,,,,,,,,GO:0008152,,,
,,,,,,,,GO:0050896,,,
,,,,,,,,GO:0006996,,,
,,,,,,,,GO:0016043,,,
,,,,,,,,GO:0050794,,,
,,,,,,,,GO:0071704,,,
,,,,,,,,GO:0050789,,,
,,,,,,,,GO:0065007,,,
,,,,,,,,GO:0044237,,,
,,,,,,,,GO:0071840,,,
,,,,,,,,GO:0044238,,,
,,,,,,,,GO:0032501,,,
,,,,,,,,GO:0009987,,,
,,,,,,,,GO:0008150,,,
