KID,LIV
GO:1901568,GO:0043632
GO:0048609,GO:0009894
GO:0032504,GO:0034655
GO:0042110,GO:0006518
GO:0044703,GO:0044248
GO:0007259,GO:0016071
GO:0097696,GO:1901575
GO:0051606,GO:1901137
GO:0009145,GO:0051338
GO:0009206,GO:0019941
GO:0009205,GO:0006364
GO:0034612,GO:0051726
GO:0009199,GO:0043549
GO:0009144,GO:0007346
GO:0009201,GO:0006511
GO:0007283,GO:0016072
GO:0050912,GO:1901565
GO:0050907,GO:0044257
GO:0050906,GO:0009056
GO:0001580,GO:0007264
GO:0050878,GO:0006163
GO:0050909,GO:0048193
GO:0048232,GO:0051603
GO:1902600,GO:0044265
GO:0007600,GO:0034470
GO:0007606,GO:0030163
,GO:0009057
,GO:0045859
,GO:0006325
,GO:0055114
,GO:0006259
,GO:0046907
,GO:0006974
,GO:0043085
,GO:0033554
,GO:0008104
,GO:0000278
,GO:1903047
,GO:0140014
,GO:0033036
,GO:0070727
,GO:0034641
,GO:0034613
,GO:1901564
,GO:0051649
,GO:0042886
,GO:0006886
,GO:0044237
,GO:0051276
,GO:0044238
,GO:0071704
,GO:1901360
,GO:0051641
,GO:0015031
,GO:0008152
,GO:0006807
,GO:0015833
,GO:0046483
,GO:1901576
,GO:0009892
,GO:0006796
,GO:0006725
,GO:0009058
,GO:0006793
,GO:0010629
,GO:0045184
,GO:0006139
,GO:0065003
,GO:0044249
,GO:0007049
,GO:0010605
,GO:0071705
,GO:0006508
,GO:0043933
,GO:0071702
,GO:0048519
,GO:0044267
,GO:0031324
,GO:0043170
,GO:0090304
,GO:0016070
,GO:0044271
,GO:0048523
,GO:0019538
,GO:0010467
,GO:0044260
,GO:0044085
,GO:0006996
,GO:0071840
,GO:1901362
,GO:0009059
,GO:0034645
,GO:0043412
,GO:0018130
,GO:0016043
,GO:0019438
,GO:0034654
,GO:0006810
,GO:0051179
,GO:0009987
,GO:0008150
,GO:0065007
,GO:0050794
,GO:0050789
,GO:0048869
,GO:0051716
,GO:0050896
,GO:0009966
,GO:0055085
,GO:0030154
,GO:0048856
,GO:0023051
,GO:0010646
,GO:0032502
,GO:0048583
,GO:0009967
,GO:0034220
,GO:0023056
,GO:0007275
,GO:0007154
,GO:0023052
,GO:0007165
,GO:0098662
,GO:0048731
,GO:0010647
,GO:0009605
,GO:0098660
,GO:0098655
,GO:0007166
,GO:0048513
,GO:0006952
,GO:0022414
,GO:0000003
,GO:0019932
,GO:0098609
,GO:0032501
,GO:0007267
,GO:0007268
,GO:0098916
,GO:0099536
,GO:0099537
,GO:0015672
,GO:0048584
,GO:0007155
,GO:0022610
,GO:0045087
,GO:0098542
,GO:0051704
,GO:0002376
,GO:0043207
,GO:0051707
,GO:0009607
,GO:0071805
,GO:0006813
,GO:0051606
,GO:0042391
,GO:0006954
,GO:0099177
,GO:0009617
,GO:0050804
,GO:0003008
,GO:0006955
,GO:0048609
,GO:0002682
,GO:0032504
,GO:0007186
,GO:0009790
,GO:0002768
,GO:0030155
,GO:0043900
,GO:0050877
,GO:0009952
,GO:0002521
,GO:0019953
,GO:0048729
,GO:0050776
,GO:0002764
,GO:0050778
,GO:0002684
,GO:0003002
,GO:0046425
,GO:1904892
,GO:0007389
,GO:0044703
,GO:1902476
,GO:0002429
,GO:0002250
,GO:0032103
,GO:0006821
,GO:0007600
,GO:0002757
,GO:0007606
,GO:0001816
,GO:0042742
,GO:0002253
,GO:0032943
,GO:0046651
,GO:0070661
,GO:0051249
,GO:0050851
,GO:0048598
,GO:0031347
,GO:0002694
,GO:0046649
,GO:0050865
,GO:0001817
,GO:0045785
,GO:0006493
,GO:0045321
,GO:0001501
,GO:0006959
,GO:0042110
,GO:0002696
,GO:0050867
,GO:0031349
,GO:0001775
,GO:0006022
,GO:0042113
,GO:0003341
,GO:1903037
,GO:0050830
,GO:0045088
,GO:0002831
,GO:0007159
,GO:0030098
,GO:0050863
,GO:0022407
,GO:0007218
