KID,LIV
Hist2h3c2,Hist2h3c2
Cyyr1,Cyyr1
Mtor,Wipf2
Pgk1,Mtor
Sfrp2,Srpk1
Zfp692,Pgk1
Pgam1,Zfp692
Tbl1x,Pgam1
Olfr1340,Slc38a2
Amdhd2,Tbl1x
Arrdc3,Amdhd2
Flot1,Arrdc3
Trim8,Flot1
Zfand6,Rnf111
Tpd52l2,Fam108c
Fam108c,Opalin
Nt5c3,Mapre2
Mapre2,Rgs5
Spcs2,Spcs2
Pank3,Atg2a
Osbpl6,Arpm1
Atg2a,Sprtn
Rnf141,Rnf141
Hdgf,Hdgf
Ypel2,Wdr81
Ganab,Psmd3
Sfswap,Ypel2
Ugdh,Ganab
Manba,Sfswap
Vnn1,Ugdh
Kpnb1,Manba
Rnf186,Vnn1
4930512B01Rik,Kpnb1
Man2a1,Rbbp4
Gm53,Tulp4
Tm9sf4,Styx
Slc12a9,Man2a1
Cct6b,Tssc4
Kdm4b,Galt
Gm4788,Tsc22d4
A4gnt,Nfs1
Sec61g,Srgap3
Sec23b,Znrf1
Tmem214,Tmem214
Spata1,Podxl
Cd209f,Thg1l
Podxl,Gfm2
Sik1,Klb
Thg1l,Zmiz2
Gfm2,Phf20
Epb4.1l2,Fcer1g
Gfpt2,Gfra1
Zmiz2,Ap2b1
Parg,Krt18
Ctsh,Gphb5
Gfra1,Psma3
Peli2,H3f3a
Ap2b1,Nme1
Rpl24,Mettl2
Psma3,Clcn5
Nme1,Ppdpf
Clcn5,Atf3
Atg3,Bclaf1
Rnf38,Arl6ip4
Znrf3,Znrf3
Slc22a22,Mocos
Rnaseh2b,Rnaseh2b
Tasp1,Eif4b
Stk19,Foxo3
Eefsec,Zfp418
Eif4b,1700009P17Rik
Foxo3,1300002K09Rik
Zfp418,Serpinb9
Noc3l,Usp38
1300002K09Rik,Ski
Evl,Mrpl19
Bcl7b,Plxna2
Adra1a,Cars
Tceal8,Cpeb2
Serpinb9,Desi2
Sdha,Rtp4
4930453N24Rik,Tsc22d3
Fgfr1op,Shroom2
Pard3,Abcg2
Uba3,Akr1d1
Syna,Lsmd1
Hif1an,Tubb6
Pqlc3,Pgap1
Tmem91,Fbxl20
Spire1,2810428I15Rik
