SAMPLE2,SAMPLE6
YDR097C,YDR303C
YDR098C,YDR305C
YDR099W,YDR306C
YDR100W,YDR309C
YDR101C,YDR311W
YDR103W,YDR313C
YDR104C,YDR316W
YDR105C,YDR318W
YDR106W,YDR319C
YDR107C,YDR321W
YDR109C,YDR322C-A
YDR110W,YDR322W
YDR111C,YDR324C
YDR113C,YDR325W
YDR115W,YDR326C
YDR116C,YDR328C
YDR117C,YDR329C
YDR119W,YDR330W
YDR119W-A,YDR331W
YDR120C,YDR333C
YDR121W,YDR334W
YDR123C,YDR336W
YDR124W,YDR337W
YDR127W,YDR340W
YDR128W,YDR341C
YDR130C,YDR342C
YDR131C,YDR343C
YDR132C,YDR346C
YDR133C,YDR347W
YDR135C,YDR348C
YDR138W,YDR349C
YDR139C,YDR352W
YDR140W,YDR353W
YDR141C,YDR356W
YDR143C,YDR357C
YDR144C,YDR358W
YDR146C,YDR359C
YDR147W,YDR361C
YDR148C,YDR362C
YDR151C,YDR364C
YDR152W,YDR365C
YDR153C,YDR366C
YDR154C,YDR368W
YDR155C,YDR371W
YDR156W,YDR374C
YDR157W,YDR375C
YDR158W,YDR376W
YDR159W,YDR377W
YDR160W,YDR379C-A
YDR161W,YDR380W
YDR162C,YDR381W
YDR164C,YDR382W
YDR165W,YDR383C
YDR167W,YDR385W
YDR171W,YDR388W
YDR172W,YDR389W
YDR173C,YDR390C
YDR174W,YDR393W
YDR175C,YDR394W
YDR178W,YDR395W
YDR179W-A,YDR397C
YDR180W,YDR398W
YDR181C,YDR400W
YDR182W,YDR401W
YDR183C-A,YDR402C
YDR183W,YDR403W
YDR184C,YDR404C
YDR185C,YDR405W
YDR186C,YDR406W
YDR189W,YDR407C
YDR190C,YDR408C
YDR191W,YDR414C
YDR192C,YDR415C
YDR194C,YDR418W
YDR195W,YDR419W
YDR196C,YDR420W
YDR197W,YDR424C
YDR198C,YDR425W
YDR202C,YDR427W
YDR204W,YDR428C
YDR206W,YDR429C
YDR207C,YDR430C
