CycID1,CycID,JTK_pvalue,JTK_BH.Q,JTK_period,JTK_adjphase,JTK_amplitude,LS_pvalue,LS_BH.Q,LS_period,LS_adjphase,LS_amplitude,meta2d_pvalue,meta2d_BH.Q,meta2d_period,meta2d_phase,meta2d_Base,meta2d_AMP,meta2d_rAMP,X4,X4.1,X8,X8.1,X12,X12.1,X16,X16.1,X20,X20.1,X24,X24.1,X28,X28.1,X32,X32.1,X36,X36.1,X40,X40.1
Synpcc7942_0505,"""fbpI, g",0.000382986,0.003990109,24,22,530.1218749,0.040064354,0.342205783,22.89855072,20.31222648,4321.251128,0.00018543,0.001907938,23.44927536,21.14795873,3853.023053,693.3367341,0.179946168,4608.493627,3586.307993,3431.378673,2887.015725,3389.420067,3498.546413,3969.62359,4378.853964,4123.908548,4514.620803,4056.384549,4371.266693,4159.932164,3622.292294,2827.472436,3036.568597,2899.980101,3532.695168,3828.027638,4226.357916
Synpcc7942_2335,"""fbpII,",2.27E-06,0.000176658,24,12,1226.990105,0.007918603,0.287325741,22.99376299,11.11458205,1581.114933,3.39E-07,3.15E-05,23.4968815,11.55310854,1003.857961,1298.138403,1.293149483,197.2564608,311.7409186,2050.289352,2195.174235,2670.357367,1914.281622,1014.070916,477.1963005,179.421708,166.4272496,190.56683,164.9206531,252.9176434,553.4632652,2503.643351,2107.193094,2810.334694,2072.814619,1166.977975,931.2026001
Synpcc7942_1407,"""futB, h",0.695784384,1,20,4,17.88040705,0.756982457,1,22.16432866,1.633719325,166.0002642,0.864377893,1,21.08216433,2.885193255,153.8004436,22.73842463,0.147843687,197.4065197,216.6435842,102.4284073,146.9429466,111.7775316,175.3029028,110.6357321,155.4147553,157.0679518,191.9482354,149.4733074,172.6070095,143.839188,195.5074763,98.2654734,155.434688,121.0296802,176.7527262,120.495081,155.648296
Synpcc7942_0320,"""galE, g",1,1,20,0,27.40364426,0.852285735,1,20.6728972,19.68609983,185.4330529,0.988509495,1,20.3364486,19.85107991,166.1918462,27.67119416,0.166501515,184.0671423,211.2998336,135.1529129,172.5208322,137.8151428,156.5141733,188.2475629,213.5298075,137.096767,227.5847166,143.4045929,198.1974182,143.5744469,150.1319162,98.3874077,159.9910958,113.8269277,194.3221302,148.2940746,202.0715678
Synpcc7942_2046,"""gcsH, g",0.001623662,0.010339947,24,12,184.3522366,0.058910618,0.38990102,21.98807157,12.04964336,1274.73735,0.000980882,0.006618959,22.99403579,12.04896894,1162.325139,240.9159928,0.207270741,887.662279,1158.121648,1169.81381,1495.025257,1283.234009,1514.453704,1062.834287,1190.080502,1039.874596,1138.876928,810.8768624,1057.584242,979.4057969,1234.213251,1275.782979,1564.370915,1354.893994,1574.741873,935.0805869,1136.767232
Synpcc7942_0603,"""glgC, a",0.191227213,0.414769825,28,22,240.1850357,0.391792609,1,25.78088578,20.22391649,1898.918498,0.269066424,0.629676123,26.89044289,21.11125901,1743.524695,193.4823422,0.110971954,1938.640778,1334.908725,1532.599184,1480.61241,1597.868642,1526.249168,1937.541577,1995.009763,1854.929101,1899.849703,1834.329305,1825.69179,1977.177263,1460.429629,1717.581159,1579.052586,1685.240045,1331.909466,1871.783151,1649.210687
Synpcc7942_0890,"""glsF, g",0.101156161,0.253910122,24,20,124.5878423,0.627814855,1,21.9009901,19.91496904,2521.267696,0.238571662,0.571995796,22.95049505,19.99735777,2408.991165,151.1245032,0.062733523,2735.166011,2173.410221,1959.206999,2183.065816,2323.581529,2576.688201,2433.257076,2486.536225,2413.477093,2658.357976,2379.171821,2565.465914,2389.05481,2260.935475,2118.397922,2371.950913,2481.523921,2387.986314,2592.533664,2331.943089
Synpcc7942_0842,"""gor, gs",1,1,24,22,55.28900391,0.999703238,1,20.51948052,0.133074301,776.623607,0.999999956,1,22.25974026,21.40443126,757.746422,39.47093025,0.052089893,661.6222203,942.3729271,719.1768423,653.2384266,663.2304074,743.3936015,795.1817893,781.962832,683.610972,799.7013359,754.0906842,821.012656,717.3191111,833.4935978,591.3457979,788.836275,661.2440337,905.0600452,736.8358795,815.5767798
Synpcc7942_0485,"""gpmB, c",0.039652498,0.127894715,24,22,57.81723205,0.18414448,0.68108704,21.31021195,20.18119266,524.2180692,0.04322393,0.148451844,22.65510597,21.1110072,466.9805408,114.1796511,0.244506229,547.6578415,585.8749903,309.8183871,355.2319594,316.3445661,465.4543889,440.2004412,606.5435535,391.0681347,596.3266274,475.3362517,569.3706447,436.2749308,468.6541388,243.3435585,360.1097779,315.3371067,476.5736412,462.3979716,635.2988612
Synpcc7942_1831,"""guaB, g",0.013910279,0.057156097,28,24,462.1424334,0.077311202,0.441524985,25.42528736,23.15252434,3181.708602,0.008425966,0.038853064,26.71264368,23.61067789,2779.742513,478.9168994,0.172288224,2627.746809,2778.014125,1813.237842,2404.307433,2249.2547,2710.515042,2253.438392,3041.040573,2889.31704,3358.667026,3281.314906,3441.999614,3078.95252,2956.564951,2040.718294,2424.859584,2755.299615,2482.372866,2509.349776,2534.615967
