Human_blood,Human_muscle
COL16A1,HMGN2
COL19A1,HN1
COL20A1,HN1L
COL5A3,HNRNPC
COL6A2,HNRNPD
COL9A1,HNRNPH2
COMMD6,HNRNPH3
COMMD7,HNRNPU
CORO1A,HNRPDL
COX6B1,HNRPLL
COX7A2L,HOOK2
CPA3,HP1BP3
CPNE5,HR
CPO,HSD17B11
CPSF2,HSD17B7
CPT2,HSF2
CRABP2,HSP90AA1
CRAMP1L,HSP90AA4P
CRBN,HSPA14
CREB3,HSPA1A
CREBZF,HSPA8
CRIP2,HSPB1
CRNDE,HSPD1
CRY2,HSPH1
CRYBA1,IAH1
CRYL1,IDI1
CSF1R,IFFO2
CSK,IGFBP3
CSNK2B,IGSF9
CST9,IKBKB
CTDSPL,IL17RD
CTDSPL2,IL20RA
CTH,IL20RB
CTLA4,IL22RA2
CTNNAL1,IL2RB
CTRB2,IL33
CTSL1,IMPA2
CTU1,IMPAD1
CUBN,ING2
CUL1,INPP1
CUX1,INPP5J
CXCL14,INSIG1
CXCL5,INTS10
CXorf1,INTS3
CXorf36,INTS6
CXorf59,INTS8
CXorf61,IPPK
CXXC5,IRS2
CYFIP1,ITGA2
CYFIP2,ITPRIP
CYLC2,JAZF1
CYP11B2,JMJD1C
CYP17A1,JTB
CYP1A1,KBTBD3
CYP26A1,KCTD1
CYP3A43,KCTD11
CYTH2,KCTD7
CYTL1,KDM3A
DAO,KDM5A
DBC1,KHDRBS1
DBF4B,KHNYN
DBNDD1,KIAA0146
DCAF17,KIAA0226
DCAF6,KIAA0247
DCBLD2,KIAA0319L
DCHS2,KIAA0430
DCLK1,KIAA0753
DCLK2,KIAA0907
DCLRE1A,KIAA1107
DCLRE1B,KIAA1539
DCP1B,KIAA1737
DCPS,KIAA1797
DCTN2,KIAA2013
DCUN1D1,KIF13B
DDAH1,KIF20A
DDX17,KIF3B
DDX18,KLC1
DDX43,KLF13
DDX59,KLF2
DDX60L,KLF4
DEFA4,KLF8
DEFB123,KLF9
DENND2C,KLHL12
DERL3,KPNA1
DES,LARP1
DEXI,LARS
DFNB31,LBR
DGKE,LDLR
DGKQ,LIMA1
DHCR24,LIN54
DHDDS,LIN9
DHPS,LLPH
DHRS12,LMF1
DHRS3,LNX2
DHX16,LOC100130691
DHX33,LOC100192204
DHX9,LOC642852
DIABLO,LONRF1
DIAPH3,LPCAT3
DIP2C,LPP
DISP1,LRBA
DLK2,LRP4
DLX5,LRRC1
DNAH7,LRRC16A
DNAJB1,LRRC3
DNAJC17,LRRC58
DNAJC27,LRRFIP2
DNAJC5,LSM14A
DNAJC5B,LTV1
DNAJC9,LYPLAL1
DNASE1L3,LYRM7
DNM1,LYSMD4
DNM2,MACF1
DNPEP,MAFG
DOCK11,MAGOH
DOHH,MAN1C1
DOK3,MAP2K3
DOK7,MAP3K5
DOPEY2,MAP4
DPF1,MAP7D1
DPM1,MAP7D3
DPYD,MAPK13
DPYSL3,MAPK14
DSC1,MARVELD2
DSCC1,MAT1A
DSCR8,MAT2A
DSG2,MBD4
DUOX2,MBNL1
DUS3L,MBNL2
DUSP14,MCTS1
DUSP23,ME2
DUSP7,MED14
DYDC1,MED16
DYNC1I2,MED20
DYNLRB1,MED27
E2F3,MED31
E2F7,MEGF6
EBNA1BP2,MEPCE
ECHDC3,MET
ECT2L,METTL3
EDDM3B,MFAP3L
EDNRB,MGA
EEA1,MIER1
EEF1A1,MINA
EFCAB3,MKI67IP
EFCAB6,MLH1
EFHB,MLKL
EHBP1,MMAB
EHD4,MOBKL3
EHF,MON2
EIF1AY,MORC4
EIF2AK1,MPHOSPH6
EIF2AK3,MPHOSPH8
EIF2S3,MPHOSPH9
EIF3G,MPP7
EIF4A2,MPZL2
EIF4E,MRPL1
EIF4E2,MRPL30
EIF4ENIF1,MRPS14
EIF4H,MRPS25
ELAVL2,MRPS5
ELAVL3,MT1X
ELK4,MTDH
ELOF1,MTERFD3
ELOVL4,MTG1
EMILIN1,MTHFD2L
EMR1,MTHFSD
EN1,MTIF3
ENOPH1,MTM1
ENSA,MTMR6
ENTPD7,MTR
EP300,MTRF1
EPB41,MTRR
EPHX1,MTSS1
EPM2A,MUC15
EPN1,MUM1
EPO,MUS81
EPT1,MUT
ERCC5,MUTED
ERN1,MVD
ESM1,MVK
ESPNL,MYCBP2
ESYT1,MYL5
EXOSC1,MYL6
EXOSC5,MYO5B
EXOSC6,N6AMT1
EXTL1,NAGK
EYS,NAMPT
F2RL2,NAPEPLD
F5,NBAS
F8,NBEAL2
FADS2,NCKAP1
FAM104A,NCOA5
FAM105B,NDFIP2
FAM110A,NDRG1
FAM120AOS,NDRG3
FAM125B,NDUFAF3
FAM127B,NEDD4
FAM135A,NEO1
FAM13A,NFIL3
FAM150B,NFKBIA
FAM153A,NFYA
FAM161B,NFYB
FAM163A,NGDN
FAM167A,NHS
FAM167B,NIT1
FAM169A,NLK
FAM175B,NMD3
FAM177A1,NMI
FAM190B,NOL12
FAM19A3,NONO
FAM19A5,NPAS2
FAM20C,NPL
FAM24A,NPM1
FAM26E,NPRL2
FAM32A,NPTN
FAM38B,NR1D2
FAM60A,NSDHL
FAM70A,NSMCE1
FAM71A,NUP133
FAM78A,NUP43
FAM96B,NUP50
FAM9A,NUP62CL
FANCE,NUPL2
FANCI,NUTF2
FAR1,OBFC2A
FAT1,OCA2
FAT2,OCLN
