ADR,AOR,BFAT,BST,CER,HEA,HYP,KID,LIV,LUN,MUS,WAT
Tle3,Tbl1x,Adss,Zfp933,Car4,Ivl,Necap1,Arhgef6,Dclre1a,Atp5k,Ypel2,Jarid2
Bcas3,Taf4a,Acsm5,Sppl2b,Phtf1,Gm889,2210408I21Rik,Pigh,Arhgef7,Slc40a1,Myh9,Zbtb8b
Pde1b,Zfand6,Zfhx2,Klf9,Tceal8,Triobp,Mterf,Arhgef7,Dpy19l1,Ces2g,Man2a1,Gm6505
Usp2,Mapre2,Adipor2,Epha4,Serpinb9,Plcb4,Olfr131,Hk1,Tgfbr2,Ogg1,Dlc1,Tsen15
Tomm34,Spcs2,Nsun5,Rnf216,Arhgef4,Ano4,Trpc1,Dpy19l1,Ncapd3,Pde1a,Spata1,Gigyf1
Smpdl3a,Pank3,Acyp1,Fgl2,Ctsw,Fcer2a,Chaf1b,Tgfbr2,Parp16,Selm,Tsnax,Glrx
Kcnf1,Sprtn,Pars2,Xbp1,Slc16a4,Uxs1,Iscu,Fmnl1,Pabpn1,Gm5150,Epb4.1l2,1810013L24Rik
Grtp1,Wdr81,Smpx,Srrm2,Tsc22d3,Dpy19l3,Ablim2,Cdc25a,Fh1,Mrps5,Klb,Plcxd3
Csrnp1,Ypel2,Dhrs9,Dock1,Akr1d1,Ing1,Slc38a3,Vdac3,F7,Arhgef6,Mocos,Mogat2
Osgin2,Slc6a6,Olfr1195,Fermt2,Dock10,Angpt1,Ankrd13a,Agbl2,Acy1,Ttbk2,Evl,Fbxl21
Hpgd,Man2a1,Zswim6,3110052M02Rik,Gm10610,Taf4b,Grlf1,Zfp750,Paqr3,Hk1,Adra1a,Alpk3
Dmrt2,Dlc1,Ppp2r1b,Mpeg1,Eif2b3,Cited4,Tsga14,Cav2,Clec16a,Glt8d2,Serpinb9,Mcart1
Senp2,Galt,Bmp1,Vkorc1l1,Pdia4,Il1r1,Sars2,Ints8,Dcaf7,Clic3,Mrpl19,Ppp2ca
Ipmk,Ubd,Ash2l,Lrrc45,Arsg,Stxbp2,Ift80,Prpf4b,Rps27a,Fmnl1,Pard3,Rnf19b
Slit1,Efcab4a,Cacna1a,A730020M07Rik,Fam84b,Shb,Anxa3,Parp16,Anxa9,Gria3,Plxna2,Tmem184c
Slc6a9,Epb4.1l2,Sema3c,Uba6,Npepps,Pkdcc,4922505G16Rik,Pabpn1,9130011J15Rik,Ints8,Dgkz,Bag4
Cnpy2,Klb,Tmx1,Lpcat3,Gpr12,Uhmk1,Crebl2,Acy1,Clasrp,Sri,Tsc22d3,Tanc2
Tmem71,Pear1,Large,Abp1,Stxbp4,Fndc5,Rhoa,Srsf9,Erf,Tbx5,Rps6ka2,Fndc3b
Tbck,Rnaseh2b,Orc6,Phldb1,Zgpat,Usp2,Wfdc10,Defb22,Sun1,Acy1,Slfn2,St3gal4
Rhoj,Dtx2,Dazap2,Slc41a1,Tmem62,Snai3,Gpam,Ap3b2,Cct2,Lepr,Dock10,Gsta4
