"CycID","ARS_pvalue","ARS_BH.Q","ARS_period","ARS_adjphase","ARS_amplitude","JTK_pvalue","JTK_BH.Q","JTK_period","JTK_adjphase","JTK_amplitude","LS_pvalue","LS_BH.Q","LS_period","LS_adjphase","LS_amplitude","meta2d_pvalue","meta2d_BH.Q","meta2d_period","meta2d_phase","meta2d_Base","meta2d_AMP","meta2d_rAMP","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"Q0115","0.478927485791481","0.485893994947786","6.12269938650307","5.13791329637131","0.0414200817986257","1","1","6","5.5","0.0675286976033153","0.999488080361754","0.999999999903122","13.8349514563107","6.20108991212999","0.208498855825505","0.961239527700648","0.973269056246877","8.65255028093792","7.0576829153752","0.212177304100294","0.0282332709070097","0.0282332709070097","0.158","0.251","0.063","0.33","0.203","0.215","0.18","0.144","0.266","0.158","0.158","0.259","0.155","0.135","0.029","0.166","0.271","0.474","0.114","0.439","0.083","0.369","0.406","0.102"
"Q0120","0.0005409712772807","0.00217104081384874","13.6712328767123","5.65517697347067","0.164646043346637","0.00554314858274598","0.0168854546185254","13","6.5","0.107480230740355","0.0820209127114445","0.320708595964143","13.0733944954128","6.9093674440751","0.567623477263097","3.24693988861258e-05","0.000124261850763492","13.2482091240417","6.37426698814809","0.440329924631245","0.158525089319126","0.158525089319126","0.309","0.394","0.349","0.477","0.562","0.613","0.402","0.543","0.395","0.431","0.325","0.296","0.263","0.286","0.246","0.488","0.627","0.818","0.447","0.77","0.462","0.444","0.706","0.281"
"Q0130","0.414050277765336","0.424903954926443","7.56060606060606","3.11982437960858","1.97648045894623","1","1","14","3.5","2.88428856045993","0.914954044547571","0.999999999903122","15","4.3302685374519","11.4135774393759","0.925017363060797","0.95055128857797","12.1868686868687","3.84883697609665","8.15622176726889","2.57832933553846","0.316118100893891","7.241","10.993","8.656","7.257","11.077","6.09","4.577","6.511","1.962","5.56","5.102","5.245","3.016","9.283","7.059","7.399","6.383","27.987","6.284","14.225","5.394","9.652","10.414","8.625"
"Q0140","0.0730072627662766","0.0880206776208557","14.6764705882353","9.55473642325792","0.0837855460874082","0.360413649579116","0.534716387688528","15","9","0.0618718433538229","0.38126009703839","0.668449009776684","15","9.06673210645676","0.261487443359546","0.162429025664873","0.212097983157833","14.8921568627451","9.20983035429713","0.215438720479522","0.0902641240660099","0.0902641240660099","0","0.235","0.098","0.294","0.158","0.251","0.16","0.268","0.377","0.165","0.245","0.303","0.193","0.315","0","0.129","0.153","0.087","0.213","0.256","0.13","0.177","0.316","0.574"
"Q0160","0.264048414643868","0.280456114136004","6.12269938650307","0.889487387635317","0.163313654351927","0.209527646666752","0.33940570207524","15","1.5","0.257386868351903","0.305567079718516","0.602845323029583","15","1.7623776035793","0.657097471793122","0.226598898262432","0.285863225500299","12.040899795501","1.45588184668344","0.431782476974669","0.136227046181471","0.136227046181471","1.247","0.53","0.166","0.621","0.267","0.283","0.135","0.303","0","0","0.138","0.341","0.491","1.066","0.459","0.438","0.519","1.028","0.361","0.868","0","0.449","0.535","0.108"
"Q0250","0.126516219798503","0.143307900268306","5.87058823529412","5.40421082033038","0.353193853616456","1","1","6","5.5","0.343477118961365","0.74739221100286","0.910129628008299","5.63241106719367","5.09153952662099","1.3845215440589","0.58057470976476","0.649710408349331","5.83433310082926","5.33102280632904","0.86146396184567","0.373601869308726","0.373601869308726","1.427","0.744","0.155","0.582","0.625","0.398","0.254","0.283","0.359","0.521","0.648","0.479","0.459","0.832","0.43","1.844","1.458","2.063","0.901","0.813","0","2.52","2.004","0.91"
"Q0275","0.303987840118255","0.319079435017743","14.056338028169","4.360450011446","0.36355062537002","1","1","13","3","0.313955410846827","0.957391366070392","0.999999999903122","5","0.4399035169873","1.43085358506705","0.871962791797676","0.910369962255385","10.6854460093897","2.26098389855543","0.974737441111747","0.0935522783269429","0.0935522783269429","0.605","0.579","1.013","0.977","1.05","0.742","0.355","1.058","0.558","0.243","0.484","0.298","1.429","0.776","0.535","1.243","0.454","3.208","0.946","1.896","0.383","1.437","1.87","1.037"
"Q0297","0.407197691107345","0.41843786446052","5.06598984771574","2.46498199886031","0.557147198782168","1","1","13","3","1.29966226382087","0.999937879933773","0.999999999903122","15","8.5013965618867","1.8736141072982","0.937386772191752","0.957586352467938","11.0219966159052","4.88272719900398","1.24937441230451","0.154257316577907","0.123467645133995","2.528","1.208","0.756","2.834","1.826","1.291","0","0.69","0","0","0","0","2.984","0","0.698","0.998","0.592","4.019","0","1.979","0","3.41","4.067","0"
"YAL001C","0.057627530294307","0.0718184131907691","14.2571428571429","0.344512664425625","1.94292634617306","1","1","15","1","3.16766160302044","0.944435747365755","0.999999999903122","7.1608040201005","1.3634307718833","33.0783233137572","0.443440323132178","0.516864364342309","12.1393156257478","1.12229618241313","31.0332631708341","1.60934141652142","0.0518585946847485","36.833","27.868","30.427","27.223","29.507","26.778","29.313","28.179","30.618","30.542","29.186","23.032","37.58","34.281","36.878","31.443","32.418","31.129","32.274","30.341","31.431","32.406","33.847","30.846"
"YAL002W","0.0241081960311711","0.0355155458890862","11.7411764705882","8.71823272845492","1.21471971555364","0.0868887985173833","0.158855447244195","14","8.5","2.11000663506066","0.11955919033032","0.372043675345837","12.6106194690265","9.2048023425125","23.0268966346689","0.0109377048815703","0.0193104431834066","12.7839319798716","8.87570976365757","22.4290510683366","1.46455599433359","0.0652972785104192","18.573","19.101","18.744","19.732","22.085","21.716","20.524","23.748","23.621","23.332","24.219","21.42","22.526","19.312","20.889","23.303","22.363","25.06","24.834","22.646","22.79","27.589","26.539","24.104"
"YAL003W","0.00506486397651418","0.0110235274782956","14.056338028169","10.7935034074842","164.9888992061","0.00011883934605879","0.000886982966647894","14","10","133.844707076896","0.205346145586835","0.488013420157486","13.8349514563107","10.4450962248545","530.484518800728","1.77253436020042e-05","7.25758333177877e-05","13.9637631614932","10.4135576780282","431.722405630774","179.285605151265","0.415279825213884","319.926","152.529","277.233","308.072","330.164","371.493","392.161","415.928","442.213","447.363","504.061","1074.443","540.704","123.935","260.06","291.521","291.649","331.054","358.003","408.243","421.181","472.915","416.948","1042.539"
