CycID,JTK_pvalue,JTK_BH.Q,JTK_period,JTK_adjphase,JTK_amplitude,LS_pvalue,LS_BH.Q,LS_period,LS_adjphase,LS_amplitude,meta2d_pvalue,meta2d_BH.Q,meta2d_period,meta2d_phase,meta2d_Base,meta2d_AMP,meta2d_rAMP,0,3,6,9,12,15,18,21
Cre02.g095900,0.015014056,0.02497277,21,0,2.309410747,0.110892588,0.203303078,25.56521739,20.99992264,21.14391821,0.012317218,0.021205525,23.2826087,21.20376912,16.94508995,4.118957537,0.243076758,23.9819,14.59905,12.8162,16.2905,12.9338,16.8231,17.9846,21.1102
Cre02.g095950,0.087651174,0.120191971,21,13.5,0.028589459,0.483785789,0.619898659,20,12.04215818,0.216730857,0.176423615,0.237731228,20.5,12.76089178,0.127628991,0.07798613,0.07798613,0.2044435,0.0294697,0.05124505,0.136986,0.247799,0.1587625,0.04696845,0.07625815
Cre02.g096000,0.015014056,0.02497277,24,21,0.750900733,0.057915378,0.135630238,20,16.75060198,1.519973567,0.006997697,0.012858387,22,18.83783109,1.042981565,0.847623641,0.812692831,2.16467,0.64668,0.325495,0.2350675,1.100766,1.641495,1.215385,1.430845
Cre02.g096050,0.00423193,0.008454411,21,13.5,0.114963542,0.179945485,0.287674464,20,9.523885815,0.643297415,0.006229358,0.011625632,20.5,11.47027719,0.383599235,0.219867404,0.219867404,0.259221,0.170254,0.2567895,0.861172,0.4476895,0.371012,0.282539,0.178017
Cre02.g096100,0.00097863,0.002519158,21,16.5,7.091757756,0.02449631,0.101644165,20.75294118,15.44049587,18.56803344,0.00027901,0.00083781,20.87647059,15.96767238,10.97482864,7.112389621,0.648063843,10.062835,8.104615,3.7693,3.62193,16.8238,18.55285,14.8693,12.54585
Cre02.g096150,0.927661379,1,21,12,24.83995412,0.98925327,1,20,9.109869256,254.0281713,0.996515743,1,20.5,10.52595085,218.2252596,25.31802258,0.116017837,221.3925,135.9145,228.1525,302.8665,165.45,254.089,214.236,194.544
Cre02.g096200,0.04531654,0.066622016,24,3,1.548634561,0.142119254,0.242234685,28,7.74E-05,8.729037626,0.038933041,0.059894697,26,1.625035919,4.25494889,1.524727274,0.358342089,9.555935,3.813065,5.95191,4.51389,1.185445,2.92211,2.412485,3.12606
Cre02.g096250,0.363257419,0.436950812,21,13.5,0.130942741,0.999998099,1,20,9.477197164,1.631012134,0.731107003,0.857894722,20.5,11.44634926,1.16246749,0.296574768,0.255125215,2.535985,0.2192125,0.614989,2.40195,0.8076655,1.21379,0.723525,0.455334
Cre02.g096293,2.21E-07,1.18E-05,24,21,17.04990013,0.00913725,0.101644165,23.39522546,20.99992264,58.63102128,4.24E-08,4.01E-06,23.69761273,21.00338067,41.49234636,17.77603391,0.428417177,56.3255,43.1647,24.4781,23.6942,31.0702,45.4045,50.5783,58.94685
Cre02.g096300,2.26E-05,0.000170427,24,21,3.976383164,0.026455553,0.102190859,22.44274809,20.99992264,15.56415724,9.18E-06,7.08E-05,23.22137405,21.02359684,11.57425983,4.453956673,0.384815681,15.871,12.54175,6.22572,7.337745,9.28707,13.0424,13.7119,15.7117
Cre02.g096350,0.04531654,0.066622016,21,15,0.14958844,0.448469176,0.583042513,20.6557377,9.964395007,2.244069449,0.099501728,0.141302983,20.82786885,12.46224041,1.873889519,0.37357929,0.19936036,1.85505,0.996565,1.57573,2.58112,1.880835,2.13747,1.921335,1.716545
Cre02.g096400,0.00266115,0.005726238,21,9,0.42046832,0.044492531,0.118489782,21.25301205,6.598007292,1.464188483,0.001188919,0.002756059,21.12650602,7.806475153,0.856514116,0.593928191,0.593928191,0.262824,1.211505,1.17578,1.67634,0.698005,0.566813,0.461914,0.4019265
Cre02.g096450,0.015014056,0.02497277,24,16.5,0.201095158,0.253520433,0.373011427,24.29752066,17.13811909,0.686221575,0.025011959,0.040011184,24.14876033,16.81773228,0.498157699,0.251660214,0.251660214,0.418246,0.11968255,0.209323,0.6392285,0.708215,0.4393225,0.9687165,0.481594
Cre02.g096455,0.00423193,0.008454411,21,15,0.963824019,0.045418678,0.119807107,22.10526316,14.93042335,2.266795104,0.001836925,0.004017846,21.55263158,14.97594981,1.36679916,0.995287489,0.728188543,0.8746115,0.5357985,0.4766535,1.40325,2.264525,1.76048,2.570725,0.8326505
Cre02.g096500,0.279912985,0.344442478,24,9,0.842429341,0.843775231,0.95857113,20,9.082194059,17.55690138,0.577031035,0.697128969,22,9.120206733,12.80441761,2.386545972,0.186384578,15.30815,7.0422,13.24725,20.663,12.23095,11.1266,11.4336,9.8891
Cre02.g096550,0.00423193,0.008454411,21,15,0.152212513,0.175016378,0.281790016,20.95011876,12.93747894,0.742702484,0.006079293,0.01138383,20.97505938,13.96753298,0.5885743,0.216992339,0.216992339,0.5480265,0.3086505,0.36231,0.83204,0.602349,0.775336,0.7205865,0.448358
Cre02.g096600,0.00097863,0.002519158,21,16.5,0.63194133,0.027612706,0.102469542,21.05011933,16.51479029,2.412755575,0.000311269,0.000914388,21.02505967,16.50740978,1.800467736,0.668854706,0.371489415,1.908835,1.470015,0.9910395,1.47323,1.910795,2.472285,2.334195,1.99107
