CycID,JTK_pvalue,JTK_BH.Q,JTK_period,JTK_adjphase,JTK_amplitude,LS_pvalue,LS_BH.Q,LS_period,LS_adjphase,LS_amplitude,meta2d_pvalue,meta2d_BH.Q,meta2d_period,meta2d_phase,meta2d_Base,meta2d_AMP,meta2d_rAMP,0,6,12,18
GATM,0.025103818,0.176307643,24,6,79.907388,0.315013288,1,20,6.000004483,1070.085742,0.04618195,0.390307519,22,6.050002466,940.2597826,118.8499097,0.126401141,815.3970362,1070.085742,888.5930492,865.6668041
GATS,0.180927477,0.604252977,24,6,0.288405385,0.999976854,1,25.23497918,6.63E-05,9.989932591,0.490244608,1,24.61748959,3.077218544,9.706252793,0.305610588,0.03148595,9.88090979,9.919533035,9.459271062,9.45832479
GBA,1,1,24,18,1.426351779,1,1,28,17.99994003,46.48157793,1,1,26,18.10711502,44.80929932,0.855947339,0.019102002,44.46913774,43.60432991,45.35240067,46.48158357
GBA2,0.093439491,0.406266971,18,3,1.327445472,1,1,20,6.000003058,30.24456774,0.314932311,1,19,4.433334786,30.01592976,2.053930881,0.068428028,20.85459058,30.24456774,27.68050951,32.42482825
GBA3,1,1,24,0,0.11685617,1,1,23.79136287,17.9999566,6.142854486,1,1,23.89568144,20.98728144,6.108260805,0.096345197,0.015772934,6.512623989,6.003406031,6.077032737,6.142854724
GBAS,0.008388495,0.084511476,24,18,16.13441358,0.089672035,1,20,11.99998923,244.6171177,0.006162501,0.083125294,22,14.84999408,227.0399849,23.84943973,0.105045108,243.1252467,211.6574955,244.6171177,232.5445693
GBE1,0.07535871,0.354398625,24,18,8.672880445,0.831748093,1,23.63231198,17.99993369,132.7268834,0.236284115,1,23.81615599,18.00103923,123.3228478,7.775636271,0.06305106,113.9324326,113.6285832,126.1495535,132.7269198
GBF1,1,1,18,15,0.175912003,1,1,20,12.00001824,20.58360626,1,1,19,13.61667533,20.36693943,0.319907932,0.015707217,19.90027797,20.21222693,20.58360626,20.14347758
GBGT1,0.466894602,1,24,3,0.247508677,0.99999263,1,21.26315789,6.63E-05,6.885348441,0.822503066,1,22.63157895,1.414508974,6.707795099,0.219797167,0.032767424,7.400269891,6.88416201,6.457533865,6.632741746
GBP1,1.55E-07,4.53E-05,24,6,9.247836634,0.038830049,1,20.78392945,5.999989841,81.4165713,1.20E-07,1.30E-05,22.39196472,6.031097614,58.69518371,19.20751652,0.327241782,42.35770105,81.4165713,48.95003745,42.3482616
GBP2,0.000958067,0.01983351,18,9,45.36284696,0.012781937,0.478506176,20,5.999999586,458.9198145,0.000150752,0.004394809,19,7.599999803,395.9545029,62.29535968,0.15732959,336.6864968,458.9198145,388.3958906,339.6833664
GBP3,0.620448882,1,18,6,3.332824579,0.999221967,1,20,6.000001108,36.74789539,0.916366015,1,19,6.016667193,33.0098882,3.914593918,0.118588524,33.13460569,36.74789539,31.13570385,31.45005734
GBP4,1,1,18,9,0.066150779,1,1,20,5.999996382,4.814967629,1,1,19,7.599998282,4.746405662,0.071050462,0.014969319,4.214165161,4.814967629,4.732223298,4.740852217
GBP5,0.369346391,0.929986854,24,15,0.092393266,0.999133871,1,28,11.99999997,4.879229087,0.736904144,1,26,13.69642856,4.778808821,0.119924303,0.02509502,4.559333239,4.825028265,4.879229087,4.855340428
GBP6,1,1,18,6,0.858899781,1,1,23.92554992,6.00000335,16.52747669,1,1,20.96277496,6.122298001,15.82585645,0.928730259,0.05868436,25.57198045,16.52747669,16.15797315,14.97908748
GBP7,0.001122365,0.021900928,24,6,13.03096015,0.000995228,0.095027492,20,6.000005019,121.2072411,1.64E-05,0.000725109,22,6.050002761,96.17259059,22.43550309,0.233283755,71.55861612,121.2072411,84.48916649,84.52806418
GBX1,1,1,18,9,0.086067015,1,1,20,12.00000551,4.691487248,1,1,19,10.45000262,4.619731489,0.053590435,0.011600336,4.793130862,4.580819485,4.691487248,4.569981272
GBX2,0.204095693,0.650320659,18,12,0.236015694,0.923567887,1,20,11.99999834,5.413270923,0.503035601,1,19,12.03333255,5.080484513,0.348914785,0.068677463,4.942787399,4.888843514,5.413270923,4.890204513
GC,1,1,24,6,0.038592458,1,1,26.36420137,6.000005684,4.034387006,1,1,25.18210068,6.013253277,3.992622404,0.042932101,0.010752858,4.385851148,4.034387006,4.000621738,3.936626748
GCA,0.009923715,0.093754007,18,6,5.623767556,0.886033631,1,20,5.999980271,73.27860422,0.050416091,0.417445817,19,6.016657296,68.54824621,4.64335943,0.067738559,69.24147671,73.27860422,63.57296829,68.65723828
GCAT,0.561533274,1,24,0,0.919219082,0.999999925,1,22.84329564,6.63E-05,15.52027565,0.885585257,1,23.42164782,3.40E-05,14.84364791,1.088125956,0.073305832,17.55915687,14.55364108,13.96178189,15.42629647
GCC1,0.109393363,0.446827591,24,15,3.579894488,0.990459093,1,28,11.99999701,73.53207943,0.349145025,1,26,13.69642718,70.5084067,3.264511543,0.046299607,62.50951501,70.30317916,73.53207943,72.72459129
GCC2,1,1,18,6,1.159866999,1,1,28,6.000000008,90.13779001,1,1,23,6.297619051,89.69800761,0.395084533,0.004404608,83.42496289,90.13779001,87.76087199,92.13079766
GCDH,0.144878823,0.529426031,24,9,0.912065028,0.999850079,1,23.95256917,5.999985498,11.30079816,0.424722114,1,23.97628458,7.498516398,10.6762718,0.81831932,0.076648416,8.951914781,11.30079816,11.1312516,10.18703093
GCET2,0.073331016,0.347943592,18,9,0.217172467,0.999998983,1,20,5.999995997,5.530502963,0.264928019,1,19,7.599998099,5.344838811,0.188367768,0.035242928,6.470743414,5.530502963,5.310684981,5.277738063
GCFC1,0.42021972,1,18,6,2.050397364,1,1,20,6.000000041,56.8640541,0.784540789,1,19,6.016666686,55.54288128,1.279569693,0.02303751,55.84173869,56.8640541,52.49045249,57.45000861
GCG,1,1,18,12,0.145603837,1,1,20,11.99999999,5.778889452,1,1,19,12.03333333,5.612433274,0.151122175,0.02692632,5.102739915,5.446373488,5.778889452,5.591924246
GCGR,1,1,18,0,0.210301902,0.999996033,1,27.77996071,6.63E-05,5.466793506,1,1,22.88998035,2.73E-05,5.150033572,0.159767341,0.031022582,4.299009064,5.129465405,4.97726663,5.052492192
GCH1,1,1,24,0,1.469558421,1,1,28,6.000005507,120.0305606,1,1,26,2.785716842,119.1077096,5.149679389,0.043235483,103.8191222,120.0305606,117.09222,121.9368787
GCHFR,0.134330487,0.507351325,18,3,3.402327087,0.995590618,1,20,6.63E-05,30.90799844,0.402802168,1,19,1.583364832,28.26403764,3.761031397,0.133067732,42.59972074,29.09968567,24.56750257,31.03234292
GCK,0.160052079,0.561801971,24,0,0.175156356,0.649369569,1,28,6.63E-05,5.777028311,0.339238115,1,26,3.08E-05,5.328896619,0.273388174,0.051302961,5.979288146,5.221711573,5.10264221,5.158154602
GCKR,1,1,18,15,0.019911037,1,1,20,11.99999998,5.642944346,1,1,19,13.61666666,5.60716794,0.050192735,0.00895153,4.709763606,5.567193831,5.642944346,5.603283498
GCLC,9.56E-05,0.004197431,24,12,8.143801118,0.002899616,0.18667378,20,12.00000411,66.34530755,4.46E-06,0.000243037,22,12.10000226,55.39122892,12.32261979,0.222465181,41.00948195,54.32682311,66.34530755,49.392125
GCLM,0.018391545,0.142406697,24,12,1.926727435,0.848560701,1,21.94516296,12.00001059,26.717495,0.080529942,0.579952076,22.97258148,12.02405614,23.25826496,3.565716411,0.153309648,27.49344681,23.00016987,26.717495,22.50444686
GCM1,1,1,24,6,0.059081604,1,1,28,4.61E-05,4.815739939,1,1,26,3.250021395,4.751989983,0.004695695,0.000988153,4.585120463,4.77421224,4.726010359,4.692302712
GCM2,1,1,24,12,0.037827609,1,1,27.52757949,12.00000031,4.279970143,1,1,25.76378975,12.05650628,4.245474875,0.058899744,0.013873535,4.338814998,4.275211914,4.279970143,4.178696567
GCN1L1,1,1,18,0,2.075453226,1,1,28,12.00000042,177.5310291,1,1,23,4.928571602,177.6203636,3.988613744,0.022455836,165.8346388,175.7657457,177.5310291,174.745451
GCNT1,0.26410064,0.755792975,18,3,0.039128457,1,1,28,5.99999792,6.572215532,0.615730844,1,23,4.380951527,6.55534616,0.159887336,0.024390373,6.722019637,6.572215532,6.367492623,6.920813896
GCNT2,1,1,18,12,0.241945933,1,1,20,11.99999539,11.78433832,1,1,19,12.03333114,11.31779375,0.443349329,0.03917277,12.88047462,11.08013175,11.78433832,11.21120177
GCNT3,1,1,24,12,0.065746965,1,1,23.19300164,6.000001394,5.152693176,1,1,23.59650082,8.951318276,5.025858499,0.08722478,0.0173552,4.792760282,5.152693176,5.020319005,4.908214258
GCNT4,0.003128979,0.043447815,18,3,0.114367098,0.579846381,1,25.6004828,6.63E-05,4.626134766,0.013266434,0.152968999,21.8002414,1.816715018,4.580639275,0.271093226,0.0591824,4.090294606,4.460158675,4.42568888,4.863776488
