CycID,JTK_pvalue,JTK_BH.Q,JTK_period,JTK_adjphase,JTK_amplitude,LS_pvalue,LS_BH.Q,LS_period,LS_adjphase,LS_amplitude,meta2d_pvalue,meta2d_BH.Q,meta2d_period,meta2d_phase,meta2d_Base,meta2d_AMP,meta2d_rAMP,4,8,12,16,20,24,28,32,36,40
Synpcc7942_0297,1,1,28,14,195.4776381,0.843572451,1,22.0758483,16.06357336,2713.321404,0.987072128,1,25.03792415,15.36895048,2549.346742,180.4690331,0.070790305,1961.377766,2625.672056,2688.295002,2640.180043,2634.065128,2611.648579,2255.234618,2754.712414,2697.173651,2658.407632
Synpcc7942_0296,1,1,28,24,51.15681544,0.970733753,1,27.58104738,23.74756351,652.6629847,0.999567503,1,27.79052369,23.87418682,606.3778076,49.89904167,0.082290349,580.5287668,527.3066701,607.4857931,579.3683833,624.5807482,682.023094,655.1573718,538.6545654,585.1546979,581.2989975
Synpcc7942_0295,7.43E-05,0.001390329,28,22,318.8562011,0.014947898,0.291627884,23.99132321,21.4793098,2162.154077,1.63E-05,0.000327923,25.99566161,21.84947324,1819.657543,485.7884572,0.266966968,1838.835201,1265.967008,1537.241846,1887.675544,2206.722894,2139.863717,1951.040737,1252.463568,1270.824941,1809.180884
Synpcc7942_0294,0.013910279,0.057156097,24,0,810.8115811,0.19848713,0.706953566,21.9009901,1.706856051,9869.195276,0.019029327,0.076301167,22.95049505,0.894324667,9343.888715,804.1869061,0.086065548,10086.06531,8702.194257,8516.89602,8977.281258,9909.928046,9937.64402,9785.762353,8270.751923,9120.733813,9154.563476
Synpcc7942_0293,0.000173248,0.002451068,24,0,173.4775037,0.032430694,0.328261905,22.80412371,0.978938815,881.5865968,7.35E-05,0.000977325,23.40206186,0.502303596,763.5667773,189.4754007,0.248145161,982.5981387,605.9380615,565.5142558,727.9355452,852.2773541,881.0528817,870.9050667,616.7955394,590.4821165,686.4596881
Synpcc7942_0292,0.001623662,0.010339947,24,12,46.61705007,0.061233445,0.400187079,23.58208955,12.13191158,278.5812839,0.001015713,0.006835473,23.79104478,12.06746596,254.9945559,45.84085726,0.179771906,219.1966216,280.8463654,316.2078826,256.4526728,212.9950696,219.014152,242.4026628,292.2508353,282.6375756,294.4749551
Synpcc7942_0291,0.000806317,0.006626167,28,10,174.456198,0.087741438,0.464587455,25.07936508,10.35205265,1193.212117,0.000746837,0.005390218,26.53968254,10.21664422,1051.499919,217.276754,0.206635065,1040.425522,1188.146995,1375.283754,1012.458541,968.5756826,897.9385305,895.3341539,1078.809194,1396.201882,1108.994421
Synpcc7942_0290,0.819887421,1,20,18,14.99745439,0.96684462,1,20,19.81372991,253.0058521,0.976853354,1,20,18.90686495,252.9302282,16.57343331,0.065525712,263.4897217,206.2005837,265.6499151,243.4508678,252.3158153,249.2669028,245.0613742,231.4569283,303.0482316,269.3619414
Synpcc7942_0289,0.125826047,0.302128117,24,20,98.21087154,0.182026877,0.679530622,21.55945419,19.93135871,1455.927663,0.109398619,0.310961827,22.7797271,20.02129337,1346.133254,163.6557111,0.121574674,1368.990703,1127.914132,1308.022534,1401.111124,1483.43232,1394.863313,1292.107525,1072.7589,1395.109727,1431.853105
Synpcc7942_0288,0.101156161,0.253910122,24,22,63.91984072,0.330326432,0.93361273,21.9009901,20.48609951,408.6803656,0.146982727,0.393534398,22.95049505,21.25287804,355.6253698,95.05825828,0.267298867,430.6617639,224.9229726,285.9418164,393.4364393,395.4709523,401.8680533,362.516115,238.5434926,290.9489167,402.7237926
Synpcc7942_0287,1,1,28,0,11.9271278,0.999890745,1,24.5232816,23.65092678,159.8165811,0.999999994,1,26.2616408,25.79454448,150.2623148,11.8746519,0.079026148,167.5185654,132.4338628,141.0903905,160.6763968,153.1018294,147.6368394,176.164333,137.9963117,127.2254507,142.9495897
Synpcc7942_0286,0.064166371,0.181355579,24,22,73.05269646,0.468213665,1,23.18658281,21.31271148,574.1414651,0.135349493,0.367926023,23.5932914,21.65686744,530.8788745,70.41593148,0.132640297,561.5278135,422.9270551,479.4473791,581.4582756,528.2944601,579.3019111,581.3472168,431.5074726,471.8036242,558.2935194
Synpcc7942_0285,0.001623662,0.010339947,24,22,323.3784963,0.082460277,0.453747483,22.25352113,20.346006,2386.86717,0.001327966,0.008266588,23.12676056,21.17196205,2073.811738,482.6138803,0.23271827,2453.881464,1550.248889,1804.294703,2219.10134,2396.483654,2345.929707,2082.818716,1386.736087,1714.262848,2101.054609
Synpcc7942_0284,0.125826047,0.302128117,24,22,290.6572106,0.591068432,1,21.98807157,20.26341043,2312.613528,0.267640205,0.627517995,22.99403579,21.13416838,2085.168472,374.7984892,0.179744944,2433.57116,1665.092404,1825.411384,2282.156758,2265.058416,2255.576823,2105.46344,1535.763082,1811.120578,2160.770924
Synpcc7942_0283,1,1,20,16,11.98634583,0.998892442,1,20,0.150952928,102.1481962,0.999999386,1,20,18.07547646,99.50197718,8.051037905,0.080913346,89.10916765,84.97178932,88.9313071,103.1525395,108.4526136,97.25626568,87.94781264,115.6346745,116.2747831,103.2888188
