PLEKHO1,BSDC1
GDPD3,ZBTB8A
DENND4C,ZNF362
WIPI1,CPAMD8
CD79B,NR2F6
CDC42EP4,VMA21
FBXO21,SLC37A1
PRPS2,PDE9A
PITPNM2,RRP1B
UPF1,RRP1
RBM20,TRAPPC10
PAPD5,C21orf2
CNBP,ITGB2
DDB2,RALGDS
MBD2,LSS
SGSH,ST6GALNAC6
THOC1,SPTBN4
ZNF366,PPAPDC3
TTC19,TAOK1
COQ2,DEDD2
DVL2,SIK3
RAB7A,SAFB
STARD8,ZBTB7B
SLC25A25,FLAD1
CLPB,SHC1
43896,VPS11
NRP1,IL6R
HCG9,CRTC2
NR6A1,ANO10
TMEM140,RUSC1
PTGDR,PMF1
LHPP,SLC25A44
TGIF2,NBEAL2
WDR82,GPATCH4
YPEL2,FGFR4
TP53INP2,VPS28
PPFIA1,PPP1R16A
CD53,ALKBH4
MTX1,SQSTM1
RBL2,MGAT4B
LTBR,AP2M1
DAZAP1,BDH1
PPP1R3E,PLXDC1
PEX7,FDXR
ZBTB7B,CYGB
STXBP5,TMEM143
IRAK3,ITGA5
NR1D2,ZNF385A
CDK19,CD300LG
MTCH1,ASB16
DET1,JOSD2
SPATA2,LARP4
TRMT5,GRASP
KLHL29,IP6K3
CMAS,LEMD2
MRPL20,BCL6B
HSD17B8,POLR3K
TMBIM6,WDR90
UPF3B,AMDHD2
ABHD14B,FLYWCH2
PTK2B,ZNF75A
PDCD6IP,NEU3
IGSF8,ASRGL1
FKBP15,TAF6L
NEIL1,SLC25A45
ABRA,CMPK1
TMEM110,BEND5
TOP3A,SLC1A7
RPL4,ACOT11
SRPK2,PARS2
CEPT1,PPAP2B
MYO9B,PRKAA2
PRCP,KLHL21
C20orf24,LZIC
HHEX,SLC25A34
ATXN1,PDPN
NR1H3,LRRC38
ZNF512,LAPTM5
ENO1,SYNC
SMAD3,RBBP4
MPST,KIAA1522
FAM76A,CAMK2N1
NCKAP1,SCNN1D
SLC36A1,MXRA8
EWSR1,MYSM1
PTTG1IP,USP1
KCND3,FUBP1
DNAJA3,NEXN
GAB3,GBP2
DRAM1,ATXN7L2
POLR3GL,ZNF326
B3GAT3,VCAM1
CSGALNACT2,SLC30A7
C14orf119,ZNF281
PDCD2L,ZNF496
OVGP1,IGSF8
FKBP4,PEA15
GLB1,OLFML2B
ZC3H10,FCGR3B
NAV3,C1orf74
CHSY1,ATF3
RNF13,SNED1
KLHL24,PKDCC
NGFRAP1,MRPL55
PNO1,REL
STRBP,RFTN2
MLLT10,NUP35
AKR1E2,H3F3A
ANKRD2,SLC16A14
VCAN,INHBB
AGAP3,RPRD2
RPS18,CTSS
KLF9,MSX1
NPM1,LYSMD1
GK,ERCC3
DGKD,RNF149
SAP130,CDC42EP3
CMTM8,S100A11
ZNF302,DHX57
SSRP1,S100A9
CBR3,FZD5
CCDC149,GNPDA2
ADARB1,MRPS18C
DAD1,CGGBP1
SH2B3,GPR155
SPEN,YY1AP1
C12orf57,KBTBD8
WRN,ATP1A1
IL4R,LRRC58
CLTC,TMEM183A
HPRT1,RNF25
GOLGB1,CCDC141
TBRG1,CWC22
APH1A,TGFBR2
SEC24D,ANKZF1
SLC16A7,FBLN2
MYC,STT3B
KATNAL1,PRKCI
CDC27,MNDA
P2RX6,IFI16
KHK,RPL22L1
UMPS,PPM1L
DNMT3A,PPP4R2
SIPA1L2,WDFY3
CRTC3,COX18
TLN1,ADAMTS9
PEBP1,GMPS
BNC2,TIPARP
PFDN6,CCNL1
RRP15,DCLK3
RAB5B,SLMAP
TSC2,CRELD1
DNM2,MTMR14
ABHD5,RCHY1
NBAS,WDR43
NEIL2,CLEC3B
SBF2,LZTFL1
ZKSCAN1,FYCO1
SNRPA,CCR1
USP40,LRRC2
NPAT,FBXO40
DIRC2,DTX3L
ZNF697,TPRA1
NDUFB4,YEATS2
ANKHD1-EIF4EBP3,KLF15
SEMA6B,HEYL
LRP10,BAP1
KLF10,TKT
MAGED2,PRKCD
OOEP,SFMBT1
GFOD1,GNL3
PPP2R1A,ARHGEF3
DCP2,RNF168
PDE7B,ERMAP
NCBP2,SGMS2
PARP12,SHISA5
GTF3C4,SPRY1
TGFB3,APEH
KDELC2,MFSD8
IL12RB2,RAD54L2
PALB2,TEX264
COQ10B,DUSP7
DCP1B,PITX2
ZNF770,SAP30
ORAOV1,ANXA5
MAPKAPK5,ASB5
PPM1B,TMEM144
HYLS1,FAM198B
PIGG,NAA15
HMCN1,FAM160A1
EIF3G,ARFIP1
MRPS27,ABCE1
PHOSPHO1,TMEM184C
ZNRF3,TMEM161B
SKAP2,STARD4
BIRC3,GRPEL2
FAM49A,RHOBTB3
CMKLR1,GPX8
TNNI2,TIGD6
TUFT1,SERINC5
WIPF1,ANKRA2
WWP1,UBLCP1
RAB3D,UTP15
FOSL2,TXLNB
GAB1,CITED2
YTHDF1,SFXN1
PIK3C3,STXBP5
ATP6V0B,STK17A
BET1L,TRA2A
HNRNPH1,GALNT10
MERTK,SAP30L
ZNF594,COG5
RAD1,BMPER
WIBG,ZNF12
CTPS2,CDCA7L
SPIN3,USP49
ITSN1,SYTL3
RFFL,HEY1
ACOX3,ZNF704
GZMA,CTSB
ARID3A,SOX17
ZFYVE16,DLC1
DNASE1,PHKG1
RER1,SUN1
TNFRSF10A,TMEM184A
MDM4,NOS3
VAMP2,INTS1
ABHD4,FASTK
DEPDC7,TMUB1
GAS7,PHAX
NLE1,FOXK1
SPOPL,OSR2
HNRNPA1,YWHAZ
MRPL44,SLC25A32
SECISBP2,DCAF13
MYH10,KIAA1429
REEP4,GEM
CCDC86,ABCA1
TACC1,NFIL3
NIT1,TMEM71
RPL38,MAMDC2
HERPUD1,HGSNAT
CIB2,SVEP1
GSPT1,CYBB
PLEK,DYNLT3
AHSA1,MID1IP1
ZBTB42,ASB11
GPHN,STRBP
VAV2,ATP7A
RIOK1,AQP3
RASD1,VCP
PTCD3,BRWD3
ENPP1,HECTD2
SLC29A2,43898
EDA,SLC16A9
NDST1,CRYL1
ARPC1A,REEP3
ZNF212,C10orf10
CYB5D1,RPUSD4
BAG3,NUDT5
EXOC3,DACT1
MAP1A,BEND7
BCAT2,PDZD8
PCYT1A,ZNF503
BANF1,FAM175B
KDM5A,NSD1
DOCK10,PMPCA
SLC25A20,SDCCAG3
MRTO4,TSC1
GABBR1,HPRT1
UBA2,FAM69B
GSDMD,RET
AIP,DDX21
PFKFB4,KIAA1462
CRK,BTNL9
PAN3,ZFYVE1
NDUFS2,HSPA12A
MTMR1,ISCA2
DICER1,RAPSN
LYSMD4,CLMN
ATP6V1A,ARL5B
AKAP12,TAF1D
RCL1,AMOTL1
JOSD2,TCP11L2
ETFB,SPRED1
TNFRSF12A,ADAMTS15
TESK2,RAB8B
RHOBTB2,RPUSD2
C11orf71,POLL
WDR1,BAG5
PAK1,DPCD
KLHDC1,LARP6
DAAM2,NOLC1
SRGAP2,ALKBH3
PIM2,SGPL1
TRPC4AP,FRS2
EPM2A,CCT2
ALKBH2,ZNF202
UTP18,PLEKHF1
PIGU,SYNPO2L
NCDN,USP54
UEVLD,ATP9B
LGALS1,PPFIBP2
TMED10,KIAA0355
PTDSS1,ST5
ZRANB2,CENPN
SIRT7,ATMIN
ZBTB34,TMEM41B
CCRN4L,LEO1
PGD,WEE1
SASH3,MCM7
PABPC1,ZNF3
GABPB2,TK2
DENND1A,SEC11C
SFXN5,NDEL1
TCF25,RRAD
PRDM2,TMPRSS5
NBL1,ZNF606
SMOC1,B2M
SBNO2,ZNF592
PPM1F,NNMT
MSRB2,SLFN5
CRIP2,CATSPER2
CLP1,LDHD
RNF144A,TMEM170A
CASP3,ANPEP
LHFPL2,NAV2
DSEL,DCTN5
RPS5,TERF2IP
PFKL,CLPX
ARID5B,ZBTB39
NASP,NAB2
HSD17B10,STAT6
PACSIN2,PIP4K2C
ANKRD54,YWHAB
NHSL2,MAPRE2
HECW2,NUDT21
RUFY1,TEF
DHDDS,PHB
SETDB2,SAMD14
PLIN4,GOLGA2
DHRS13,URM1
CASC4,CERCAM
G6PD,DOLPP1
REPS1,C15orf39
TLR4,CRK
CBX7,FBXO22
TRERF1,HDHD2
BACH2,ENGASE
CATSPER2,ART5
ACAT2,ZNF226
SERPINF1,PPP2R3B
MAP2K4,ZNF668
ST6GAL1,CA4
TTYH3,TPM4
HIVEP2,KLHL26
SIX2,CORO6
RGS19,TUBA1A
RBM45,ZNF528
FAM53C,ZNF701
CUTC,SERTAD3
PSME2,NCKAP5L
RAB3A,AXL
ZEB2,ZNF146
PSME3,ZNF283
C16orf72,PPP1R14A
ERLIN2,SEMA6B
ABI3,GLOD4
C1QC,MFSD3
TOMM40L,GPT
CSAD,SLC43A2
LRPAP1,RILP
PNPO,WDR81
IWS1,HSD11B1L
MN1,RCOR2
PLXNA2,ANGPTL4
CPVL,CD320
CD99L2,ZNF558
SLC7A1,NDUFV1
UBE2G1,TK1
RWDD2B,TMEM99
ELP2,ITFG3
PALLD,MLST8
AGAP1,E4F1
ADNP2,RAB3IL1
ZKSCAN3,ATG16L2
GPATCH4,CTNNB1
SLC16A3,SAC3D1
C3,BATF2
SLC35E4,MAP4K2
METRN,SCARA5
MTHFS,RNF187
CDK5,MAPK1IP1L
TCN2,UBTD2
ANO2,IRF2BP2
WDR33,PXK
RNASEL,IRF2
APOBEC2,CX3CR1
GLA,C8orf22
FAT4,XIRP1
NOL9,ARF4
SLC16A5,DTYMK
ACRC,TAP1
ADIPOR1,ING5
KLHL2,MLKL
CUL4A,CDC40
HIST1H2BD,BMP1
MIIP,POLR3D
WDR74,FEN1
IFRD2,ING2
PIP4K2C,TMEM223
ZBTB39,SLC20A2
INTS10,ADAM9
KHDRBS1,AXIN2
ALDH16A1,ZNF30
ENGASE,FAM84B
GOLPH3L,PKIG
ARMC1,SEMA4C
ZNF581,CNNM3
DUSP7,TET2
CASP2,TSPAN5
43893,SNTB2
EMD,STX18
PRKAR1B,ZBTB49
CHRNA10,USP39
RSBN1,TNIP2
MYO6,C2orf68
NDUFA7,TMEM150A
ANTXR2,LRRC28
EXOSC4,MAT2A
ARHGAP26,PLA2G4F
ITGAX,ZNF608
ARFGAP2,TMEM129
PHF10,SPRY3
C6orf89,CEP120
PDGFRB,FEM1B
MNAT1,COMMD8
SCYL3,COL4A3
TIE1,HNRNPH1
LYG1,IRS1
ITGB2,MECP2
FKBP2,UPF3A
PLCL2,DHRSX
CHCHD10,C8orf46
EXT1,HSPBAP1
UBN1,SLC25A6
CORO1A,FAM110B
KDM4B,XPO6
PLEKHO2,MN1
CCNDBP1,CD2BP2
EPHX1,RGS14
TPD52L2,RAB24
GRPEL2,CXCL10
NME7,PGM2
DOCK3,SLC33A1
ZNF746,SNUPN
CAB39,ARL13B
RYBP,PTK2
PTGFRN,MMGT1
RNF111,TM2D2
OSGIN1,CLIC4
WDR11,ZEB2
ARNTL,LUZP1
LFNG,HEXDC
AQP3,SPNS1
TGFBR3,LRRC45
NUDT21,STRA13
MYL5,AGPAT2
OTUD3,MT1E
IMMT,DUS1L
BYSL,LIMS1
ETS1,HNRNPF
CCDC84,CSGALNACT2
PLEKHF1,TM4SF1
RPLP0,OTUD3
ZNF516,KLF13
ZBTB16,ZFPM2
HUS1,ZNF764
SOD2,ZNF747
BATF2,ZNF768
PLEKHB1,ZNF35
OGFRL1,IFFO2
THNSL1,NIPA1
ACAP1,HNRNPA3
RASGRP3,RNF150
MAP1LC3A,VGLL2
SLC16A10,HOXD4
ST6GALNAC3,NANP
BAHCC1,PWWP2A
QSOX1,PDCD6IP
RNASET2,ZNF212
OCEL1,ZNF282
CNOT6L,GLB1
NINJ1,FOS
ITPRIP,SLC30A1
GCC1,DNAJC18
TSPYL2,SPATA24
OPLAH,NPAS2
HMG20B,PA2G4
CARD6,PFKFB3
LITAF,SERPINB9
ZNF580,STAT2
TEX261,ZNF16
PAFAH1B3,RNF34
SLC25A15,SOCS6
UBXN2B,AKAP13
GRWD1,HTRA3
GMCL1,LMOD2
SOCS3,USP32
PBX3,KBTBD2
DDX18,MINA
STAT3,KIAA0232
RPL37,RNF139
DPH3,TANC2
ABHD3,S1PR1
ABR,PYGO1
SFMBT1,TSNARE1
TRRAP,C11orf24
INSIG2,CCBL1
NUP85,INSR
SPTAN1,MFN1
DOCK9,PRKCE
CHCHD6,TADA3
C11orf54,SOCS5
SMYD3,C1GALT1C1
ZNF514,ZNF692
RFT1,RBKS
FOXO1,FAM98B
CENPV,ZNF440
KIF13B,PGAM1
LONRF3,CHD7
FHIT,ZNF524
DYNLL1,DSEL
CREB3L2,ASXL1
EZR,ZNF318
ANXA7,ZNF561
OSBPL2,LRRC8C
LSR,LRRC8D
NDUFS6,PTGER4
ACVR2B,CXXC5
MAML2,PIK3CD
ZNF766,SLC25A33
TXNIP,ENC1
THYN1,ZIK1
PCTP,PLEKHG5
KRT10,ATF7IP
CYB5A,RGS19
RGS10,TCEA2
EDEM1,SPATA5L1
TCIRG1,GATM
CELF2,BCL2
TTC9C,ZNF540
NCAM1,ZNF570
MPDU1,RNMTL1
AVEN,PTEN
UROS,PRNP
RCN3,TLN2
HACL1,ZNF217
SGCB,JMJD1C
SEC22C,SYNPO
ESRRA,ZNF554
MAP3K2,THOP1
FCGRT,USP19
DUSP5,KLF11
PUM1,EIF2AK3
EPC2,ID4
ELF4,NEGR1
WDR36,ZNF131
CENPH,MACROD2
VEGFB,BSG
C1QB,HINFP
ABCD1,POP7
DYNC1LI1,FAM195A
RBM17,GNG12
TNFRSF1B,AFF1
SH3PXD2B,BANP
PLCD1,CHCHD1
RPRD2,EFEMP2
