ADR,AOR,BFAT,BST,CER,HEA,HYP,KID,LIV,LUN,MUS,WAT
Mcm3ap,Efr3b,Nek7,Zic2,2310015B20Rik,Arhgap18,4933426M11Rik,1700016C15Rik,Mgat5,Pyhin1,F930017D23Rik,Usp32
Gm10787,Cys1,Rasal2,Nr1d2,Slc16a9,Sesn1,Ttll5,Desi2,Acmsd,Kmo,Gm9956,Dynll2
Ilvbl,Tmem229b,Pappa2,Chat,Pttg1ip,Gp49a,Fam84a,Acbd3,Pigr,Efcab2,Lims1,Nog
Gadd45b,Zfp36l1,Cacybp,Acin1,Hcn2,Lilrb4,Sox11,Trp53bp2,Pm20d1,Sccpdh,Dna2,Hlf
BC025920,Itpk1,Aph1a,Dock5,Cirbp,Gja1,Tspan13,Bpnt1,Rab7l1,Lin9,Jmjd1c,Kpnb1
Nt5dc3,Serpina3c,Fmo2,Cysltr2,Apc2,Fabp7,Prkd1,Eprs,Nucks1,Plxna2,Slc16a9,Nr1d1
Tmcc3,Gmpr,Prrx1,Cdc42ep1,Plk5,Lims1,Klhl28,Nek2,Slc45a3,Cd34,Reep6,Gjc1
B530045E10Rik,B4galt7,Pbx1,H1f0,Btbd11,P4ha1,Pgf,Irf6,Klhdc8a,Hmgb3,Tmcc3,Polg2
Kitl,Ntrk2,Atp1a2,Tef,Arl1,Rhobtb1,Noxred1,A130010J15Rik,Dstyk,Cops5,Gns,Bptf
Slc6a15,Dapk1,Darc,Gramd4,Btg1,Adora2a,Ero1lb,Cd34,Rbbp5,Prdm14,Stac3,Abca8b
Cnpy2,Glrx,Akt3,Prph,Tmem194,Icosl,Nqo2,Mrpl15,Ppp1r15b,Eya1,Mthfd1l,Nat9
Sarnp,Pfkp,Adss,Mettl7a1,Mthfd1l,Sf3a2,Ly86,Hmgb3,Golt1a,Gm106,Sash1,Srsf2
Mthfd1l,Zfp85-rs1,Ahctf1,Trps1,Ppp1r14c,Timp3,Id4,Sntg1,Etnk2,Kansl3,Tbpl1,Tbc1d16
Plekhg1,Rfesd,Ephx1,Mtss1,Utrn,Nt5dc3,Mef2c,Tram1,Mybph,2010300C02Rik,Eya4,Nfyc
Gm9930,Thbs4,Capn2,Fam135b,Pex3,Ikbip,Cd180,Uggt1,Kdm5b,Rev1,Marcks,Fam49a
Samd5,Scamp1,Kcnk2,Eif2c2,Pex7,Ppp1r12a,Slc38a9,Neurl3,Csrp1,Mettl21e,Slc16a10,Asap2
Pex3,Il17d,Sertad4,Ttll12,Eya4,Zfc3h1,Lgals8,Mgat4a,Lad1,Col5a2,Gm9766,Pxdn
4933406P04Rik,Arl11,Shprh,Slc38a2,Lama2,Ddit3,Hist1h2be,Creg2,Pdc,Myo1b,Tspan15,Fam150b
L3mbtl3,Ccdc122,Cited2,Hunk,Zufsp,Olfr804,Tubb2b,Mfsd9,Tpr,Dnahc7a,Arid5b,Nampt
Armc2,Nr1d2,Slc2a12,Cbr3,Armc2,Plekhg1,Cdc14b,Kdelc1,Ivns1abp,Stk17b,Col6a1,Sypl
Gm7075,Zmynd17,Epb4.1l2,Dopey2,Anapc16,Marcks,Vcan,Hspd1,1190005F20Rik,Ankrd44,Nmrk2,Sip1
Gstt3,Pde12,Rev3l,Crebbp,Lrrtm3,BC021785,Atg10,Als2cr12,Fam129a,Rftn2,Appl2,Slc38a6
Gstt2,Tmem55b,Cd164,Kalrn,Prmt2,Slc16a10,Cmya5,Trak2,Glul,Raph1,Cry1,Syne2
Adarb1,Slc7a8,Sesn1,Zdhhc14,Pcbp3,Foxo3,Duxbl,Tmem237,Nphs2,Gpr1,Tmpo,Mthfd1
Ppap2c,2610301G19Rik,Pam16,1700010I14Rik,Pwp2,Qrsl1,Mmp14,Als2,BC026585,Acadl,Elk3,Sipa1l1
Med16,Sftpc,Fabp7,Pkd1,BC005764,D630037F22Rik,Khnyn,Wdr12,Serpinc1,Fn1,Myf6,Acot4
Cry1,Dgkh,P4ha1,Ppp1r18,Med16,Ccar1,Fbxo16,Plekhm3,Sele,Mreg,Thap2,Ttc8
Gas2l3,Eny2,Spock2,Dhx16,Klf16,Arid5b,Pcdh17,Cryge,Slc19a2,Igfbp5,Dyrk2,Dlk1
Nudt4,Grina,Aifm2,Pla2g7,Cry1,Smarcb1,Rap2a,Idh1,Nme7,Tmbim1,Helb,Esyt2
Mettl25,Maf1,Rhobtb1,Rcan2,Chpt1,Col6a1,Nr1d2,Igfbp5,Rxrg,Zfp142,Esyt1,Cys1
Glipr1,Tef,Slc16a9,Mapk8ip3,Mybpc1,Agpat3,Tinf2,Tnp1,Rgs5,Ccdc108,Dgka,Hbp1
Cpsf6,Mei1,Ggt5,Ring1,Dyrk2,Pdxk,Defb48,Prkag3,1700009P17Rik,Glb1l,Neurod4,Zfp277
Coq10a,Pim3,Ilvbl,Tdrd6,Tmem5,Rnf126,Mtmr9,Cnppd1,Alyref2,Dnpep,Pik3ip1,Sec23a
Nipsnap1,Tenc1,Cdc34,Khsrp,Coq10a,Adamtsl5,Pnoc,Tuba4a,Dcaf8,Ap1s3,Sh3pxd2b,Gpr135
Rhbdd3,Dgat1,Stk11,Colec12,Pa2g4,Ap3d1,Dock5,Col4a4,Tagln2,Fam124b,Ccnjl,1110018G07Rik
Cct4,Cpsf1,Midn,Cables1,Rdh5,Lingo3,Pcdh9,Slc19a3,Kmo,Col4a4,Rnf145,Snw1
Xpo1,Tob2,Cirbp,Kctd16,Selm,Nfic,Fbxl3,Slc16a14,Wdr64,Slc19a3,Ebf1,Gtf2a1
Pank3,Pmm1,Chst11,Kcnn2,Spred2,Ckap4,Kcns2,Ngef,Sdccag8,Ngef,3010026O09Rik,Eml5
Ifi47,Vdr,AI597468,Gpr17,Psme4,Cry1,D15Ertd621e,Hes6,Desi2,Col6a3,Sar1b,Atxn3
Nhp2,Adcy6,Timp3,Tmem173,Gpr75,Hsp90b1,Khdrbs3,Per2,Gm9982,Ilkap,Fnip1,Idi1
Irgm2,Racgap1,Igf1,Slc26a2,Hnrnph1,Dram1,Gramd4,Hdac4,Parp1,Hes6,Gpx3,Heatr1
Zfp692,Spryd3,Kitl,2700046A07Rik,Cdkl3,Ano4,Slc45a4,Hdlbp,Sde2,Per2,Hist3h2a,Hist1h1c
Kcnj12,Ppm1f,Tspan8,Zfp236,Shroom1,Elk3,Eef1d,Epb4.1l5,9130409I23Rik,2310007B03Rik,Myh1,Jarid2
Ttc19,Trmt2a,Avpr1a,Mpeg1,Gm9945,Rap1b,Parp10,Nckap5,Dusp10,Ppip5k2,Ccdc42,Mylip
Gas7,Gnb1l,Agap2,Olfr1495,Larp1,Srgap1,Vps28,Pfkfb2,Slc30a10,Pign,Per1,Gmpr
Per1,Cldn5,Baz2a,Kank1,Pigl,Slc26a10,Zfp251,Mapkapk2,Gpatch2,Vps4b,Trappc1,Nol8
Eno3,Eif4a2,Itga7,Ina,Pmp22,Rdh5,Polr3h,Ikbke,Ush2a,Serpinb3b,Vtn,Ntrk2
Rabep1,Slc12a8,Olfr787,Capn1,Ankfy1,Olfr769,Cyp2d34,Srgap2,Angel2,Gli2,Ift20,Dapk1
Txndc17,Cd200r1,Olfr799,Slc16a12,Prpf8,Xbp1,Slc38a2,Cdk18,Tmem206,Dbi,Nf1,Glrx
Zzef1,Ppl,Olfr808,Rbp4,Slc6a4,Peli1,Pmm2,Snrpe,Ints7,Pfkfb2,Ccl11,2210408I21Rik
1810012P15Rik,Carhsp1,Pex3,Crtac1,Tlcd1,Psme4,Ccdc74a,Atp2b4,Lpgat1,Srgap2,Tubd1,Lhfpl2
Adap2,Prodh,Ncoa7,Got1,Rab34,Sh3pxd2b,Ufd1l,Rnpep,Rd3,Cdk18,Mbtd1,Col4a3bp
Bcas3,Zdhhc23,AI317395,Obfc1,Vtn,Ccnjl,2510002D24Rik,5730559C18Rik,Irf6,Atp2b4,Chad,Ankra2
Cuedc1,Crybg3,Sobp,Pip5kl1,Ift20,Adam19,Itgb5,Nek7,Xkr4,Optc,Mrpl27,Adamts6
Mrpl27,Zfp53,Ddit4,Tanc1,Trim37,P4ha2,Mylk,Tsen15,Mrpl15,Prelp,Tcap,Arl15
Fkbp10,Bnip1,Sgpl1,B230120H23Rik,Socs7,Larp1,BC027231,Smg7,Ncoa2,Lgr6,Thra,Gtpbp4
Ramp2,Cdkn1a,1700040L02Rik,Slc1a2,Rapgefl1,Hist3h2a,Emp2,Fam163a,Pkhd1,Rgs2,Igfbp4,Hist1h2be
Hexim1,Ndufv3,Cabin1,Disp2,Tubg2,Smcr8,Fopnl,Tdrd5,Bai3,Pla2g4a,Tmem106a,Tubb2a
Mapt,Cyp4f39,Ddt,Plcb1,Ramp2,Kcnj12,Ppil2,Tor3a,1700101I19Rik,Hmcn1,Hexim2,Nrn1
Gm10840,D17H6S53E,Gstt4,Ywhab,Fmnl1,Slc25a35,Cldn1,Ralgps2,Ankrd23,1700025G04Rik,Fmnl1,Eef1e1
Ict1,Tfeb,Gstt2,Nebl,Gna13,Olfr384,Slc35a5,Cacybp,Sema4c,Dhx9,Gna13,Ptpdc1
Tbcd,Trip10,Pfkl,Meis2,Map2k6,Crk,Nsun3,Rabgap1l,Rev1,Qsox1,Cd300a,1110007C09Rik
Igfbp3,Prkce,Agpat3,Frmd5,Fn3krp,Nufip2,Epha3,Aph1a,Rnf149,Tdrd5,Inpp5j,Nfil3
Hus1,Acat2,2610008E11Rik,8430427H17Rik,Tcn2,Nos2,Kank3,Fmo4,Uxs1,Soat1,Rel,Mxd3
Ahsa2,Tpm4,Gamt,Slc13a3,Slc1a4,Nf1,BC051142,Fmo1,Kdelc1,Rasal2,Mat2b,Tpbpb
4931440F15Rik,Rhbdl1,Adamtsl5,Kcnq2,Eml6,Rhbdl3,3110082D06Rik,Atp1b1,Col5a2,Cacybp,Sft2d1,Hiatl1
Dock2,Fkbp5,Sgta,Sox18,Rhbdf1,1100001G20Rik,Cyp39a1,Sft2d2,Myo1b,Prdx6,Irgm1,Vcan
Hspa4,Angptl4,Nmrk2,P2ry1,Wwc1,Mtmr4,Cntnap5c,Dcaf6,Pgap1,Dnm3,Ltc4s,Xrcc4
Pld6,Brd2,Nuak1,Arhgef11,Tenm2,Col1a1,Gemin6,Mpzl1,Ankrd44,Fmo1,Ccdc69,Slc4a7
Flcn,Abcc10,Cry1,2810403A07Rik,Sqstm1,Ppp1r9b,Haghl,Lrrc52,Tyw5,Fmo2,Olfr30,Adk
Epn2,Ubr2,Dram1,Slc16a1,Zfp354c,Gngt2,Crisp2,Pbx1,Mpp4,Fmo3,Zfp39,Tmem110
Zswim7,Gm16494,Gas2l3,Dph5,Wdr16,Socs7,Pcdhb7,Uap1,Als2,Mpzl1,Zfp867,Gdf10
Ndel1,Rftn1,Nudt4,Elovl6,Efnb3,Tcap,Grp,Nos1ap,Wdr12,Rcsd1,Flcn,Anxa8
Cd68,Plin5,C030005K15Rik,Gnb4,Cyb5d2,Thra,Mbd2,Fcrlb,Klf7,Mgst3,Acadvl,Cgrrf1
Bcl6b,Six2,Trhde,Pcdh18,Fam101b,Msl1,Npc1,Fcgr2b,Erbb4,Dusp12,Bcl6b,Mmp14
Inca1,Hnrnpa1,Tbc1d15,Ank2,Wsb1,Helz,Cd14,Pcp4l1,Mreg,Fcrlb,Nlrp1b,Mtmr6
Pafah1b1,Myot,Rab3ip,Lmo4,Myo1d,Rab37,Fam38b,Akt3,Tns1,Uqcrb,Spns2,Loxl2
Hic1,Pde6a,Slc16a7,Dnajb4,Ppm1e,Mgat5b,Chka,Ahctf1,Aamp,Sdhc,Olfr382,Gm5087
Tnfaip1,Mbd1,Slc26a10,Trp53inp1,Hlf,Foxk2,Rmnd1,Adck3,Nhej1,Ndufs2,Fam101b,Psmd6
Tada2a,Cd14,Mbd6,Tmod1,Cacna1g,Fn3krp,Slc22a27,Ephx1,Cnppd1,Ppox,Wsb1,Nr1d2
Ints2,Coro1b,Rbms2,E130309F12Rik,Nfe2l1,Metrnl,Olfr1500,Nvl,Glb1l,Usp21,Dusp14,Slmap
Prr11,Ubxn1,Coq10a,Adamtsl1,Srcin1,Inpp5j,Asah2,Capn2,Tuba4a,Atp1a2,Ypel2,Ccdc66
Hlf,B3gat3,Cdk2,Lrp8,Nr1d1,Ewsr1,Pank1,1700056E22Rik,Dnpep,Ifi204,Pctp,Gcap14
Stxbp4,Eml3,Nipsnap1,Ccdc163,Klhl11,Urgcp,Myof,Tatdn3,Farsb,Ifi203,Hlf,Fermt2
Xylt2,Klf9,Xbp1,Luzp1,Mpp2,Gck,Crtac1,Ipcef1,Serpine2,Ifi202b,Stxbp4,Neil2
Ormdl3,Smarca2,Cct4,Ubr4,Fam171a2,H2afv,Nt5c2,Cited2,Pid1,Grem2,Tbkbp1,Prkaa1
Nr1d1,Hhex,Psme4,Fv1,Smarcd2,Polr2c,Adamts13,Nhsl1,Rab17,Opn3,Plxdc1,Ranbp3l
Leprel4,Scd2,Slit3,Dvl1,Pecam1,Grb10,Cstad,Map3k5,Hes6,Ahctf1,Nr1d1,Adamts12
Rab5c,Nfkb2,Pank3,Fam132a,Cacng4,Cep68,Hspa5,Mtap7,Per2,Adck3,Nt5c3l,Sema5a
Stat3,Ccs,Ebf1,Mpdz,Rgs9,Lgalsl,Pdk1,Sgk1,Dtymk,Ephx1,Plekhh3,Efr3a
Mpp2,Pacs1,Ppp2ca,Jun,Abca8a,Mdh1,Hoxd11,1110021L09Rik,Ppip5k2,Capn2,Rgs9,Zfp41
Abca8a,Stip1,P4ha2,Rimkla,D11Wsu99e,Ahsa2,Itga4,Med23,Pign,Kcnk2,Mif4gd,Maf1
Abca9,Tmem138,Fnip1,Tmem57,Grin2c,Rel,Harbi1,Ptprk,Vps4b,Smyd2,Galk1,Tef
Trim65,Dtx4,Mprip,Zbtb40,Slc25a19,Kcnip1,Slc27a2,Echdc1,Tsn,Hsd11b1,Ppp1r27,Gm4825
