LDLEAF,LDM,LDVA,SDLEAF,SDM,SDVA
AT1G14650,AT1G10360,AT1G29300,AT1G04900,AT1G09700,AT1G10170
AT1G14920,AT1G10370,AT1G29330,AT1G04950,AT1G09750,AT1G10340
AT1G15140,AT1G10470,AT1G30020,AT1G04990,AT1G09795,AT1G10360
AT1G15170,AT1G10630,AT1G30420,AT1G05030,AT1G09910,AT1G10390
AT1G15175,AT1G10760,AT1G30490,AT1G05160,AT1G10200,AT1G10470
AT1G15180,AT1G10830,AT1G30540,AT1G05180,AT1G10450,AT1G10490
AT1G15310,AT1G10900,AT1G30820,AT1G05190,AT1G10470,AT1G10590
AT1G15390,AT1G10930,AT1G31850,AT1G05270,AT1G10588,AT1G10657
AT1G15430,AT1G11130,AT1G32200,AT1G05380,AT1G10600,AT1G10682
AT1G15810,AT1G11190,AT1G32380,AT1G05470,AT1G10700,AT1G10760
AT1G15820,AT1G11475,AT1G32560,AT1G05500,AT1G10760,AT1G10840
AT1G15920,AT1G11680,AT1G32900,AT1G05520,AT1G10770,AT1G10900
AT1G15960,AT1G11720,AT1G33110,AT1G05570,AT1G10830,AT1G10950
AT1G16110,AT1G12050,AT1G33250,AT1G05590,AT1G10840,AT1G11175
AT1G16260,AT1G12230,AT1G33340,AT1G05610,AT1G10850,AT1G11210
AT1G16340,AT1G12410,AT1G33760,AT1G05690,AT1G10900,AT1G11260
AT1G16540,AT1G12420,AT1G33970,AT1G05720,AT1G10960,AT1G11310
AT1G16780,AT1G12440,AT1G34310,AT1G05780,AT1G11200,AT1G11400
AT1G17210,AT1G12500,AT1G34320,AT1G05790,AT1G11280,AT1G11450
AT1G17290,AT1G12520,AT1G35720,AT1G05810,AT1G11460,AT1G11580
AT1G17440,AT1G12640,AT1G37130,AT1G05830,AT1G11530,AT1G11590
AT1G17850,AT1G12680,AT1G43620,AT1G05840,AT1G11590,AT1G11600
AT1G17880,AT1G12840,AT1G43710,AT1G05850,AT1G11650,AT1G11650
AT1G17970,AT1G12880,AT1G44446,AT1G05870,AT1G11840,AT1G11750
AT1G17980,AT1G12970,AT1G47530,AT1G05890,AT1G11890,AT1G11820
