SAMPLE2,SAMPLE6
YKL014C,YJL134W
YGR197C,YKL064W
YDR365C,YNR023W
YNL280C,YPL253C
YCR030C,YBR096W
YDL154W,YJR042W
YDR505C,YGR150C
YMR211W,YGR074W
YBL036C,YLR390W-A
YGL202W,YGL180W
YOL147C,YHR043C
YPR178W,YPR101W
YFR007W,YBR146W
YEL008W,YDR085C
YGR072W,YAL028W
YER022W,YNL173C
YNL069C,YMR306W
YIL118W,YDL059C
YJR008W,YHL035C
YKL217W,YHL004W
YCL010C,YBR073W
YPL036W,YDR449C
YJR024C,YLR331C
YBR042C,YDL052C
YAL047C,YFL058W
YER056C-A,YGR295C
YFR011C,YFR031C
YDR256C,YMR144W
YNL287W,YER062C
YGR103W,YLR253W
YLR061W,YOR285W
YOR281C,YGL237C
YBR162C,YOR266W
YMR114C,YBR044C
YJL152W,YGR151C
YGR251W,YJL012C
YGR065C,YBR059C
YEL017C-A,YIR039C
YGL251C,YDR501W
YOR260W,YML121W
YKL021C,YGR087C
YKR028W,YGL255W
YOR374W,YNL036W
YHL026C,YKR071C
YNR062C,YOR016C
YCR028C,YPR005C
YDL015C,YAR003W
YJL102W,YFL062W
YCR016W,YNL077W
YER058W,YGL185C
YER149C,YKL175W
YJL147C,YGL190C
YDL035C,YOR101W
YDR533C,YDL231C
YDL090C,YML101C
YBR177C,YPR007C
YJL034W,YMR108W
YGR156W,YEL041W
YLR066W,YML129C
YBR125C,YBR220C
YBR173C,YLR317W
YHR057C,YPL058C
YOL162W,YOL154W
YOR077W,YNR056C
YLR234W,YNL327W
YDR198C,YLR099W-A
YJR124C,YMR058W
YHR107C,YJL156C
YER112W,YMR166C
YCL026C-A,YDR034C-A
YLR174W,YLR327C
YGR108W,YBR116C
YDR346C,YLR142W
YDR091C,YLR104W
YKR092C,YNL222W
YEL069C,YKR051W
YLR117C,YLR291C
YLR385C,YNR067C
YBR250W,YBR021W
YDR143C,YML021C
YER185W,YER038C
YAL031C,YNL044W
YLR089C,YHR007C-A
YKL155C,YER060W-A
YKL222C,YBR130C
YGR154C,YLR183C
YNL277W,YCR038C
YOL061W,YOL155C
YDL014W,YIL009C-A
YFR013W,YBR086C
YCL064C,YIL158W
YDR493W,YOR027W
YLR345W,YDR462W
YGL022W,YMR175W-A
YLR192C,YGR268C
YOR265W,YKR076W
YDR031W,YMR285C
YKR083C,YKL056C
YBR141C,YDR459C
YAL008W,YOR357C
YDR453C,YGL068W
YDR191W,YKL096C-B
YDR490C,YBR105C
YLR459W,YDL013W
YNL193W,YJR052W
YHR099W,YGL200C
YKL070W,YNL194C
YPR170W-B,YKL048C
YOR142W,YJL020C
YDR304C,YLR251W
YLR430W,YGL008C
YPL020C,YBR253W
YHL023C,YCR020C
YLR165C,YDR340W
YOR283W,YDR361C
YMR052C-A,YNL211C
YJR054W,YHL038C
YER084W-A,YFL034C-B
YDR033W,YIR011C
YPL154C,YMR297W
YNL043C,YGL105W
YDR253C,YGR090W
YAL032C,YNL315C
YNL014W,YKL216W
YNL241C,YJL158C
YEL011W,YDL183C
YNL291C,YPL151C
YLR079W,YDR171W
YMR104C,YAL034W-A
YOR348C,YOR258W
YHR103W,YNL328C
YOL126C,YGL055W
YHR026W,YOL055C
YGL061C,YNL144C
YGR028W,YIR038C
YJL089W,YAL046C
YKL116C,YJL045W
YHR134W,YDR347W
YBR228W,YHR058C
YGR123C,YPR181C
YBR269C,YBR106W
YMR220W,YDL211C
YLR290C,YOL007C
YMR188C,YLR064W
YNL075W,YGR192C
YNL258C,YGL045W
YPR159W,YBR219C
YHR089C,YEL046C
YBR194W,YIR015W
YNR018W,YDR204W
YAL044C,YMR145C
YKL139W,YLR229C
YKL197C,YGR075C
YGR138C,YBR268W
YHR129C,YDR316W
