"CycID","ARS_pvalue","ARS_BH.Q","ARS_period","ARS_adjphase","ARS_amplitude","JTK_pvalue","JTK_BH.Q","JTK_period","JTK_adjphase","JTK_amplitude","LS_pvalue","LS_BH.Q","LS_period","LS_adjphase","LS_amplitude","meta2d_pvalue","meta2d_BH.Q","meta2d_period","meta2d_phase","meta2d_Base","meta2d_AMP","meta2d_rAMP","7171","7184","7197","7210","7223","7236","7249","7262","7275","7288","7301","7314","7327","7340","7353","7366","7379","7392","7405","7418"
"YOR349W","0.1379063304229","0.165616230472896","120","25.2422086105311","0.868891163654446","0.0606252489993768","0.0888461083272822","143","47","1.22276440136684","0.0669176683814429","0.110723210333954","152.903225806452","11.7267496109434","10.5633866212368","0.0204360982748698","0.0282982494597122","138.634408602151","28.5407759923749","9.64405245487217","0.428423450948458","0.0444235919446932","10.966","11.079","11.553","9.513","10.39","10.621","10.111","7.302","7.512","8.689","9.388","8.433","10.712","10.897","9.973","10.241","11.659","10.072","6.581","7.666"
"YLR433C","0.0983616304158896","0.121721040442571","120","78.5836357303942","6.75368934510319","0.860356329231679","0.977929393903215","130","125","5.51861487377041","0.250242711983374","0.316905729519929","143.636363636364","97.7237864608196","61.5187649853863","0.26015419687579","0.30664751796536","131.212121212121","98.2437903506615","53.1549540095311","2.20836822323731","0.0415458589775344","40.507","44.883","46.972","45.542","49.684","50.375","48.882","52.604","79.72","68.687","58.512","43.967","46.013","50.939","53.285","50.886","39.548","67.004","70.008","55.315"
"YCR018C","8.55739046023984e-06","0.000136687567852786","120","10.9185973186517","106.678252914811","8.60803121671782e-07","8.58026337408325e-06","130","60","96.7000343077757","0.00420723047090554","0.0462976872777139","128.108108108108","27.760450341033","264.246102634924","1.59874335992072e-11","5.42869998039013e-10","126.036036036036","30.6224129270184","175.744949014861","106.042715277866","0.603389832096391","109.917","232.462","316.365","269.245","191.413","149.369","105.105","76.555","76.209","105.867","133.554","230.462","322.308","345.559","233.22","181.998","81.666","95.897","103.227","110.75"
"YJL002C","0.00617157281641179","0.0101221656065353","120","80.9128778919976","29.1151255731095","0.00110185379925294","0.00244329260114214","143","125","37.5699974980037","0.0210761979488406","0.0534881820682257","140.792079207921","101.786259909629","219.557161403263","2.01966419851596e-05","3.97121372791238e-05","134.597359735974","101.57791291369","190.395404866225","15.8781238454098","0.0833955202677609","195.915","138.176","153.176","162.548","170.656","182.151","198.125","192.187","214.801","260.33","243.292","164.866","151.488","160.545","161.817","185.511","194.213","196.892","225.329","245.36"
"YFR037C","0.00188598280206409","0.00380770131223655","120","76.8108631674955","12.429602933593","0.00695580539553403","0.0125326173015744","143","125","16.4142464883786","0.0143316069944815","0.047557285758504","138.058252427184","96.7769928041434","107.593952324629","2.56457960523537e-05","4.97617016023693e-05","133.686084142395","98.2009881815495","96.182981352442","6.7256659240581","0.0699257376875575","90.321","76.342","81.599","93.132","88.64","85.2","97.249","107.698","113.689","117.355","110.168","85.435","74.158","84.312","93.306","88.036","102.206","112.521","109.369","114.777"
"YLR264W","0.0431085821412072","0.057978463032135","120","66.659539006414","28.1779702735981","0.0135056677210722","0.0227549145355033","143","105.5","15.6696630477892","0.130278592858885","0.187020140271291","135.428571428571","85.2780428132373","80.8951567872886","0.00420859111799665","0.00629760123709911","132.809523809524","85.0396505141192","62.849902799051","32.6677385963182","0.519773892105549","15.416","13.911","26.551","73.066","38.754","29.048","37.233","162.48","80.3","71.954","49.577","24.73","22.171","51.966","66.415","57.714","102.861","144.487","86.645","104.77"
"YLR353W","0.10076743235494","0.124548546390706","120","44.429701846766","3.17858456417004","1","1","65","8","4.29567369570828","0.371865070584444","0.439160354712758","65.5299539170507","16.2305705278222","41.998556752436","0.362616653307835","0.417080014413256","83.5099846390169","20.6338411536028","40.0080001918095","1.14811260587426","0.0286970755941283","43.982","37.022","36.885","41.614","47.872","42.947","44.145","31.844","42.829","38.874","39.995","31.277","32.636","40.235","46.744","45.054","40.627","36.229","43.031","35.634"
"YHL016C","1.59737730933696e-05","0.000184478101561364","120","79.6827772598867","65.4270453391427","2.15750447410494e-07","3.78789137783197e-06","143","125","60.7486042319081","0.00595232306197679","0.0462976872777139","130.45871559633","109.11389332","129.393297134623","1.08558717570872e-11","4.30059534992302e-10","131.152905198777","104.273954118143","73.1875773366408","21.8155001331053","0.298076544230459","82.748","27.126","15.614","18.242","21.744","31.095","58.82","100.994","203.971","149.002","113.569","57.51","17.199","14.684","21.069","29.955","95.343","128.083","182.637","96.092"
"YLR135W","0.000360371712554652","0.00116115598727203","120","78.3843942483","6.63561056043273","0.00110185379925294","0.00244329260114214","130","125","7.73539463279024","0.0123489948738849","0.0469846205994872","132.897196261682","97.8094315650615","26.9186872077877","9.96269886921475e-07","2.42781857301842e-06","127.632398753894","98.7791923122084","21.3506742058702","0.0242785525396221","0.0011371328280091","25.113","15.231","15.5","13.774","18.564","21.343","22.308","23.077","28.824","33.279","29.731","13.031","15.01","14.72","16.252","17.885","19.312","29.258","28.551","26.244"
"YOL088C","1.27870376271932e-05","0.000164168992546857","120","11.8713570648225","34.7568388936603","1.64444984640315e-06","1.32326823577754e-05","130","53.5","34.3982700309914","0.0029443780985251","0.0462976872777139","130.45871559633","24.7019315258804","131.320335204538","3.05783176557384e-11","7.80884310382079e-10","126.819571865443","28.412749912551","104.589375097982","31.2460994237546","0.298750225770852","110.111","127.949","152.215","133.884","122.681","104.842","93.636","55.582","74.473","74.563","84.748","125.877","142.721","152.49","125.187","119.675","69.176","64.533","74.636","87.101"
