CycID,JTK_pvalue,JTK_BH.Q,JTK_period,JTK_adjphase,JTK_amplitude,LS_pvalue,LS_BH.Q,LS_period,LS_adjphase,LS_amplitude,meta2d_pvalue,meta2d_BH.Q,meta2d_period,meta2d_phase,meta2d_Base,meta2d_AMP,meta2d_rAMP,X4,X4.1,X8,X8.1,X12,X12.1,X16,X16.1,X20,X20.1,X24,X24.1,X28,X28.1,X32,X32.1,X36,X36.1,X40,X40.1
Synpcc7942_0362,1,1,28,26,111.018984,0.970594688,1,23.38266385,0.578170149,996.0108426,0.999563363,1,25.69133192,25.09141201,906.0381527,96.77751163,0.106813947,829.3681202,1031.216599,760.7754951,874.2120462,689.5220759,874.5859957,685.4048975,1044.806015,727.6959676,1244.939924,814.8649698,1151.158269,846.7791818,1136.300858,727.5956185,968.4560172,671.9809207,890.9853078,741.3944362,1113.792603
Synpcc7942_0361,0.023834236,0.085761917,24,2,489.4290855,0.551914813,1,22.52545825,1.533032867,5061.524099,0.070126386,0.219641133,23.26272912,1.760885326,4601.453823,571.592717,0.124220027,4056.85943,5753.019152,5117.101013,4774.977767,3577.370563,4049.917373,3991.843776,4497.001439,4910.514782,5245.397801,4550.84446,5706.536393,3631.334129,5658.328663,4341.689008,5163.369316,3292.454875,3942.08291,3858.563965,4735.713796
Synpcc7942_0360,1,1,24,2,23.20091578,0.991646873,1,22.43407708,0.088034369,447.5265554,0.999965015,1,23.21703854,1.012930014,437.8233536,27.11199911,0.061924516,446.851505,575.2551255,364.6643427,465.0434432,356.6716633,470.2204922,448.2754316,438.8919647,428.0009336,472.4213992,396.7570077,490.6134213,362.3752549,501.8840803,426.540845,439.5786245,358.2383765,412.7057048,366.498401,468.7114295
Synpcc7942_0359,0.023834236,0.085761917,24,0,36.22263759,0.086019736,0.46307358,22.43407708,22.17706421,168.327479,0.014740655,0.061584281,23.21703854,23.08404716,147.50658,33.43676986,0.226679853,182.1789864,174.9569974,117.4814051,124.1956382,133.98095,116.7337944,122.9037426,160.9391257,173.0395244,191.9297106,178.2108377,147.3669015,172.6855391,129.870043,105.2035706,122.1732355,88.82575838,125.7964311,107.7164337,178.9237983
Synpcc7942_0358,1,1,24,22,11.43598232,0.987043881,1,21.55945419,21.38001105,145.0726173,0.999915705,1,22.7797271,21.73577196,136.220024,15.43739982,0.11332695,107.6454904,184.6935543,123.8659946,151.3348373,105.7126061,109.6151901,139.4988724,164.1444545,122.4255709,154.609461,112.6588071,182.4617689,123.9643611,147.9454108,94.19219931,140.4478835,94.40118468,145.1918,123.2579974,155.5705745
Synpcc7942_0357,1,1,20,0,19.63189563,1,1,21.06666667,19.81284258,310.4687881,1,1,20.53333333,19.92229248,299.964644,18.45523778,0.06152471,264.3059156,369.1900631,217.3589249,320.0688899,219.2114191,396.6708941,223.9238686,383.9271312,206.2953152,407.9616457,247.8068954,372.6255718,253.895433,325.0578291,227.6709693,317.7704682,243.2661561,356.1872971,262.975791,374.723324
Synpcc7942_0356,1,1,20,0,99.51852835,0.999976844,1,20,19.32509465,1488.603512,1,1,20,19.66254732,1514.099021,95.60101631,0.063140531,1175.899404,1886.945337,1181.784569,1583.710547,1411.197413,1646.708675,1395.764304,1522.465015,1243.793161,1697.765816,1371.931837,1611.180807,1151.877119,1677.395602,1033.600264,1616.635576,1337.855066,2396.197191,1433.54464,1905.728085
Synpcc7942_0355,1,1,20,14,67.73955997,0.999999894,1,22.71047228,13.16079913,907.6433671,1,1,21.35523614,13.66205014,888.4857596,64.52620303,0.072624915,606.2355605,1079.70209,591.1438392,1109.987532,888.5894271,1194.577498,689.3231093,896.9877464,710.272832,1065.451387,710.4425254,1066.680504,593.7747491,1005.894039,616.18666,1140.557163,971.3537857,1189.526405,767.9327027,944.8084062
Synpcc7942_0354,1,1,24,10,10.65348908,0.999914132,1,28,4.000041217,120.1386048,0.999999996,1,26,7.27382866,117.169004,8.746599936,0.074649435,93.57453552,141.330015,108.063471,128.4695953,110.023802,152.1086974,76.14260719,118.4016873,89.70403339,130.9455564,93.1119839,140.2661233,95.03249001,123.0661913,99.89547568,115.6293418,114.2589113,191.1375685,108.7613096,147.6200673
Synpcc7942_0353,0.039652498,0.127894715,24,10,62.11010235,0.142355567,0.616784261,23.48195329,7.703434309,384.1755229,0.034867806,0.125102072,23.74097665,8.840241252,302.3784614,110.1271621,0.364203064,254.9188706,442.1698092,511.0165396,442.7869876,273.0024801,217.229987,226.582604,303.6432794,217.7885755,256.7321363,205.6558993,222.1660087,278.8980398,475.9633653,579.3087898,441.492011,280.97158,256.4403686,249.2714895,255.1970675
