ORF	Protein_abundance
YKR080W	1.62E+04
YBL024W	1.61E+04
YOR332W	1.61E+04
YGR084C	1.60E+04
YBL072C	1.59E+04
YOR184W	1.59E+04
YBR123C	1.58E+04
YCL009C	1.58E+04
YBL032W	1.56E+04
YDR120C	1.55E+04
YFR002W	1.55E+04
YMR308C	1.55E+04
YGL026C	1.55E+04
YLR301W	1.54E+04
YDR299W	1.54E+04
YNL231C	1.54E+04
YJL136C	1.53E+04
YDL145C	1.52E+04
YGL011C	1.52E+04
YJR072C	1.52E+04
YHR179W	1.51E+04
YDR060W	1.50E+04
YNL241C	1.50E+04
YEL002C	1.49E+04
YOR046C	1.49E+04
YMR021C	1.48E+04
YBR198C	1.48E+04
YPL252C	1.48E+04
YEL058W	1.47E+04
YFR009W	1.46E+04
YCR004C	1.46E+04
YDR377W	1.46E+04
YDR388W	1.46E+04
YER133W	1.46E+04
YHL017W	1.46E+04
YHR049W	1.46E+04
YJL159W	1.46E+04
YLR258W	1.46E+04
YBL022C	1.45E+04
YER171W	1.44E+04
YER102W	1.44E+04
YIL125W	1.43E+04
YKL104C	1.43E+04
YJR047C	1.42E+04
YPL215W	1.42E+04
YOL139C	1.42E+04
YDR368W	1.41E+04
YLR449W	1.41E+04
YCR002C	1.41E+04
YPR010C	1.41E+04
YDR214W	1.39E+04
YNL181W	1.39E+04
YGR208W	1.38E+04
YDR272W	1.37E+04
YNR043W	1.37E+04
YNL162W	1.36E+04
YER168C	1.35E+04
YJR132W	1.35E+04
YPL195W	1.35E+04
YLR197W	1.35E+04
YBR082C	1.35E+04
YLR172C	1.35E+04
YMR261C	1.35E+04
YGL201C	1.34E+04
YAL035W	1.34E+04
YKL211C	1.34E+04
YNR035C	1.34E+04
YLR435W	1.34E+04
YNL272C	1.32E+04
YNL063W	1.32E+04
YOL077C	1.32E+04
YBR101C	1.31E+04
YBR143C	1.31E+04
YDR210W	1.31E+04
YDR294C	1.31E+04
YPL239W	1.31E+04
YDR483W	1.30E+04
YPR110C	1.30E+04
YEL071W	1.30E+04
YGR234W	1.30E+04
YKR092C	1.29E+04
YOL145C	1.29E+04
YPL078C	1.29E+04
YHR104W	1.29E+04
YNR054C	1.28E+04
YGR106C	1.28E+04
YHL034C	1.28E+04
YLR420W	1.27E+04
YNR038W	1.27E+04
