ORF	Protein_abundance
YOR152C	1.89E+03
YPR023C	1.89E+03
YPR183W	1.89E+03
YEL031W	1.87E+03
YLR251W	1.87E+03
YOL058W	1.87E+03
YPR057W	1.87E+03
YDR419W	1.86E+03
YML080W	1.86E+03
YIL150C	1.86E+03
YDR372C	1.85E+03
YCR016W	1.85E+03
YDR007W	1.85E+03
YJL146W	1.85E+03
YML101C	1.85E+03
YAR028W	1.84E+03
YDL195W	1.84E+03
YDR001C	1.84E+03
YER093C-A	1.84E+03
YGL065C	1.84E+03
YIL010W	1.84E+03
YJL096W	1.84E+03
YLR440C	1.84E+03
YMR161W	1.84E+03
YMR240C	1.83E+03
YER107C	1.82E+03
YDR252W	1.82E+03
YGL250W	1.82E+03
YHL027W	1.82E+03
YJR001W	1.82E+03
YLR021W	1.82E+03
YGR157W	1.81E+03
YHR181W	1.81E+03
YNL124W	1.81E+03
YNL177C	1.81E+03
YOR173W	1.81E+03
YAL049C	1.80E+03
YDL175C	1.80E+03
YDR425W	1.80E+03
YHR122W	1.80E+03
YIL123W	1.80E+03
YKL185W	1.80E+03
YOL092W	1.80E+03
YOR043W	1.80E+03
YOR213C	1.80E+03
YPR047W	1.80E+03
YLR248W	1.79E+03
YMR033W	1.79E+03
YCR036W	1.78E+03
YER001W	1.78E+03
YGR021W	1.78E+03
YIL162W	1.78E+03
YNL308C	1.78E+03
YOL046C	1.78E+03
YBR094W	1.77E+03
YDR530C	1.77E+03
YFR013W	1.77E+03
YGL202W	1.77E+03
YKR018C	1.77E+03
YPL151C	1.77E+03
YPR178W	1.77E+03
YBR016W	1.76E+03
YDL002C	1.76E+03
YDR354W	1.76E+03
YGL166W	1.76E+03
YKL055C	1.76E+03
YLR260W	1.76E+03
YNL024C	1.76E+03
YOR265W	1.76E+03
YPL005W	1.76E+03
YPR028W	1.76E+03
YDR303C	1.75E+03
YCL010C	1.75E+03
YDR538W	1.75E+03
YFL047W	1.75E+03
YJL068C	1.75E+03
YJL201W	1.75E+03
YMR117C	1.75E+03
YNL116W	1.75E+03
YCR081W	1.73E+03
YER064C	1.73E+03
YJL102W	1.73E+03
YKL023W	1.73E+03
YLR358C	1.73E+03
YNL336W	1.73E+03
YOL112W	1.73E+03
YOR017W	1.73E+03
YDR235W	1.73E+03
YLR059C	1.73E+03
YLR103C	1.73E+03
YDR005C	1.72E+03
YDR448W	1.72E+03
YEL044W	1.72E+03
YHR041C	1.72E+03
YHR182W	1.72E+03
YIL131C	1.72E+03
YML116W	1.72E+03
YMR183C	1.72E+03
YNL001W	1.72E+03
YNL041C	1.72E+03
YNL049C	1.72E+03
YNL236W	1.72E+03
YNR004W	1.72E+03
YCR071C	1.71E+03
YDR392W	1.71E+03
YEL007W	1.71E+03
YGL213C	1.71E+03
YIL107C	1.71E+03
YKR023W	1.71E+03
YMR157C	1.71E+03
YOR289W	1.71E+03
YBR060C	1.70E+03
YAR027W	1.69E+03
YCL055W	1.69E+03
YCR003W	1.69E+03
YMR070W	1.69E+03
YOL028C	1.69E+03
YOR060C	1.69E+03
YOR237W	1.69E+03
YBL023C	1.69E+03
YBR231C	1.68E+03
YHL009C	1.68E+03
YHR188C	1.68E+03
YIL157C	1.68E+03
YJL155C	1.68E+03
YLL023C	1.68E+03
YPL138C	1.68E+03
YAL032C	1.67E+03
YCL032W	1.67E+03
YDL135C	1.67E+03
YDR065W	1.67E+03
YHR120W	1.67E+03
YIL155C	1.67E+03
YJR005W	1.67E+03
YKR076W	1.67E+03
YMR212C	1.67E+03
YJR041C	1.66E+03
YOL004W	1.66E+03
YCL016C	1.66E+03
YCR060W	1.66E+03
YDR196C	1.66E+03
YEL003W	1.66E+03
YER061C	1.66E+03
YGR166W	1.66E+03
YLR045C	1.66E+03
YLR414C	1.66E+03
YDL010W	1.64E+03
YGL012W	1.64E+03
YGR198W	1.64E+03
YJR062C	1.64E+03
YOR371C	1.64E+03
YDR077W	1.63E+03
YBR095C	1.63E+03
YBR211C	1.63E+03
YDR161W	1.63E+03
YDR364C	1.63E+03
YEL006W	1.63E+03
YGL079W	1.63E+03
YGR058W	1.63E+03
YHR135C	1.63E+03
YLR020C	1.63E+03
YLR209C	1.63E+03
YLR315W	1.63E+03
YLR447C	1.63E+03
YMR097C	1.63E+03
YNL329C	1.63E+03
YOL107W	1.63E+03
YOL147C	1.63E+03
YOR196C	1.63E+03
YPL050C	1.63E+03
YPL241C	1.63E+03
YPR144C	1.63E+03
YBR103W	1.62E+03
YCR047C	1.62E+03
YER164W	1.62E+03
YFL028C	1.62E+03
YIL064W	1.62E+03
YIR036C	1.62E+03
YML007W	1.62E+03
YMR303C	1.62E+03
YOL070C	1.62E+03
YOR174W	1.62E+03
YPR105C	1.62E+03
YCR027C	1.60E+03
YDR465C	1.60E+03
YEL060C	1.60E+03
YJL060W	1.60E+03
YJR092W	1.60E+03
YJR154W	1.60E+03
YKL025C	1.60E+03
YLR253W	1.60E+03
YNL267W	1.60E+03
YPL146C	1.60E+03
YDL017W	1.60E+03
YDR376W	1.60E+03
YDR056C	1.60E+03
YNL280C	1.60E+03
YBL037W	1.59E+03
YBR233W	1.59E+03
YEL012W	1.59E+03
YJL006C	1.59E+03
YJL076W	1.59E+03
YKL166C	1.59E+03
YKR025W	1.59E+03
YNL140C	1.59E+03
YOR155C	1.59E+03
YPL181W	1.59E+03
YPR018W	1.59E+03
YDR061W	1.58E+03
YEL050C	1.58E+03
YFR030W	1.58E+03
YHR129C	1.58E+03
YMR060C	1.58E+03
YOR367W	1.58E+03
YBL079W	1.56E+03
YBR003W	1.56E+03
YBR026C	1.56E+03
YBR129C	1.56E+03
YDL053C	1.56E+03
YDL120W	1.56E+03
YDR331W	1.56E+03
YFR021W	1.56E+03
YMR225C	1.56E+03
YNR029C	1.56E+03
YNR074C	1.56E+03
YPL196W	1.56E+03
YPR067W	1.56E+03
YDL119C	1.55E+03
YGR076C	1.55E+03
YGR275W	1.55E+03
YHR149C	1.55E+03
YIL079C	1.55E+03
YJR129C	1.55E+03
YKL142W	1.55E+03
YLR177W	1.55E+03
YNL020C	1.55E+03
YNR033W	1.55E+03
YOL069W	1.55E+03
YPL104W	1.55E+03
YBR212W	1.54E+03
YIL024C	1.54E+03
YLR254C	1.54E+03
YML117W	1.54E+03
YMR052W	1.54E+03
YOL066C	1.54E+03
YAR064W	1.52E+03
YBR258C	1.52E+03
YDL006W	1.52E+03
YFR014C	1.52E+03
YGR087C	1.52E+03
YGR247W	1.52E+03
YLR032W	1.52E+03
YLR326W	1.52E+03
YNL310C	1.52E+03
YNR052C	1.52E+03
YOL088C	1.52E+03
YOR109W	1.52E+03
YOR304W	1.52E+03
YPR176C	1.52E+03
YBR023C	1.51E+03
YDL033C	1.51E+03
YDR110W	1.51E+03
YER122C	1.51E+03
YGL094C	1.51E+03
YHR144C	1.51E+03
YJR010W	1.51E+03
YJR084W	1.51E+03
YKL116C	1.51E+03
YLR126C	1.51E+03
YBR245C	1.50E+03
YBR260C	1.50E+03
YDR295C	1.50E+03
YFL006W	1.50E+03
YGL101W	1.50E+03
YGL227W	1.50E+03
YGR274C	1.50E+03
YJL127C	1.50E+03
YJR067C	1.50E+03
YKL024C	1.50E+03
YPL024W	1.50E+03
YPR017C	1.50E+03
YDR088C	1.49E+03
YBR024W	1.48E+03
YDR348C	1.48E+03
YGL083W	1.48E+03
YGR105W	1.48E+03
YHR086W	1.48E+03
YJL107C	1.48E+03
YLR118C	1.48E+03
YLR138W	1.48E+03
YNL300W	1.48E+03
YPL119C	1.48E+03
YPL175W	1.48E+03
YMR001C	1.48E+03
YBR028C	1.47E+03
YDR171W	1.47E+03
YGR080W	1.47E+03
YHR083W	1.47E+03
YJR136C	1.47E+03
YKL140W	1.47E+03
YLL028W	1.47E+03
YLR016C	1.47E+03
YLR271W	1.47E+03
YML093W	1.47E+03
YNL040W	1.47E+03
YNL215W	1.47E+03
YPL067C	1.47E+03
YPR168W	1.47E+03
YAR071W	1.46E+03
YBL055C	1.46E+03
YGR251W	1.46E+03
YKR024C	1.46E+03
YLR068W	1.46E+03
YNL129W	1.46E+03
YOR266W	1.46E+03
YPL049C	1.46E+03
YER172C	1.44E+03
YHR038W	1.44E+03
YJR022W	1.44E+03
YNL224C	1.44E+03
YNR017W	1.44E+03
YOL068C	1.44E+03
YOR083W	1.44E+03
YPL029W	1.44E+03
YPL162C	1.44E+03
YBR188C	1.43E+03
YDR013W	1.43E+03
YER127W	1.43E+03
YGL185C	1.43E+03
YGR010W	1.43E+03
YLR223C	1.43E+03
YOR026W	1.43E+03
YOR179C	1.43E+03
YBR139W	1.42E+03
YBR163W	1.42E+03
YBR176W	1.42E+03
YDR389W	1.42E+03
YGR125W	1.42E+03
YJR059W	1.42E+03
YKL043W	1.42E+03
YLR144C	1.42E+03
YLR290C	1.42E+03
YOR305W	1.42E+03
YPL065W	1.42E+03
YDL104C	1.40E+03
YDR329C	1.40E+03
YFL017W-A	1.40E+03
YGL248W	1.40E+03
YHR132W-A	1.40E+03
YLR442C	1.40E+03
YOL023W	1.40E+03
YOR197W	1.40E+03
YPL022W	1.40E+03
YBL080C	1.39E+03
YDL060W	1.39E+03
YDR308C	1.39E+03
YDR439W	1.39E+03
YER152C	1.39E+03
YFL013C	1.39E+03
YJR058C	1.39E+03
YLR038C	1.39E+03
YPR186C	1.38E+03
YAL011W	1.38E+03
YBL047C	1.38E+03
YHR154W	1.38E+03
YJR053W	1.38E+03
YNL190W	1.38E+03
YNL200C	1.38E+03
YNL278W	1.38E+03
YNR049C	1.38E+03
YBR197C	1.36E+03
YBR264C	1.36E+03
YCL008C	1.36E+03
YDR219C	1.36E+03
YGL005C	1.36E+03
YGL240W	1.36E+03
YHL038C	1.36E+03
YHR112C	1.36E+03
YHR116W	1.36E+03
YIL066C	1.36E+03
YJL133W	1.36E+03
YKR006C	1.36E+03
YLR454W	1.36E+03
YNL282W	1.36E+03
YNL286W	1.36E+03
YNR010W	1.36E+03
YOR112W	1.36E+03
YOR221C	1.36E+03
YOR278W	1.36E+03
YOR284W	1.36E+03
YOR342C	1.36E+03
YPR034W	1.36E+03
YLR163C	1.36E+03
YDR259C	1.35E+03
YDR312W	1.35E+03
YHR158C	1.35E+03
YHR198C	1.35E+03
YLR199C	1.35E+03
YNR024W	1.35E+03
YGR140W	1.35E+03
YDR138W	1.34E+03
YER004W	1.34E+03
YIL119C	1.34E+03
YJL048C	1.34E+03
YJR113C	1.34E+03
YKR052C	1.34E+03
YOR057W	1.34E+03
YPR140W	1.34E+03
YDR118W	1.33E+03
YBL010C	1.32E+03
YER123W	1.32E+03
YGL231C	1.32E+03
YGR014W	1.32E+03
YGR134W	1.32E+03
YIL095W	1.32E+03
YOL077W-A	1.32E+03
YOL117W	1.32E+03
YJR093C	1.31E+03
YBR145W	1.31E+03
YDR139C	1.31E+03
YDR424C	1.31E+03
YDR463W	1.31E+03
YDR480W	1.31E+03
YEL039C	1.31E+03
YIR010W	1.31E+03
YKL214C	1.31E+03
YKR090W	1.31E+03
YLR015W	1.31E+03
YMR104C	1.31E+03
YOR087W	1.31E+03
YPR152C	1.31E+03
YDL241W	1.30E+03
YDR011W	1.30E+03
YEL017W	1.30E+03
YER163C	1.30E+03
YFL023W	1.30E+03
YFR046C	1.30E+03
YGL013C	1.30E+03
YGL129C	1.30E+03
YNL103W	1.30E+03
YPL045W	1.30E+03
YPL274W	1.30E+03
YGR117C	1.28E+03
YHL020C	1.28E+03
YHR036W	1.28E+03
YHR077C	1.28E+03
YKL189W	1.28E+03
YPR129W	1.28E+03
YBL090W	1.27E+03
YBR073W	1.27E+03
YGR093W	1.27E+03
YHR082C	1.27E+03
YJR143C	1.27E+03
YKR038C	1.27E+03
YKR078W	1.27E+03
YLR011W	1.27E+03
YMR184W	1.27E+03
YPL040C	1.27E+03
YPL256C	1.27E+03
YGR091W	1.26E+03
YDR458C	1.25E+03
YGL053W	1.25E+03
YGR072W	1.25E+03
YKR086W	1.25E+03
YOL082W	1.25E+03
YPL018W	1.25E+03
YER059W	1.24E+03
YER161C	1.24E+03
YGL178W	1.24E+03
YGR147C	1.24E+03
YIL008W	1.24E+03
YIL036W	1.24E+03
YJL024C	1.24E+03
YKL061W	1.24E+03
YKL194C	1.24E+03
YKR049C	1.24E+03
YLR375W	1.24E+03
YNL173C	1.24E+03
YOR094W	1.24E+03
YOR319W	1.24E+03
YER155C	1.23E+03
YDR003W	1.23E+03
YEL011W	1.23E+03
YIL115C	1.23E+03
YIL161W	1.23E+03
YJR098C	1.23E+03
YKL092C	1.23E+03
YKR074W	1.23E+03
YMR182C	1.23E+03
YOL090W	1.23E+03
YOL125W	1.23E+03
YER050C	1.21E+03
YJL143W	1.21E+03
YLR090W	1.21E+03
YML030W	1.21E+03
YOR059C	1.21E+03
YBR048W	1.20E+03
YBR071W	1.20E+03
YBR137W	1.20E+03
YBR254C	1.20E+03
YCL039W	1.20E+03
YDL170W	1.20E+03
YHR194W	1.20E+03
YLR003C	1.20E+03
YLR006C	1.20E+03
YLR239C	1.20E+03
YMR126C	1.20E+03
YMR231W	1.20E+03
YMR250W	1.20E+03
YMR286W	1.20E+03
YOL065C	1.20E+03
YOR097C	1.20E+03
YBR133C	1.18E+03
YER069W	1.18E+03
YFL021W	1.18E+03
YGR252W	1.18E+03
YJL099W	1.18E+03
YML025C	1.18E+03
YMR068W	1.18E+03
YNL218W	1.18E+03
YPR124W	1.18E+03
YKL164C	1.17E+03
YAL027W	1.17E+03
YBR022W	1.17E+03
YDR080W	1.17E+03
YGL226W	1.17E+03
YGL257C	1.17E+03
YGR024C	1.17E+03
YHR107C	1.17E+03
YHR155W	1.17E+03
YKL027W	1.17E+03
YMR299C	1.17E+03
YNL083W	1.17E+03
YOR244W	1.17E+03
YCR042C	1.16E+03
YCR073W-A	1.16E+03
YEL066W	1.16E+03
YGL032C	1.16E+03
YIL047C	1.16E+03
YIL144W	1.16E+03
YJR118C	1.16E+03
YLR067C	1.16E+03
YML091C	1.16E+03
YNL027W	1.16E+03
YNL213C	1.16E+03
YPR075C	1.16E+03
YKR062W	1.15E+03
YCL028W	1.14E+03
YDL173W	1.14E+03
YJL088W	1.14E+03
YJR083C	1.14E+03
YLL002W	1.14E+03
YNR040W	1.14E+03
YOL072W	1.14E+03
YDR309C	1.13E+03
YKL059C	1.13E+03
YKL149C	1.13E+03
YPL245W	1.13E+03
YPR188C	1.13E+03
YDR362C	1.13E+03
YBR093C	1.11E+03
YFL024C	1.11E+03
YFL034W	1.11E+03
YJL030W	1.11E+03
YOR123C	1.11E+03
YBR268W	1.10E+03
YDR293C	1.10E+03
YER034W	1.10E+03
YGL162W	1.10E+03
YHR061C	1.10E+03
YJL070C	1.10E+03
YKL162C	1.10E+03
YNL011C	1.10E+03
YPR179C	1.10E+03
YBL091C	1.08E+03
YBR085W	1.08E+03
YDL115C	1.08E+03
YFR003C	1.08E+03
YGL140C	1.08E+03
YIL068C	1.08E+03
YJR110W	1.08E+03
YLR240W	1.08E+03
YLR278C	1.08E+03
YLR436C	1.08E+03
YML011C	1.08E+03
YML019W	1.08E+03
YML032C	1.08E+03
YMR054W	1.08E+03
YNL127W	1.08E+03
YNL169C	1.08E+03
YOL071W	1.08E+03
YOR236W	1.08E+03
YPR006C	1.08E+03
YBL013W	1.07E+03
YDL019C	1.07E+03
YDR205W	1.07E+03
YGL180W	1.07E+03
YIL039W	1.07E+03
YIR007W	1.07E+03
YLR190W	1.07E+03
YLR360W	1.07E+03
YML128C	1.07E+03
YMR222C	1.07E+03
YMR287C	1.07E+03
YOL009C	1.07E+03
YOL044W	1.07E+03
YJL081C	1.07E+03
YBL011W	1.05E+03
YBL103C	1.05E+03
YBR104W	1.05E+03
YBR170C	1.05E+03
YDR066C	1.05E+03
YDR076W	1.05E+03
YGR071C	1.05E+03
YGR237C	1.05E+03
YLR094C	1.05E+03
YMR227C	1.05E+03
YNL102W	1.05E+03
YNL249C	1.05E+03
YKR071C	1.05E+03
YMR058W	1.05E+03
YDL003W	1.04E+03
YBL085W	1.04E+03
YBR279W	1.04E+03
YDL207W	1.04E+03
YDR084C	1.04E+03
YDR370C	1.04E+03
YHR102W	1.04E+03
YKL017C	1.04E+03
YLR188W	1.04E+03
YOR140W	1.04E+03
YOR231W	1.04E+03
YPL002C	1.04E+03
YCR008W	1.03E+03
YDR073W	1.03E+03
YGL175C	1.03E+03
YJR135C	1.03E+03
YLR178C	1.03E+03
YMR201C	1.03E+03
YMR223W	1.03E+03
YAL041W	1.01E+03
YBL046W	1.01E+03
YBR130C	1.01E+03
YBR179C	1.01E+03
YCR083W	1.01E+03
YDL233W	1.01E+03
YDR222W	1.01E+03
YGL226C-A	1.01E+03
YGR104C	1.01E+03
YOR141C	1.01E+03
YDL150W	9.98E+02
YBL029C-A	9.96E+02
YGL061C	9.96E+02
YGR089W	9.96E+02
YIL045W	9.96E+02
YLR323C	9.96E+02
YOR104W	9.96E+02
YPL097W	9.96E+02
YBR142W	9.81E+02
YCR082W	9.81E+02
YDL181W	9.81E+02
YDR059C	9.81E+02
YJL137C	9.81E+02
YJL147C	9.81E+02
YKL168C	9.81E+02
YMR209C	9.81E+02
YNL130C	9.81E+02
YAL017W	9.67E+02
YDR320C-A	9.67E+02
YER128W	9.67E+02
YLR036C	9.67E+02
YOR220W	9.67E+02
YOR246C	9.67E+02
YBL007C	9.52E+02
YBR092C	9.52E+02
YBR208C	9.52E+02
YDL001W	9.52E+02
YDR318W	9.52E+02
YEL068C	9.52E+02
YGL100W	9.52E+02
YGL119W	9.52E+02
YGR041W	9.52E+02
YJR024C	9.52E+02
YJR146W	9.52E+02
YNL092W	9.52E+02
YNL273W	9.52E+02
YBR193C	9.37E+02
YDR070C	9.37E+02
YDR441C	9.37E+02
YDR469W	9.37E+02
YDR520C	9.37E+02
YEL018W	9.37E+02
YER101C	9.37E+02
YER175C	9.37E+02
YGL098W	9.37E+02
YGL161C	9.37E+02
YGL181W	9.37E+02
YGR156W	9.37E+02
YHR152W	9.37E+02
YJL196C	9.37E+02
YJR052W	9.37E+02
YMR010W	9.37E+02
YMR077C	9.37E+02
YNL080C	9.37E+02
YOL110W	9.37E+02
YOR205C	9.37E+02
YDR145W	9.30E+02
YDR275W	9.22E+02
YIL077C	9.22E+02
YIR005W	9.22E+02
YJR140C	9.22E+02
YLL032C	9.22E+02
YLR297W	9.22E+02
YLR427W	9.22E+02
YMR148W	9.22E+02
YNL022C	9.22E+02
YOR038C	9.22E+02
YOR264W	9.22E+02
YPL229W	9.22E+02
YPL255W	9.22E+02
YPR118W	9.22E+02
YAR003W	9.07E+02
YDL098C	9.07E+02
YDL177C	9.07E+02
YER013W	9.07E+02
YER147C	9.07E+02
YHR143W-A	9.07E+02
YJR079W	9.07E+02
YLL043W	9.07E+02
YLR218C	9.07E+02
YML023C	9.07E+02
YML076C	9.07E+02
YML121W	9.07E+02
YMR026C	9.07E+02
YOR245C	9.07E+02
YDL155W	8.92E+02
YDL189W	8.92E+02
YJL057C	8.92E+02
YKL005C	8.92E+02
YKR022C	8.92E+02
YLR214W	8.92E+02
YLR316C	8.92E+02
YMR284W	8.92E+02
YOL034W	8.92E+02
YOR238W	8.92E+02
YOR353C	8.92E+02
YOR373W	8.92E+02
YDL085C-A	8.76E+02
YDL142C	8.76E+02
YER162C	8.76E+02
YGL090W	8.76E+02
YGR047C	8.76E+02
YGR150C	8.76E+02
YLR376C	8.76E+02
YNL242W	8.76E+02
YAL009W	8.61E+02
YDL025C	8.61E+02
YDL112W	8.61E+02
YDR034W-B	8.61E+02
YDR379C-A	8.61E+02
YDR515W	8.61E+02
YDR539W	8.61E+02
YER029C	8.61E+02
YKR077W	8.61E+02
YKR099W	8.61E+02
YML027W	8.61E+02
YNL245C	8.61E+02
YOR064C	8.61E+02
YOR279C	8.61E+02
YOR350C	8.61E+02
YPR091C	8.61E+02
YPR134W	8.61E+02
YAR044W	8.46E+02
YBL008W	8.46E+02
YBR162W-A	8.46E+02
YDR184C	8.46E+02
YER010C	8.46E+02
YGL067W	8.46E+02
YGR258C	8.46E+02
YIL007C	8.46E+02
YKR004C	8.46E+02
YLL013C	8.46E+02
YLR305C	8.46E+02
YLR404W	8.46E+02
YML068W	8.46E+02
YNL221C	8.46E+02
YBL054W	8.30E+02
YBR267W	8.30E+02
YCL047C	8.30E+02
YDR236C	8.30E+02
YGL035C	8.30E+02
YHL026C	8.30E+02
YJL035C	8.30E+02
YLR396C	8.30E+02
YNL093W	8.30E+02
YNL250W	8.30E+02
YOL141W	8.30E+02
YOR288C	8.30E+02
YPL105C	8.30E+02
YIL143C	8.25E+02
YER132C	8.15E+02
YJR161C	8.15E+02
YML037C	8.15E+02
YMR271C	8.15E+02
YNL230C	8.15E+02
YOR034C	8.15E+02
YOR336W	8.15E+02
YDL022W	8.07E+02
YBL101C	7.99E+02
YCL033C	7.99E+02
YDR016C	7.99E+02
YER071C	7.99E+02
YGR222W	7.99E+02
YHR067W	7.99E+02
YHR156C	7.99E+02
YLR275W	7.99E+02
YLR397C	7.99E+02
YLR460C	7.99E+02
YNL254C	7.99E+02
YOR372C	7.99E+02
YPL133C	7.99E+02
YPL247C	7.99E+02
YBR278W	7.84E+02
YCR024C	7.84E+02
YCR051W	7.84E+02
YDR123C	7.84E+02
YDR247W	7.84E+02
YER051W	7.84E+02
YER158C	7.84E+02
YGL045W	7.84E+02
YHR088W	7.84E+02
YIL097W	7.84E+02
YJR091C	7.84E+02
YLR200W	7.84E+02
YML051W	7.84E+02
YML104C	7.84E+02
YMR213W	7.84E+02
YNL260C	7.84E+02
YOL052C-A	7.84E+02
YOR307C	7.84E+02
YOR311C	7.84E+02
YGR013W	7.82E+02
YAL010C	7.68E+02
YBL107C	7.68E+02
YDR181C	7.68E+02
YDR198C	7.68E+02
YDR320C	7.68E+02
YDR323C	7.68E+02
YER075C	7.68E+02
YGR100W	7.68E+02
YGR111W	7.68E+02
YLR079W	7.68E+02
YMR023C	7.68E+02
YMR289W	7.68E+02
YOR129C	7.68E+02
YOR334W	7.68E+02
YNL261W	7.68E+02
YDL157C	7.52E+02
YDR213W	7.52E+02
YDR437W	7.52E+02
YDR488C	7.52E+02
YER129W	7.52E+02
YER173W	7.52E+02
YGR206W	7.52E+02
YGR287C	7.52E+02
YHL018W	7.52E+02
YHR044C	7.52E+02
YHR060W	7.52E+02
YJR156C	7.52E+02
YKL144C	7.52E+02
YNR047W	7.52E+02
YOL020W	7.52E+02
YOR148C	7.52E+02
YPL058C	7.52E+02
YPL115C	7.52E+02
YPL166W	7.52E+02
YPR066W	7.52E+02
YPR098C	7.52E+02
YAL002W	7.36E+02
YCR092C	7.36E+02
YDL107W	7.36E+02
YDR507C	7.36E+02
YER176W	7.36E+02
YGL064C	7.36E+02
YGL216W	7.36E+02
YIL061C	7.36E+02
YIL122W	7.36E+02
YKL015W	7.36E+02
YLR362W	7.36E+02
YLR392C	7.36E+02
YMR163C	7.36E+02
YMR316W	7.36E+02
YOR022C	7.36E+02
YOR337W	7.36E+02
YPL089C	7.36E+02
YCL061C	7.21E+02
YDR009W	7.21E+02
YDR014W	7.21E+02
YFR026C	7.21E+02
YGL014W	7.21E+02
YJL023C	7.21E+02
YJL172W	7.21E+02
YJL179W	7.21E+02
YJL217W	7.21E+02
YJR133W	7.21E+02
YKL033W	7.21E+02
YKL078W	7.21E+02
YMR121C	7.21E+02
YMR181C	7.21E+02
YMR244C-A	7.21E+02
YPR101W	7.21E+02
YBL095W	7.04E+02
YBL097W	7.04E+02
YBR066C	7.04E+02
YBR205W	7.04E+02
YBR283C	7.04E+02
YER170W	7.04E+02
YFR016C	7.04E+02
YGL085W	7.04E+02
YGR174C	7.04E+02
YIR023W	7.04E+02
YKL018W	7.04E+02
YLR193C	7.04E+02
YMR090W	7.04E+02
YMR263W	7.04E+02
YNL046W	7.04E+02
YOL078W	7.04E+02
YOR329C	7.04E+02
YOR349W	7.04E+02
YPR171W	7.04E+02
YDR040C	6.88E+02
YDR146C	6.88E+02
YDR527W	6.88E+02
YER114C	6.88E+02
YGR191W	6.88E+02
YKL184W	6.88E+02
YLR194C	6.88E+02
YOR386W	6.88E+02
YPL163C	6.88E+02
YPL267W	6.88E+02
YBR155W	6.72E+02
YDL159W	6.72E+02
YDR185C	6.72E+02
YDR268W	6.72E+02
YER057C	6.72E+02
YGL084C	6.72E+02
YIL015W	6.72E+02
YJL003W	6.72E+02
YLR072W	6.72E+02
YLR299W	6.72E+02
YLR313C	6.72E+02
YLR395C	6.72E+02
YML081W	6.72E+02
YMR268C	6.72E+02
YOL102C	6.72E+02
YOR033C	6.72E+02
YPL047W	6.72E+02
YOR008C	6.64E+02
YCL049C	6.56E+02
YCR077C	6.56E+02
YDR334W	6.56E+02
YDR358W	6.56E+02
YDR365C	6.56E+02
YFR048W	6.56E+02
YGL086W	6.56E+02
YGR057C	6.56E+02
YHR031C	6.56E+02
YHR204W	6.56E+02
YIL147C	6.56E+02
YKL108W	6.56E+02
YML005W	6.56E+02
YML053C	6.56E+02
YMR171C	6.56E+02
YNL068C	6.56E+02
YNL148C	6.56E+02
YNL214W	6.56E+02
YOR304C-A	6.56E+02
YPL118W	6.56E+02
YPL137C	6.56E+02
YPL155C	6.56E+02
YPL269W	6.56E+02
YKR063C	6.47E+02
YAL047C	6.39E+02
YDL036C	6.39E+02
YDR039C	6.39E+02
YDR164C	6.39E+02
YDR169C	6.39E+02
YDR201W	6.39E+02
YDR301W	6.39E+02
YFR017C	6.39E+02
YJR015W	6.39E+02
YML088W	6.39E+02
YML132W	6.39E+02
YMR135C	6.39E+02
YMR204C	6.39E+02
YMR256C	6.39E+02
YOR088W	6.39E+02
YOR295W	6.39E+02
YPR104C	6.39E+02
YPR131C	6.39E+02
YGR099W	6.38E+02
YJR006W	6.26E+02
YBL059W	6.23E+02
YBR141C	6.23E+02
YBR225W	6.23E+02
YDL048C	6.23E+02
YDR256C	6.23E+02
YDR422C	6.23E+02
YDR423C	6.23E+02
YER011W	6.23E+02
YER030W	6.23E+02
YGL154C	6.23E+02
YGR112W	6.23E+02
YGR141W	6.23E+02
YHR161C	6.23E+02
YJL214W	6.23E+02
YKR029C	6.23E+02
YMR006C	6.23E+02
YNL072W	6.23E+02
YNL184C	6.23E+02
YNL322C	6.23E+02
YOR042W	6.23E+02
YOR048C	6.23E+02
YPR122W	6.23E+02
YAL026C	6.06E+02
YCR088W	6.06E+02
YDL089W	6.06E+02
YDR038C	6.06E+02
YDR072C	6.06E+02
YDR254W	6.06E+02
YDR499W	6.06E+02
YIL090W	6.06E+02
YIL156W	6.06E+02
YKL077W	6.06E+02
YLL062C	6.06E+02
YNL289W	6.06E+02
YOL021C	6.06E+02
YOL051W	6.06E+02
YOL138C	6.06E+02
YPL149W	6.06E+02
YBL084C	5.93E+02
YCR094W	5.89E+02
YDR137W	5.89E+02
YDR142C	5.89E+02
YDR357C	5.89E+02
YDR477W	5.89E+02
YDR506C	5.89E+02
YER040W	5.89E+02
YER111C	5.89E+02
YGR146C	5.89E+02
YHR073W	5.89E+02
YIL098C	5.89E+02
YIR024C	5.89E+02
YJR066W	5.89E+02
YKL143W	5.89E+02
YKR036C	5.89E+02
YLR377C	5.89E+02
YLR453C	5.89E+02
YLR456W	5.89E+02
YMR264W	5.89E+02
YNL006W	5.89E+02
YNL023C	5.89E+02
YOL087C	5.89E+02
YDR182W	5.83E+02
YBR150C	5.73E+02
YFL027C	5.73E+02
YGR019W	5.73E+02
YJR145C	5.73E+02
YLR086W	5.73E+02
YLR364W	5.73E+02
YML064C	5.73E+02
YMR159C	5.73E+02
YMR319C	5.73E+02
YNL328C	5.73E+02
YPL095C	5.73E+02
YDR081C	5.72E+02
YBL098W	5.56E+02
YDL069C	5.56E+02
