ID	Protein_copy_number	mRNA_copy_number	Protein_half-life_h	mRNA_half-life_h
ENSMUST00000001845	272048.82	152.08	86.79	15.09
ENSMUST00000001884	8481.49	9.1	61.28	24.36
ENSMUST00000106998	8481.49	9.1	61.28	24.36
ENSMUST00000001920	2689.99	NA	147.56	NA
ENSMUST00000001950	14437.82	NA	20.11	6.59
ENSMUST00000055819	14437.82	NA	20.11	6.59
ENSMUST00000001974	7401.63	21.16	57.02	9.04
ENSMUST00000109767	7401.63	21.16	57.02	9.04
ENSMUST00000001975	572.08	34.31	9.23	11.18
ENSMUST00000001989	342003.18	158.22	119.23	22.43
ENSMUST00000089217	342003.18	158.22	119.23	22.43
ENSMUST00000002027	43172.17	21.03	21.03	13.19
ENSMUST00000114160	43172.17	21.03	21.03	13.19
ENSMUST00000002029	282903.68	67.91	49.93	13.29
ENSMUST00000088313	282903.68	67.91	49.93	13.29
ENSMUST00000002043	63953.73	36.8	54.22	13.81
ENSMUST00000002048	16882.16	4.97	67.18	4.59
ENSMUST00000002064	86582.61	13.1	146.28	9.32
ENSMUST00000002090	317779.87	88.41	68.39	14.43
ENSMUST00000002091	340500.04	78.25	145	16.34
ENSMUST00000002095	128.19	7.84	13.49	4.84
ENSMUST00000114689	128.19	7.84	13.49	4.84
ENSMUST00000002121	19524.06	44.3	15.69	14.5
ENSMUST00000108314	19524.06	44.3	15.69	14.5
ENSMUST00000002127	740.36	16.02	19.38	8.24
ENSMUST00000108295	740.36	16.02	19.38	8.24
ENSMUST00000100755	740.36	16.02	19.38	8.24
ENSMUST00000002128	35798.05	45.48	36.43	9.52
ENSMUST00000108322	35798.05	45.48	36.43	9.52
ENSMUST00000108323	35798.05	45.48	36.43	9.52
ENSMUST00000056241	35798.05	45.48	36.43	9.52
ENSMUST00000002133	18890.24	34.85	37.85	9.57
ENSMUST00000002171	201850.02	87.82	54.48	13.49
ENSMUST00000067663	201850.02	87.82	54.48	13.49
ENSMUST00000111441	201850.02	87.82	54.48	13.49
ENSMUST00000002172	3034.06	8.68	59.6	10.42
ENSMUST00000099722	3034.06	8.68	59.6	10.42
ENSMUST00000002198	57641.02	25.02	46.35	10.52
ENSMUST00000002280	8472.44	13.15	41.99	8.43
ENSMUST00000002289	166752.02	38.87	108.92	11.32
ENSMUST00000066470	166752.02	38.87	108.92	11.32
ENSMUST00000002291	1362.91	14.58	52.44	10.08
ENSMUST00000002303	384333.03	81	26.35	13.2
ENSMUST00000106787	384333.03	81	26.35	13.2
ENSMUST00000002397	7008.74	8.16	269.91	8.2
ENSMUST00000002400	20814.82	4.34	66.58	5.74
ENSMUST00000002403	21767.02	11.78	55.72	20.49
ENSMUST00000002436	64200.38	73.3	57.37	8.41
ENSMUST00000002445	45211.79	38.04	48.42	8.08
ENSMUST00000002452	11509.69	6.89	50.64	32.66
ENSMUST00000002502	138.55	4.08	12.36	8.26
ENSMUST00000002518	3146.94	46.11	7.25	22.71
ENSMUST00000105318	3146.94	46.11	7.25	22.71
ENSMUST00000002529	12454.83	NA	31.92	13.34
ENSMUST00000002551	823612.8	41.76	219.74	8.21
ENSMUST00000002599	126407.11	132.38	20.8	8.21
ENSMUST00000100527	126407.11	132.38	20.8	8.21
ENSMUST00000002603	17889.39	35.11	38.19	16.3
ENSMUST00000063747	17889.39	35.11	38.19	16.3
ENSMUST00000109945	17889.39	35.11	38.19	16.3
ENSMUST00000109946	17889.39	35.11	38.19	16.3
ENSMUST00000002625	15460.67	13.21	13.14	5.7
ENSMUST00000113405	15460.67	13.21	13.14	5.7
ENSMUST00000002626	9051.93	22.75	86.73	19.02
ENSMUST00000035664	9051.93	22.75	86.73	19.02
ENSMUST00000091089	9051.93	22.75	86.73	19.02
ENSMUST00000113354	9051.93	22.75	86.73	19.02
ENSMUST00000116534	9051.93	22.75	86.73	19.02
ENSMUST00000002655	6240.73	28.13	78.5	13.74
ENSMUST00000002677	1625.83	129.78	7.22	15.65
ENSMUST00000085948	1625.83	129.78	7.22	15.65
ENSMUST00000002699	10793.63	25.19	47.56	6.77
ENSMUST00000002733	8555.04	39.76	51.58	9.36
ENSMUST00000066446	8555.04	39.76	51.58	9.36
ENSMUST00000002735	59178.13	35.21	177.3	11.79
ENSMUST00000002765	860.1	5.57	36.31	12.12
ENSMUST00000002790	535863.4	35.81	104.54	11.13
ENSMUST00000002805	36679.4	20.21	90.55	5.36
ENSMUST00000110000	36679.4	20.21	90.55	5.36
ENSMUST00000002808	17083.21	5.71	98.91	8.84
ENSMUST00000002809	23877.36	11.39	51.42	11.78
ENSMUST00000002818	94137.97	33.63	53.73	10.19
ENSMUST00000002825	32483.82	42.03	27.95	9.16
ENSMUST00000002837	118462.8	14.75	66.42	11.73
ENSMUST00000002839	41817.25	27.87	91.45	14.64
ENSMUST00000002844	7603.16	25.16	52.87	12.72
ENSMUST00000113430	7603.16	25.16	52.87	12.72
ENSMUST00000113429	7603.16	25.16	52.87	12.72
ENSMUST00000002855	13739.74	39.07	86.82	13.47
ENSMUST00000002889	15679.2	20.76	117.95	17.16
ENSMUST00000002911	4481.99	24.42	121.92	10.29
ENSMUST00000002914	5624.12	28.16	10.32	9.17
ENSMUST00000002923	29178.02	16.81	79.15	12.03
ENSMUST00000002925	1665	4.24	66.42	11.32
ENSMUST00000114734	1665	4.24	66.42	11.32
ENSMUST00000002979	27375.8	88.91	7.9	19.26
ENSMUST00000002980	211987.97	34.66	265.17	8.17
ENSMUST00000110857	211987.97	34.66	265.17	8.17
ENSMUST00000003027	2018.38	19.99	12.92	3.13
ENSMUST00000052385	2018.38	19.99	12.92	3.13
ENSMUST00000110998	2018.38	19.99	12.92	3.13
ENSMUST00000003029	50215.36	23.38	174.77	6.84
ENSMUST00000003038	102321.89	NA	102.9	19.78
ENSMUST00000003044	6030.85	6.89	108.11	6.6
ENSMUST00000085410	6030.85	6.89	108.11	6.6
ENSMUST00000107876	6030.85	6.89	108.11	6.6
ENSMUST00000098478	6030.85	6.89	108.11	6.6
ENSMUST00000003079	198350.73	48.09	70.1	13.68
ENSMUST00000036497	198350.73	48.09	70.1	13.68
ENSMUST00000003117	17034.11	26.16	67.83	9.57
ENSMUST00000003156	240137.46	113.6	61.52	16.9
ENSMUST00000105367	240137.46	113.6	61.52	16.9
ENSMUST00000003183	24681.02	33.48	81.77	10.43
ENSMUST00000003203	1071.35	9.02	6.71	5.41
ENSMUST00000107538	1071.35	9.02	6.71	5.41
ENSMUST00000092733	1071.35	9.02	6.71	5.41
ENSMUST00000003215	210709.23	24.8	169.01	8.53
ENSMUST00000003219	7470.96	8.43	59.13	7.81
ENSMUST00000003245	102901.08	17.72	80.28	15.37
ENSMUST00000088786	102901.08	17.72	80.28	15.37
ENSMUST00000003268	49380.99	22.65	37.71	6.9
ENSMUST00000003310	13110.34	11.88	61.88	6.66
ENSMUST00000003319	12483.19	11.72	42.56	11
ENSMUST00000003320	14935.75	31.36	87.32	16.31
ENSMUST00000003386	36936.69	22.88	57.1	13.15
ENSMUST00000003404	12695.69	24.82	23.98	20.04
ENSMUST00000003416	2533.09	10.8	15.4	11.29
ENSMUST00000077639	2533.09	10.8	15.4	11.29
ENSMUST00000003445	26237.19	NA	136.12	11.02
ENSMUST00000003453	6622.74	16.08	10.91	29.65
ENSMUST00000117095	6622.74	16.08	10.91	29.65
ENSMUST00000117611	6622.74	16.08	10.91	29.65
ENSMUST00000003461	33150.93	11.39	199.25	22.72
ENSMUST00000093350	33150.93	11.39	199.25	22.72
ENSMUST00000101554	33150.93	11.39	199.25	22.72
ENSMUST00000109797	33150.93	11.39	199.25	22.72
ENSMUST00000003493	130280.8	74.2	91.67	18.79
ENSMUST00000115331	130280.8	74.2	91.67	18.79
ENSMUST00000003513	19099.91	12.93	12.29	12.87
ENSMUST00000107829	19099.91	12.93	12.29	12.87
ENSMUST00000003527	47441.89	61.02	35.42	11.43
ENSMUST00000003529	10458.19	26.51	43.4	9.94
ENSMUST00000003550	11661.27	20.95	34.33	13.78
ENSMUST00000003572	218863.95	124.82	151.3	13.12
ENSMUST00000003575	434945.88	187.34	50.95	12.57
ENSMUST00000003622	45480.78	15.03	216.81	18.74
ENSMUST00000003642	995.88	2.77	34.81	15.21
ENSMUST00000003641	995.88	2.77	34.81	15.21
ENSMUST00000003645	4654.38	38.11	30.06	7.71
ENSMUST00000003669	4647.85	20.11	40.98	10.08
ENSMUST00000110124	4647.85	20.11	40.98	10.08
ENSMUST00000003710	8214.63	4.26	194.83	11.92
ENSMUST00000089519	8214.63	4.26	194.83	11.92
ENSMUST00000003714	3980.37	30	10.9	23.23
ENSMUST00000091309	3980.37	30	10.9	23.23
ENSMUST00000108325	3980.37	30	10.9	23.23
ENSMUST00000108328	3980.37	30	10.9	23.23
ENSMUST00000108329	3980.37	30	10.9	23.23
ENSMUST00000003720	19156.76	11.06	35.92	10.28
ENSMUST00000003725	2243.67	13.61	78.93	6.9
ENSMUST00000064694	2243.67	13.61	78.93	6.9
ENSMUST00000087699	2243.67	13.61	78.93	6.9
ENSMUST00000087703	2243.67	13.61	78.93	6.9
ENSMUST00000114463	2243.67	13.61	78.93	6.9
ENSMUST00000003726	4078.26	24.21	23.14	8.35
ENSMUST00000114475	4078.26	24.21	23.14	8.35
ENSMUST00000119123	4078.26	24.21	23.14	8.35
ENSMUST00000121285	4078.26	24.21	23.14	8.35
ENSMUST00000003759	12374.15	5.93	27.24	12.86
ENSMUST00000003843	375.57	4.55	26.97	14.58
ENSMUST00000105470	375.57	4.55	26.97	14.58
ENSMUST00000099741	375.57	4.55	26.97	14.58
ENSMUST00000003877	876.62	24.43	6.13	14
ENSMUST00000003906	133437.77	35.77	400.6	10.78
ENSMUST00000095222	133437.77	35.77	400.6	10.78
ENSMUST00000109754	133437.77	35.77	400.6	10.78
ENSMUST00000003912	541216.85	315.48	135.41	34.09
ENSMUST00000003946	23769.59	34.53	18.75	5.79
ENSMUST00000003947	342843.29	79.61	61.32	11.41
ENSMUST00000003964	12762.42	14.92	174.81	13.19
ENSMUST00000004054	6792.37	11.67	41.73	6
ENSMUST00000004057	118064.69	49.67	126.31	15.05
ENSMUST00000004072	1417795.32	1517.9	111.15	14.94
ENSMUST00000004097	1776.36	7.6	26.77	10.04
ENSMUST00000111111	1776.36	7.6	26.77	10.04
ENSMUST00000065599	1776.36	7.6	26.77	10.04
ENSMUST00000004134	57734.5	22.34	219.36	18.28
ENSMUST00000004145	1123.08	4.27	49.24	8.76
ENSMUST00000107356	1123.08	4.27	49.24	8.76
ENSMUST00000107357	1123.08	4.27	49.24	8.76
ENSMUST00000004172	91925.57	23.77	54.34	8.25
ENSMUST00000118885	91925.57	23.77	54.34	8.25
ENSMUST00000120232	91925.57	23.77	54.34	8.25
ENSMUST00000004200	33445.16	30.79	14.62	11.83
ENSMUST00000004202	64045.36	64.06	12.31	12.68
ENSMUST00000004202	496.74	NA	12.58	NA
ENSMUST00000004203	41348.77	51.88	53.27	5.28
ENSMUST00000004206	142499.98	85.6	72.03	9.09
ENSMUST00000004208	725.34	50.37	6.57	15.04
ENSMUST00000004316	31319.61	302.74	33.3	24.81
ENSMUST00000105465	31319.61	302.74	33.3	24.81
ENSMUST00000004327	211718.25	44.89	103.23	19.47
ENSMUST00000004343	2257.2	3.33	131.77	7.51
ENSMUST00000004375	447351.26	85.63	296.02	9.85
ENSMUST00000100958	447351.26	85.63	296.02	9.85
ENSMUST00000004379	53957.7	60.19	55.19	8.12
ENSMUST00000004389	25926.92	28.76	13.57	12.82
ENSMUST00000004396	29437.63	61.38	21.47	10.89
ENSMUST00000004470	15060.68	15.71	25.92	12.88
ENSMUST00000004478	18063.27	33.26	22.97	8.69
ENSMUST00000004494	142.05	14.02	8.8	13.18
ENSMUST00000109950	142.05	14.02	8.8	13.18
ENSMUST00000004507	23831.2	15.63	29.58	8.44
ENSMUST00000004508	38696.45	16.4	85.06	11.27
ENSMUST00000004554	1386936.22	816.03	128.83	15.92
ENSMUST00000108539	1386936.22	816.03	128.83	15.92
ENSMUST00000004560	60493.19	21.65	67.97	6.29
ENSMUST00000004565	109001.06	18.01	44.08	9.45
ENSMUST00000004574	57694.76	16.33	97.96	20.3
ENSMUST00000004646	169766.12	63.14	73.02	11.69
ENSMUST00000004681	472.76	5.2	29.29	12.09
ENSMUST00000111070	472.76	5.2	29.29	12.09
ENSMUST00000004684	1204.02	9.61	18.66	7.59
ENSMUST00000004729	299304.58	41.8	173.58	15.91
ENSMUST00000004784	238842.24	147.89	16.9	11.85
ENSMUST00000004786	120192.22	70.05	24.86	10.84
ENSMUST00000004910	68822	30.04	74.75	8.83
ENSMUST00000004955	43630.22	10.6	300.46	6.9
ENSMUST00000004965	7316.95	11.07	21.08	9.35
ENSMUST00000004968	35487.42	37.31	31.46	25.89
ENSMUST00000004987	17696.8	30.47	31.98	5.36
ENSMUST00000004990	51546.24	20.41	36.93	6.56
ENSMUST00000062694	51546.24	20.41	36.93	6.56
ENSMUST00000114757	51546.24	20.41	36.93	6.56
ENSMUST00000114758	51546.24	20.41	36.93	6.56
ENSMUST00000005003	42118.07	16.02	65.28	8.42
ENSMUST00000005015	2061.39	25.42	12.56	6.98
ENSMUST00000005017	207371	123.97	119.85	17.59
ENSMUST00000005041	242849.54	114.63	71.84	11.38
ENSMUST00000005051	2267900.06	388.36	159.19	23.93
ENSMUST00000048209	2267900.06	388.36	159.19	23.93
ENSMUST00000107634	2267900.06	388.36	159.19	23.93
ENSMUST00000005053	1692.64	21.56	8.88	11.5
ENSMUST00000024569	1692.64	21.56	8.88	11.5
ENSMUST00000005057	59613.78	30.09	168.62	15.84
ENSMUST00000005066	73522.07	22.35	231.66	11.12
ENSMUST00000005067	111443.89	45.56	47.7	12.94
ENSMUST00000005122	12362.64	5.8	54.23	8.42
ENSMUST00000005164	39672.51	16.69	93.71	11.15
ENSMUST00000102515	39672.51	16.69	93.71	11.15
ENSMUST00000106140	39672.51	16.69	93.71	11.15
ENSMUST00000005185	609511.01	221.34	308.03	12.15
ENSMUST00000005218	85648.16	69.63	23.65	10.99
ENSMUST00000099673	85648.16	69.63	23.65	10.99
ENSMUST00000111189	85648.16	69.63	23.65	10.99
ENSMUST00000111194	85648.16	69.63	23.65	10.99
ENSMUST00000111195	85648.16	69.63	23.65	10.99
ENSMUST00000111196	85648.16	69.63	23.65	10.99
ENSMUST00000111197	85648.16	69.63	23.65	10.99
ENSMUST00000111198	85648.16	69.63	23.65	10.99
ENSMUST00000111199	85648.16	69.63	23.65	10.99
ENSMUST00000111200	85648.16	69.63	23.65	10.99
ENSMUST00000060516	85648.16	69.63	23.65	10.99
ENSMUST00000111190	85648.16	69.63	23.65	10.99
