ID	Protein_copy_number	mRNA_copy_number	Protein_half-life_h	mRNA_half-life_h
ENSMUST00000033950	11613.91	19.19	36.2	9.46
ENSMUST00000033966	5255.83	12.6	68.94	10.88
ENSMUST00000033967	511.81	22.78	21.95	19.07
ENSMUST00000033973	31337.08	8.6	23.78	10.1
ENSMUST00000033983	31288.77	28.54	19.11	5.46
ENSMUST00000033990	154	NA	9.37	NA
ENSMUST00000033991	154	NA	9.37	NA
ENSMUST00000033992	65298.46	20.07	133.24	9.55
ENSMUST00000033993	12299.42	NA	16.3	NA
ENSMUST00000033995	2000.26	NA	13.86	NA
ENSMUST00000033994	2000.26	NA	13.86	NA
ENSMUST00000053251	2000.26	NA	13.86	NA
ENSMUST00000033999	32510.49	13.88	15.1	7
ENSMUST00000034000	20440.54	17.84	132.3	20.11
ENSMUST00000034012	7683.43	9.39	67.49	8.16
ENSMUST00000034015	8653.01	16.03	21.19	5.2
ENSMUST00000034021	657.78	8.09	36.03	9.04
ENSMUST00000110316	657.78	8.09	36.03	9.04
ENSMUST00000034022	1601.33	5.78	10.7	5.97
ENSMUST00000034049	265005.8	140.25	403.21	8.5
ENSMUST00000034051	5527.06	10.38	169.25	8.97
ENSMUST00000034057	6536.4	7.67	13.7	5.94
ENSMUST00000036243	6536.4	7.67	13.7	5.94
ENSMUST00000063451	6536.4	7.67	13.7	5.94
ENSMUST00000121785	6536.4	7.67	13.7	5.94
ENSMUST00000034058	8942.28	1.91	70.69	9.31
ENSMUST00000034079	36637.87	20.39	45.43	10.7
ENSMUST00000121949	36637.87	20.39	45.43	10.7
ENSMUST00000034094	10250.05	4.94	72.81	2.87
ENSMUST00000034097	508044.39	77.57	208.11	15.82
ENSMUST00000034131	95194.99	34.37	138.42	10.84
ENSMUST00000034132	871.4	19.22	4.07	5.62
ENSMUST00000034138	123054.79	40.65	28.94	11.51
ENSMUST00000034147	2503.94	16.96	37.12	6.46
ENSMUST00000086864	2503.94	16.96	37.12	6.46
ENSMUST00000034164	13578.71	14.25	26.75	4.96
ENSMUST00000034190	1004.57	8.18	101.33	12.72
ENSMUST00000034198	2997.83	3.55	32.21	15.38
ENSMUST00000034199	2997.83	3.55	32.21	15.38
ENSMUST00000034204	207841.51	NA	88.61	10.14
ENSMUST00000034226	12689.83	14.2	20.55	8.03
ENSMUST00000034233	40426.46	9.7	29.66	14.82
ENSMUST00000034234	1709.36	7.45	45.36	6.81
ENSMUST00000034235	28104.91	11.78	33.43	6.69
ENSMUST00000109521	28104.91	11.78	33.43	6.69
ENSMUST00000034249	18189.35	13.94	84.23	6.04
ENSMUST00000034264	138362.26	19.51	133.08	11.89
ENSMUST00000034267	3994.99	14.24	71.22	9
ENSMUST00000034270	64110.06	17.14	5.88	14.59
ENSMUST00000034272	6651.97	14.75	19.97	13
ENSMUST00000034276	213190.43	196.87	172.45	15.22
ENSMUST00000034277	71531.68	8.44	78.81	17.68
ENSMUST00000034278	14979.19	15.1	35.56	8.56
ENSMUST00000034285	270582.63	72.05	76.14	15.16
ENSMUST00000034299	6869.37	31.89	463.27	8.89
ENSMUST00000034303	5823.96	9.7	16.73	4.66
ENSMUST00000034304	15491.16	NA	50.21	NA
ENSMUST00000034311	86691.96	44.61	101.68	15.22
ENSMUST00000034326	6062.5	22.76	44.75	10.43
ENSMUST00000093467	6062.5	22.76	44.75	10.43
ENSMUST00000034328	697.29	9.94	23.74	9.25
ENSMUST00000110242	697.29	9.94	23.74	9.25
ENSMUST00000070713	697.29	9.94	23.74	9.25
ENSMUST00000110241	697.29	9.94	23.74	9.25
ENSMUST00000034349	22402.94	10.56	152.4	7.62
ENSMUST00000034359	20075.3	7.56	71.62	9.07
ENSMUST00000034369	58955.42	29.49	28.59	19.02
ENSMUST00000034370	878.3	18.08	10.8	8.99
ENSMUST00000116429	878.3	18.08	10.8	8.99
ENSMUST00000028549	878.3	18.08	10.8	8.99
ENSMUST00000053666	878.3	18.08	10.8	8.99
ENSMUST00000110991	878.3	18.08	10.8	8.99
ENSMUST00000034377	1924.33	6.07	34.8	4.76
ENSMUST00000034388	4351.94	11.84	26.86	9.55
ENSMUST00000034391	638.1	8.85	44.3	6.2
ENSMUST00000095517	638.1	8.85	44.3	6.2
ENSMUST00000034392	149445.11	16.16	109.4	11.63
ENSMUST00000034396	3011.4	23.94	37.93	9.44
ENSMUST00000115652	3011.4	23.94	37.93	9.44
ENSMUST00000088508	3011.4	23.94	37.93	9.44
ENSMUST00000034400	194288.07	27.55	260.7	15.22
ENSMUST00000034405	11546.94	10.12	74.01	8.09
ENSMUST00000115632	11546.94	10.12	74.01	8.09
ENSMUST00000034406	1159.07	6.34	48.91	2.7
ENSMUST00000034407	775.39	26.23	20.03	8.12
ENSMUST00000034411	2844.95	8.46	40.02	7.48
ENSMUST00000034414	7456.13	2.32	77.12	15.33
ENSMUST00000034426	165596.08	73.14	163.48	15.78
ENSMUST00000093120	165596.08	73.14	163.48	15.78
ENSMUST00000034428	9727.35	NA	4.74	NA
ENSMUST00000034432	18783.03	35.79	19.54	9.42
ENSMUST00000034433	2820.08	22.98	14.39	5.99
ENSMUST00000109137	2820.08	22.98	14.39	5.99
ENSMUST00000034441	112222.44	44.05	134.79	15.62
ENSMUST00000034446	273.63	29.6	90.96	19.08
ENSMUST00000115277	273.63	29.6	90.96	19.08
ENSMUST00000034457	2715.06	NA	65.17	6.17
ENSMUST00000034458	1825.54	NA	28.26	17.17
ENSMUST00000034460	542.14	NA	22.49	7.42
ENSMUST00000108803	542.14	NA	22.49	7.42
ENSMUST00000034464	1498.72	NA	10.68	13.18
ENSMUST00000034465	4228	NA	11.75	8.58
ENSMUST00000034466	936.29	NA	57.18	12.01
ENSMUST00000034470	40526.54	9.23	101.35	15.23
ENSMUST00000034499	26485.94	42.76	11.42	10.11
ENSMUST00000034524	51152.19	34.07	45.7	14.66
ENSMUST00000034529	11605.86	7.77	68.01	9.4
ENSMUST00000120122	11605.86	7.77	68.01	9.4
ENSMUST00000034539	88668.2	16.64	197.83	12.75
ENSMUST00000098913	88668.2	16.64	197.83	12.75
ENSMUST00000119847	88668.2	16.64	197.83	12.75
ENSMUST00000034541	19016.69	45.38	88.66	15.19
ENSMUST00000034543	1721.79	9.5	21.74	3.9
ENSMUST00000034547	183521.39	12.43	494.36	21.11
ENSMUST00000034552	6648.82	11.62	13.96	9.73
ENSMUST00000098775	6648.82	11.62	13.96	9.73
ENSMUST00000034560	25931.9	11.15	35.67	8.55
ENSMUST00000114437	25931.9	11.15	35.67	8.55
ENSMUST00000034567	56837.78	7.53	235.33	15.76
ENSMUST00000034607	123686.26	42.83	59.57	11.11
ENSMUST00000034611	6452.29	34.86	16.8	8.53
ENSMUST00000045838	6452.29	34.86	16.8	8.53
ENSMUST00000034623	10858.41	24.64	42.46	8.31
ENSMUST00000034625	3579.57	5.83	7.71	5.88
ENSMUST00000034644	360.88	17.32	4.47	8.23
ENSMUST00000034689	147678.78	12.79	65.3	24.36
ENSMUST00000034689	8999.56	2.43	50.47	8.3
ENSMUST00000034698	35145.49	24.09	53.93	10.88
ENSMUST00000098951	35145.49	24.09	53.93	10.88
ENSMUST00000034703	14239.42	36.02	62.46	13.27
ENSMUST00000115394	14239.42	36.02	62.46	13.27
ENSMUST00000115395	14239.42	36.02	62.46	13.27
ENSMUST00000034707	18118.66	46.67	24.53	18.59
ENSMUST00000098948	18118.66	46.67	24.53	18.59
ENSMUST00000098946	18118.66	46.67	24.53	18.59
ENSMUST00000034713	5193.9	19.49	7.36	4.95
ENSMUST00000070068	5193.9	19.49	7.36	4.95
ENSMUST00000034717	2757.5	12.31	14.54	10.06
ENSMUST00000086340	2757.5	12.31	14.54	10.06
ENSMUST00000034728	88.24	3.47	89.91	13.65
ENSMUST00000049745	88.24	3.47	89.91	13.65
ENSMUST00000086329	88.24	3.47	89.91	13.65
ENSMUST00000034738	31170.2	23.53	22.55	7.25
ENSMUST00000066378	31170.2	23.53	22.55	7.25
ENSMUST00000113505	31170.2	23.53	22.55	7.25
ENSMUST00000034740	123495.76	117.47	9.3	22.59
ENSMUST00000034745	12931.57	17.19	29.1	7.76
ENSMUST00000034756	3809191.78	630.69	232.62	15.1
ENSMUST00000034774	4119.51	43.76	6.19	10.05
ENSMUST00000034775	740.54	12.33	6.12	3.73
ENSMUST00000034785	1708.69	16.52	14.5	6.82
ENSMUST00000034787	1032.57	6.4	15.98	5.54
ENSMUST00000034801	5582.52	NA	104.26	NA
ENSMUST00000116537	5582.52	NA	104.26	NA
ENSMUST00000034803	10248.31	13.59	38.69	8.33
ENSMUST00000034815	7102.04	23.99	7.54	10.81
ENSMUST00000034818	243595.01	25.07	183.56	11.98
ENSMUST00000034820	22769.32	8.74	35.28	6.05
ENSMUST00000052011	22769.32	8.74	35.28	6.05
ENSMUST00000034827	66939.59	31.96	28.58	5.12
ENSMUST00000034832	1539.1	17.03	82.69	11.63
ENSMUST00000034834	2783251.89	1089.96	136.68	21
ENSMUST00000034834	164024.14	NA	150.9	NA
ENSMUST00000034848	551424.69	170.49	84.8	11.45
ENSMUST00000034859	7133.71	15.12	17.42	5.68
ENSMUST00000093842	7133.71	15.12	17.42	5.68
ENSMUST00000034866	218828.8	15.85	280.91	14.68
ENSMUST00000034879	16608.07	5.4	72.58	6.62
ENSMUST00000034881	37566.95	92.01	84.68	14.92
ENSMUST00000034903	134794.45	27.48	401.82	17.63
ENSMUST00000034904	2796.59	21.77	16.38	12.12
ENSMUST00000034905	4294.22	17.12	200.14	4.91
ENSMUST00000034913	9657.48	NA	42.15	10.06
ENSMUST00000075027	9657.48	NA	42.15	10.06
ENSMUST00000034926	61460.34	NA	16.37	NA
ENSMUST00000107913	61460.34	NA	16.37	NA
ENSMUST00000107914	61460.34	NA	16.37	NA
ENSMUST00000034926	9682.85	52.11	16.82	16.5
ENSMUST00000107913	9682.85	52.11	16.82	16.5
ENSMUST00000107914	9682.85	52.11	16.82	16.5
ENSMUST00000034930	83186.49	20.71	27.58	7.61
ENSMUST00000113048	83186.49	20.71	27.58	7.61
ENSMUST00000034932	3942.56	21.77	12.37	7.51
ENSMUST00000034940	2417.05	13.1	22.64	5.82
ENSMUST00000098613	2417.05	13.1	22.64	5.82
ENSMUST00000034946	27240	16.59	81.28	11.51
ENSMUST00000034947	1032565.05	169.55	51.31	16.2
ENSMUST00000034952	613.97	2.2	32.04	13.53
ENSMUST00000113774	613.97	2.2	32.04	13.53
ENSMUST00000117083	613.97	2.2	32.04	13.53
ENSMUST00000119245	613.97	2.2	32.04	13.53
ENSMUST00000034955	23516.67	23.86	13.26	21.2
ENSMUST00000034966	1161784.14	535.67	153.27	16.2
ENSMUST00000034967	1235.38	5.62	59.35	5.14
ENSMUST00000122091	1235.38	5.62	59.35	5.14
ENSMUST00000034973	20627.96	20.62	21.97	5.29
ENSMUST00000113931	20627.96	20.62	21.97	5.29
ENSMUST00000034980	41.7	2.59	15.93	10.94
ENSMUST00000034981	2240.44	4.75	31.25	7.51
ENSMUST00000034983	77683.6	73.68	23.09	12.02
ENSMUST00000034986	949.34	3.72	29.72	9.58
ENSMUST00000121189	949.34	3.72	29.72	9.58
ENSMUST00000034989	101607.25	18.83	363.84	15.78
ENSMUST00000035010	9040.98	NA	59.63	22.03
ENSMUST00000035033	48083.37	53.33	88.15	16.1
ENSMUST00000035034	25528.91	16.44	113.88	6.98
ENSMUST00000035037	665.62	8.81	40.03	6.09
ENSMUST00000035038	11467.09	10.08	43.15	7.91
ENSMUST00000035043	1756.35	4.75	91.49	9.14
ENSMUST00000035053	1745.66	13.27	27.41	8.48
ENSMUST00000035055	59325.89	25.15	85.55	15.88
ENSMUST00000065171	59325.89	25.15	85.55	15.88
ENSMUST00000072772	59325.89	25.15	85.55	15.88
ENSMUST00000035056	8387.88	23.85	36.5	9.54
ENSMUST00000062368	8387.88	23.85	36.5	9.54
ENSMUST00000111991	8387.88	23.85	36.5	9.54
ENSMUST00000035068	227.95	20.01	10.75	5.15
ENSMUST00000035069	26167.68	29.04	9.73	12.83
ENSMUST00000035089	583.53	6.14	32.24	9.68
ENSMUST00000111838	583.53	6.14	32.24	9.68
ENSMUST00000111848	583.53	6.14	32.24	9.68
ENSMUST00000111849	583.53	6.14	32.24	9.68
ENSMUST00000035092	7593.9	NA	14	7.93
ENSMUST00000035094	8714.87	NA	194.68	4.77
ENSMUST00000035105	2605973.89	NA	234.01	11.52
ENSMUST00000035113	717.77	NA	5.83	6.73
ENSMUST00000068330	717.77	NA	5.83	6.73
ENSMUST00000035116	1820.99	5.27	63.36	17.48
ENSMUST00000035121	287.41	59.65	12.58	3.79
ENSMUST00000035128	10884.43	NA	12.6	13.41
ENSMUST00000111497	10884.43	NA	12.6	13.41
ENSMUST00000035157	172450.4	28.84	25.83	14.78
ENSMUST00000035164	2354.88	32.63	11.1	8.47
ENSMUST00000035166	12812.16	9.5	157.2	7.33
ENSMUST00000035167	854.01	3.12	66.66	17.93
ENSMUST00000047799	854.01	3.12	66.66	17.93
ENSMUST00000035170	12388.1	14.1	110.32	16.06
ENSMUST00000035177	18937.21	28.77	52.63	9
ENSMUST00000035199	3897.55	14.08	14.22	4.21
ENSMUST00000035201	2756.64	11.6	19.68	6.21
ENSMUST00000112323	2756.64	11.6	19.68	6.21
ENSMUST00000035218	709.53	6.13	18.42	7.44
ENSMUST00000035220	31872.74	23	91.31	10.43
ENSMUST00000035222	14579.45	6.45	363.78	12.99
ENSMUST00000035237	7157.4	30.42	31.28	15.18
ENSMUST00000076375	7157.4	30.42	31.28	15.18
ENSMUST00000035242	9437.54	14.5	43.82	8.86
ENSMUST00000035253	6903.63	25	27.56	7.86
ENSMUST00000035276	4553.33	39	454.88	13.38
ENSMUST00000035283	4941.89	34.92	26.36	10.46
ENSMUST00000035295	21813.03	45.57	14.16	12.03
ENSMUST00000035301	42379.6	41.95	15.44	8.95
ENSMUST00000035350	150.03	12.83	24.39	5.23
ENSMUST00000094376	150.03	12.83	24.39	5.23
ENSMUST00000035484	59995	49.13	55.96	6.89
ENSMUST00000072249	59995	49.13	55.96	6.89
ENSMUST00000116517	59995	49.13	55.96	6.89
ENSMUST00000035493	410706.79	60.32	38.54	9.16
ENSMUST00000035519	516.43	9.34	24.42	7.98
ENSMUST00000090785	516.43	9.34	24.42	7.98
ENSMUST00000098849	516.43	9.34	24.42	7.98
ENSMUST00000035540	832.39	8.57	26.27	8.45
ENSMUST00000035550	246.27	NA	34.52	NA
ENSMUST00000035560	7402.68	17.2	11.67	14.44
ENSMUST00000080138	7402.68	17.2	11.67	14.44
ENSMUST00000097529	7402.68	17.2	11.67	14.44
ENSMUST00000035579	2205.39	12.17	7.75	9.09
ENSMUST00000035604	10544.52	12.76	72.76	16.07
ENSMUST00000102711	10544.52	12.76	72.76	16.07
ENSMUST00000035606	8651.51	4.53	83.03	14.13
ENSMUST00000035612	8415.8	7.99	82.28	7.9
ENSMUST00000035635	747.99	4.96	27.03	4.17
ENSMUST00000035643	599.89	11.81	24.73	8.76
ENSMUST00000120705	599.89	11.81	24.73	8.76
ENSMUST00000035678	1840.38	13.11	17.54	15.04
ENSMUST00000076316	1840.38	13.11	17.54	15.04
ENSMUST00000081524	1840.38	13.11	17.54	15.04
ENSMUST00000035725	9856.25	50.86	26.33	9.29
ENSMUST00000035739	4166.99	24.2	43.79	17.22
ENSMUST00000035766	1081.53	1.59	27.4	4.85
ENSMUST00000101670	1081.53	1.59	27.4	4.85
ENSMUST00000035771	11402.94	13.8	21.63	6.3
ENSMUST00000035775	42578.75	NA	178.72	NA
ENSMUST00000072739	42578.75	NA	178.72	NA
ENSMUST00000035776	12994.07	33.5	16.58	5.54
ENSMUST00000035812	1985.61	5.57	24.67	7.37
ENSMUST00000035836	14697.13	57.42	41.89	10.01
ENSMUST00000035861	5759.8	16.05	15.38	6.28
ENSMUST00000080557	5759.8	16.05	15.38	6.28
ENSMUST00000112532	5759.8	16.05	15.38	6.28
ENSMUST00000035889	329.81	1.31	56.99	14.78
ENSMUST00000076140	329.81	1.31	56.99	14.78
ENSMUST00000113266	329.81	1.31	56.99	14.78
ENSMUST00000113268	329.81	1.31	56.99	14.78
ENSMUST00000113259	329.81	1.31	56.99	14.78
ENSMUST00000098514	329.81	1.31	56.99	14.78
ENSMUST00000035899	5237.95	4.82	103.09	8.13
ENSMUST00000110198	5237.95	4.82	103.09	8.13
ENSMUST00000068627	5237.95	4.82	103.09	8.13
ENSMUST00000035925	2309.98	15.42	13.19	5.52
ENSMUST00000035934	3154.99	7.92	22.34	14.62
ENSMUST00000035963	2363.95	NA	2.33	NA
ENSMUST00000035983	1038320.9	NA	140.33	NA
ENSMUST00000075453	1038320.9	NA	140.33	NA
ENSMUST00000085262	1038320.9	NA	140.33	NA
ENSMUST00000089785	1038320.9	NA	140.33	NA
ENSMUST00000099272	1038320.9	NA	140.33	NA
ENSMUST00000035985	444.17	5.86	27.47	5.25
ENSMUST00000110766	444.17	5.86	27.47	5.25
ENSMUST00000035988	182032.14	70.24	82.43	17.68
ENSMUST00000036004	2768374.14	NA	163.81	9.18
ENSMUST00000087351	2768374.14	NA	163.81	9.18
ENSMUST00000036025	1691.88	4.68	64.84	9.28
ENSMUST00000112621	1691.88	4.68	64.84	9.28
ENSMUST00000036033	1798.99	10.27	97.22	12.77
ENSMUST00000105417	1798.99	10.27	97.22	12.77
ENSMUST00000036085	7603.29	8.2	47.72	5.74
ENSMUST00000055006	7603.29	8.2	47.72	5.74
ENSMUST00000072639	7603.29	8.2	47.72	5.74
ENSMUST00000036111	18196.28	NA	87.68	9.19
ENSMUST00000036125	340157.46	140.89	44.52	14.77
ENSMUST00000078220	340157.46	140.89	44.52	14.77
ENSMUST00000036125	1218.67	NA	5.22	NA
ENSMUST00000078220	1218.67	NA	5.22	NA
ENSMUST00000036126	11900.16	7.88	11.27	5.7
ENSMUST00000036153	95921.97	27.92	121.37	6.7
ENSMUST00000036161	786.3	6.65	34.74	19.09
ENSMUST00000036187	3120.94	3.59	40.82	6.8
ENSMUST00000116561	3120.94	3.59	40.82	6.8
ENSMUST00000036206	755.61	12.76	10.84	9.85
ENSMUST00000036210	16356.31	19.24	86.49	9.75
ENSMUST00000036221	655	2.13	56.95	4.12
ENSMUST00000036225	10263.65	28.33	30.24	9.15
ENSMUST00000036236	10263.65	28.33	30.24	9.15
ENSMUST00000036229	4097.34	17.35	36.05	6.65
ENSMUST00000114707	4097.34	17.35	36.05	6.65
ENSMUST00000036247	4813.08	9.82	77.23	11.11
ENSMUST00000036253	132.18	14.83	11.8	9.82
ENSMUST00000100498	132.18	14.83	11.8	9.82
ENSMUST00000036256	1557.19	6.35	26.62	6.14
ENSMUST00000087341	1557.19	6.35	26.62	6.14
ENSMUST00000036274	173467.69	23.61	55.46	15.21
ENSMUST00000036329	5417.55	16.89	35.06	9.35
ENSMUST00000111053	5417.55	16.89	35.06	9.35
ENSMUST00000036334	4044.45	14.56	46.68	6.19
ENSMUST00000087556	4044.45	14.56	46.68	6.19
ENSMUST00000036355	14726.58	34.9	13.46	6.56
ENSMUST00000076333	14726.58	34.9	13.46	6.56
ENSMUST00000036370	454.85	9.32	26.6	3.29
ENSMUST00000114581	454.85	9.32	26.6	3.29
ENSMUST00000024636	454.85	9.32	26.6	3.29
ENSMUST00000097419	454.85	9.32	26.6	3.29
ENSMUST00000036374	605618.4	28.87	99.97	10.07
ENSMUST00000087858	605618.4	28.87	99.97	10.07
ENSMUST00000036381	2189.07	7.97	36.16	8.33
ENSMUST00000036411	5776.9	2.82	112.79	4.03
ENSMUST00000066983	5776.9	2.82	112.79	4.03
ENSMUST00000036437	29464.5	3.68	56.26	10.99
ENSMUST00000117766	29464.5	3.68	56.26	10.99
ENSMUST00000121477	29464.5	3.68	56.26	10.99
ENSMUST00000036493	99576.79	136.55	20.12	25.34
ENSMUST00000036512	8241.84	14.78	53.84	6.15
ENSMUST00000113608	8241.84	14.78	53.84	6.15
ENSMUST00000116552	8241.84	14.78	53.84	6.15
ENSMUST00000118198	8241.84	14.78	53.84	6.15
ENSMUST00000119413	8241.84	14.78	53.84	6.15
ENSMUST00000036554	2553.44	NA	45.97	14.12
ENSMUST00000036570	2003.86	3.28	39.5	10.23
ENSMUST00000036579	835.68	3.17	103.98	13.44
ENSMUST00000020441	835.68	3.17	103.98	13.44
ENSMUST00000036615	9110.55	18.35	115.39	13.33
ENSMUST00000036647	2183.28	5.03	36.82	4.37
ENSMUST00000065405	2183.28	5.03	36.82	4.37
ENSMUST00000099470	2183.28	5.03	36.82	4.37
ENSMUST00000110574	2183.28	5.03	36.82	4.37
ENSMUST00000110581	2183.28	5.03	36.82	4.37
ENSMUST00000036665	1579.86	6.78	52.64	11.05
ENSMUST00000029305	1579.86	6.78	52.64	11.05
ENSMUST00000036677	12321.31	9.99	30.72	3.44
ENSMUST00000100802	12321.31	9.99	30.72	3.44
ENSMUST00000036734	22479.35	15.44	61.54	10.27
ENSMUST00000036759	6944.66	15.11	69.68	12.88
ENSMUST00000036772	4216.65	11.37	99.52	24.66
ENSMUST00000113484	4216.65	11.37	99.52	24.66
ENSMUST00000113486	4216.65	11.37	99.52	24.66
ENSMUST00000036852	869.58	13.62	15.34	5.96
ENSMUST00000109798	869.58	13.62	15.34	5.96
ENSMUST00000036854	87813.89	17.22	133.12	12.93
ENSMUST00000036862	1474.65	4.44	54.02	10.82
ENSMUST00000036865	1404.03	6.33	22.14	9.99
ENSMUST00000036896	1404.03	6.33	22.14	9.99
ENSMUST00000036872	5599.13	23.57	39.75	10.43
ENSMUST00000036928	88251.77	23.75	438.04	24.95
ENSMUST00000036951	796426.43	167.35	324.85	17.26
ENSMUST00000111973	796426.43	167.35	324.85	17.26
ENSMUST00000036952	4030.74	43.67	5.96	15.69
ENSMUST00000036976	11237.14	10.44	40.33	8.26
ENSMUST00000036977	711.41	NA	48.06	7.58
ENSMUST00000036991	35025.91	41.33	22.06	10.24
ENSMUST00000036996	28997.6	53.47	82.58	15.2
ENSMUST00000036999	5082.84	16.04	48.82	9.55
ENSMUST00000100647	5082.84	16.04	48.82	9.55
ENSMUST00000037023	463456.24	18.61	147.03	11.62
ENSMUST00000037035	8381.62	27.98	62.2	4.63
ENSMUST00000037056	200516.26	NA	153.63	11.83
ENSMUST00000037099	229149.26	45.51	64.7	8.85
ENSMUST00000037115	12144.75	22.76	21.47	9.87
ENSMUST00000037117	2854.29	11.16	33.29	4.53
ENSMUST00000037141	8748.32	13.34	22.25	8.78
ENSMUST00000037182	3418.46	2.46	48.7	9.5
ENSMUST00000037190	17792.69	17.22	27.06	7.87
ENSMUST00000037238	1542.18	8.37	55.77	9.8
ENSMUST00000076941	1542.18	8.37	55.77	9.8
ENSMUST00000037246	7935.33	14.83	17.07	6.26
ENSMUST00000037248	457.22	12.66	43.48	10.1
ENSMUST00000037270	21366.74	43.27	47.94	9.73
ENSMUST00000037280	304.99	6.68	40.31	5.64
ENSMUST00000037285	7557.92	30.97	57.32	10.34
ENSMUST00000100812	7557.92	30.97	57.32	10.34
ENSMUST00000037290	84231.91	41.48	77.46	16.23
ENSMUST00000037324	207709.74	55.74	35.54	12.75
ENSMUST00000109072	207709.74	55.74	35.54	12.75
ENSMUST00000037349	131632.99	31.03	283.21	11.47
ENSMUST00000114945	131632.99	31.03	283.21	11.47
ENSMUST00000037383	11982.96	13.15	45.3	9.52
ENSMUST00000101620	11982.96	13.15	45.3	9.52
ENSMUST00000037399	271314.54	54.22	171.22	16.75
ENSMUST00000108358	271314.54	54.22	171.22	16.75
ENSMUST00000108357	271314.54	54.22	171.22	16.75
ENSMUST00000037440	1814.32	6.94	31.95	14.73
ENSMUST00000118282	1814.32	6.94	31.95	14.73
ENSMUST00000037489	4136.95	21.65	68.53	14.2
ENSMUST00000114140	4136.95	21.65	68.53	14.2
ENSMUST00000037504	2897.01	13.12	53.35	7.67
ENSMUST00000037526	276.85	8.79	13.74	7.26
ENSMUST00000037557	6899.82	7.79	53.81	13.99
ENSMUST00000073792	6899.82	7.79	53.81	13.99
ENSMUST00000037607	417.13	11.87	28.32	11.19
ENSMUST00000080933	417.13	11.87	28.32	11.19
ENSMUST00000108184	417.13	11.87	28.32	11.19
ENSMUST00000108183	417.13	11.87	28.32	11.19
ENSMUST00000037615	1121.56	NA	208.25	NA
ENSMUST00000037618	29856.23	16.21	18.07	5.15
ENSMUST00000114639	29856.23	16.21	18.07	5.15
ENSMUST00000087360	29856.23	16.21	18.07	5.15
ENSMUST00000113865	29856.23	16.21	18.07	5.15
ENSMUST00000037644	114.77	6.7	29.59	4.54
ENSMUST00000037649	6520.22	12	88.88	11.12
ENSMUST00000037655	411.33	12.29	14.77	8.45
ENSMUST00000106127	411.33	12.29	14.77	8.45
ENSMUST00000106128	411.33	12.29	14.77	8.45
ENSMUST00000037678	15527.09	8.62	105.01	13.99
ENSMUST00000037681	664.79	14.3	23.05	12.33
ENSMUST00000107032	664.79	14.3	23.05	12.33
ENSMUST00000037739	65141.29	42.53	43.46	4.21
ENSMUST00000037748	491447.54	143.69	149.11	11.45
ENSMUST00000037763	363.12	NA	49.33	NA
ENSMUST00000037776	585561.36	35.05	97.97	12.1
ENSMUST00000114717	585561.36	35.05	97.97	12.1
ENSMUST00000104933	585561.36	35.05	97.97	12.1
ENSMUST00000037810	5432.08	6.12	92.82	5.32
ENSMUST00000037820	79367.53	3.4	2292.3	4.13
ENSMUST00000037828	3918.47	10.34	18.99	6.08
ENSMUST00000037850	28989.21	12.45	67.04	9.46
ENSMUST00000037853	6883.05	5.81	79.73	13.02
ENSMUST00000037854	2233.77	3.62	60	8.98
ENSMUST00000096329	2233.77	3.62	60	8.98
ENSMUST00000037865	1967.29	14.62	104.35	9.71
ENSMUST00000037890	3441.22	3.99	19.97	2.64
ENSMUST00000037903	5333.45	14.41	156.92	11.1
ENSMUST00000102754	5333.45	14.41	156.92	11.1
ENSMUST00000037907	18071.81	16.12	157.79	9
ENSMUST00000108111	18071.81	16.12	157.79	9
ENSMUST00000037913	1736.39	1.29	176.35	7.33
ENSMUST00000100183	1736.39	1.29	176.35	7.33
ENSMUST00000037918	138329.44	10.94	19.31	15.95
ENSMUST00000113680	138329.44	10.94	19.31	15.95
ENSMUST00000119971	138329.44	10.94	19.31	15.95
ENSMUST00000120237	138329.44	10.94	19.31	15.95
ENSMUST00000037941	69606.34	NA	10.8	18.14
ENSMUST00000037943	251.81	8.91	10.35	4.81
ENSMUST00000118100	251.81	8.91	10.35	4.81
ENSMUST00000118340	251.81	8.91	10.35	4.81
ENSMUST00000037986	533.99	NA	32.07	NA
ENSMUST00000038027	509045.73	92.48	167.28	27.15
ENSMUST00000038030	10249.9	22.76	53.7	4.44
ENSMUST00000113814	10249.9	22.76	53.7	4.44
ENSMUST00000038053	13182.06	7.14	62.99	9.52
ENSMUST00000115314	13182.06	7.14	62.99	9.52
ENSMUST00000038075	9774.56	NA	92.98	8.36
ENSMUST00000110679	9774.56	NA	92.98	8.36
ENSMUST00000038096	4920.47	NA	222.53	5.34
ENSMUST00000038116	3519.58	1.72	8.77	5.64
ENSMUST00000038128	96959.99	59.09	85.85	15.49
ENSMUST00000038131	37312.01	NA	38.83	6.91
ENSMUST00000038142	26330.32	22.15	25.57	9.32
ENSMUST00000038151	26330.32	22.15	25.57	9.32
ENSMUST00000121645	26330.32	22.15	25.57	9.32
ENSMUST00000038169	1582761.46	1077.67	395.54	26.77
ENSMUST00000038211	19087.14	13.14	40.22	5.36
ENSMUST00000092840	19087.14	13.14	40.22	5.36
ENSMUST00000038228	17410.18	3.76	47.67	5.17
ENSMUST00000110120	17410.18	3.76	47.67	5.17
ENSMUST00000038260	5307.84	13.79	42.6	4.47
ENSMUST00000091828	5307.84	13.79	42.6	4.47
