"Ensembl_TransID","Probe"
"ENSMUST00000002677",10561104
"ENSMUST00000002678",10551185
"ENSMUST00000002683",10561078
"ENSMUST00000002699",10449839
"ENSMUST00000002708",10528872
"ENSMUST00000002710",10562349
"ENSMUST00000002733",10452213
"ENSMUST00000002735",10446207
"ENSMUST00000002737",10446214
"ENSMUST00000002740",10452210
"ENSMUST00000002757",10401309
"ENSMUST00000002765",10400170
"ENSMUST00000002790",10478799
"ENSMUST00000002808",10483856
"ENSMUST00000002809",10483865
"ENSMUST00000002818",10374106
"ENSMUST00000002825",10526319
"ENSMUST00000002837",10532157
"ENSMUST00000002839",10451434
"ENSMUST00000002844",10445565
"ENSMUST00000002845",10445601
"ENSMUST00000002846",10451451
"ENSMUST00000002848",10563421
"ENSMUST00000002850",10563447
"ENSMUST00000002855",10553131
"ENSMUST00000002880",10398929
"ENSMUST00000002881",10402835
"ENSMUST00000002883",10403834
"ENSMUST00000002885",10407955
"ENSMUST00000002889",10386551
"ENSMUST00000002891",10386582
"ENSMUST00000002902",10583634
"ENSMUST00000002911",10446044
"ENSMUST00000002914",10446027
"ENSMUST00000002923",10439455
"ENSMUST00000002924",10435714
"ENSMUST00000002925",10439463
"ENSMUST00000002926",10439442
"ENSMUST00000002976",10541246
"ENSMUST00000002979",10395163
"ENSMUST00000002989",10579406
"ENSMUST00000003035",10598178
"ENSMUST00000003038",10558971
"ENSMUST00000003044",10552760
"ENSMUST00000003049",10562942
"ENSMUST00000003061",10560655
"ENSMUST00000003071",10560614
"ENSMUST00000003100",10551293
"ENSMUST00000003117",10572786
"ENSMUST00000003121",10572757
"ENSMUST00000003123",10572779
"ENSMUST00000003135",10358027
"ENSMUST00000003154",10364722
"ENSMUST00000003183",10560315
"ENSMUST00000003238",10541532
"ENSMUST00000003268",10451907
"ENSMUST00000003274",10445977
"ENSMUST00000003284",10552812
"ENSMUST00000003310",10363281
"ENSMUST00000003312",10369236
"ENSMUST00000003313",10464425
"ENSMUST00000003319",10434396
"ENSMUST00000003320",10434348
"ENSMUST00000003345",10403796
"ENSMUST00000003360",10553080
"ENSMUST00000003369",10511333
"ENSMUST00000003386",10583508
"ENSMUST00000003413",10443854
"ENSMUST00000003433",10370931
"ENSMUST00000003434",10370920
"ENSMUST00000003438",10370946
"ENSMUST00000003442",10426611
"ENSMUST00000003444",10426627
"ENSMUST00000003445",10432243
"ENSMUST00000003451",10432236
"ENSMUST00000003461",10374119
"ENSMUST00000003468",10560945
"ENSMUST00000003469",10551025
"ENSMUST00000003501",10591706
"ENSMUST00000003509",10480238
"ENSMUST00000003512",10563085
"ENSMUST00000003513",10552832
"ENSMUST00000003521",10563094
"ENSMUST00000003527",10561401
"ENSMUST00000003529",10551496
"ENSMUST00000003536",10561456
"ENSMUST00000003554",10360235
"ENSMUST00000003561",10416273
"ENSMUST00000003569",10544932
"ENSMUST00000003572",10538420
"ENSMUST00000003574",10579636
"ENSMUST00000003575",10448202
"ENSMUST00000003620",10438272
"ENSMUST00000003621",10438245
"ENSMUST00000003622",10438262
"ENSMUST00000003635",10444890
"ENSMUST00000003640",10560481
"ENSMUST00000003642",10451395
"ENSMUST00000003643",10550698
"ENSMUST00000003645",10550650
"ENSMUST00000003655",10463704
"ENSMUST00000003659",10572378
"ENSMUST00000003677",10373861
"ENSMUST00000003681",10383819
"ENSMUST00000003687",10401673
"ENSMUST00000003705",10474596
"ENSMUST00000003717",10519578
"ENSMUST00000003720",10528102
"ENSMUST00000003726",10449815
"ENSMUST00000003754",10581654
"ENSMUST00000003759",10487371
"ENSMUST00000003762",10448117
"ENSMUST00000003808",10579331
"ENSMUST00000003818",10357280
"ENSMUST00000003826",10593233
"ENSMUST00000003843",10369154
"ENSMUST00000003850",10561204
"ENSMUST00000003870",10463930
"ENSMUST00000003876",10458138
"ENSMUST00000003907",10580233
"ENSMUST00000003911",10580210
"ENSMUST00000003912",10580219
"ENSMUST00000003947",10581538
"ENSMUST00000003964",10552945
"ENSMUST00000003971",10563253
"ENSMUST00000003981",10427628
"ENSMUST00000004036",10387483
"ENSMUST00000004050",10380289
"ENSMUST00000004051",10389786
"ENSMUST00000004054",10435470
"ENSMUST00000004057",10439276
"ENSMUST00000004072",10425018
"ENSMUST00000004076",10528145
"ENSMUST00000004094",10406551
"ENSMUST00000004097",10534596
"ENSMUST00000004120",10374746
"ENSMUST00000004136",10501218
"ENSMUST00000004137",10501199
"ENSMUST00000004140",10501229
"ENSMUST00000004156",10460645
"ENSMUST00000004172",10433292
"ENSMUST00000004173",10437443
"ENSMUST00000004200",10583254
"ENSMUST00000004201",10591281
"ENSMUST00000004206",10591357
"ENSMUST00000004222",10434252
"ENSMUST00000004232",10496438
"ENSMUST00000004281",10372745
"ENSMUST00000004294",10424945
"ENSMUST00000004326",10600419
"ENSMUST00000004327",10605338
"ENSMUST00000004343",10494664
"ENSMUST00000004377",10547769
"ENSMUST00000004378",10547807
"ENSMUST00000004428",10603289
"ENSMUST00000004453",10403911
"ENSMUST00000004470",10371676
"ENSMUST00000004480",10438730
"ENSMUST00000004494",10572838
"ENSMUST00000004505",10384102
"ENSMUST00000004507",10384123
"ENSMUST00000004508",10384138
"ENSMUST00000004576",10438672
"ENSMUST00000004587",10562761
"ENSMUST00000004614",10550029
"ENSMUST00000004622",10555027
"ENSMUST00000004655",10560408
"ENSMUST00000004657",10560401
"ENSMUST00000004673",10419578
"ENSMUST00000004686",10576719
"ENSMUST00000004728",10562709
"ENSMUST00000004729",10552418
"ENSMUST00000004732",10552398
"ENSMUST00000004770",10565422
"ENSMUST00000004774",10538459
"ENSMUST00000004784",10364593
"ENSMUST00000004829",10351644
"ENSMUST00000004868",10383813
"ENSMUST00000004910",10397332
"ENSMUST00000004913",10401607
"ENSMUST00000004920",10386789
"ENSMUST00000004936",10534493
"ENSMUST00000004943",10532261
"ENSMUST00000004949",10474112
"ENSMUST00000004955",10386775
"ENSMUST00000004959",10376796
"ENSMUST00000004965",10440307
"ENSMUST00000004968",10526520
"ENSMUST00000004985",10443421
"ENSMUST00000004986",10443408
"ENSMUST00000005003",10360745
"ENSMUST00000005015",10499265
"ENSMUST00000005017",10493086
"ENSMUST00000005019",10493108
"ENSMUST00000005041",10549770
"ENSMUST00000005051",10553301
"ENSMUST00000005053",10447551
"ENSMUST00000005057",10364955
"ENSMUST00000005064",10371067
"ENSMUST00000005066",10594447
"ENSMUST00000005067",10371041
"ENSMUST00000005069",10371082
"ENSMUST00000005073",10526418
"ENSMUST00000005103",10538275
"ENSMUST00000005114",10547206
"ENSMUST00000005173",10393648
"ENSMUST00000005185",10364375
"ENSMUST00000005188",10534585
"ENSMUST00000005218",10485405
"ENSMUST00000005234",10529689
"ENSMUST00000005255",10424543
"ENSMUST00000005262",10585347
"ENSMUST00000005279",10416777
"ENSMUST00000005334",10387516
"ENSMUST00000005336",10387559
"ENSMUST00000005352",10530441
"ENSMUST00000005364",10472531
"ENSMUST00000005406",10440491
"ENSMUST00000005431",10529313
"ENSMUST00000005452",10405380
"ENSMUST00000005488",10370522
"ENSMUST00000005490",10364402
"ENSMUST00000005503",10447417
"ENSMUST00000005504",10453461
"ENSMUST00000005507",10526277
"ENSMUST00000005532",10403584
"ENSMUST00000005548",10572897
"ENSMUST00000005600",10573295
"ENSMUST00000005601",10580061
"ENSMUST00000005606",10573266
"ENSMUST00000005607",10573261
"ENSMUST00000005611",10526493
"ENSMUST00000005616",10580010
"ENSMUST00000005620",10573198
"ENSMUST00000005630",10502904
"ENSMUST00000005647",10386171
"ENSMUST00000005651",10526363
"ENSMUST00000005669",10551209
"ENSMUST00000005671",10554094
"ENSMUST00000005678",10576757
"ENSMUST00000005685",10551226
"ENSMUST00000005692",10552008
"ENSMUST00000005705",10550076
"ENSMUST00000005711",10560063
"ENSMUST00000005714",10560070
"ENSMUST00000005749",10556321
"ENSMUST00000005751",10566943
"ENSMUST00000005791",10550146
"ENSMUST00000005798",10400336
"ENSMUST00000005810",10545672
"ENSMUST00000005817",10360058
"ENSMUST00000005825",10367252
"ENSMUST00000005826",10367292
"ENSMUST00000005829",10556302
"ENSMUST00000005841",10574812
"ENSMUST00000005860",10430297
"ENSMUST00000005862",10437384
"ENSMUST00000005889",10446253
"ENSMUST00000005891",10552494
"ENSMUST00000005923",10500034
"ENSMUST00000005933",10552599
"ENSMUST00000005952",10487021
"ENSMUST00000005954",10475525
"ENSMUST00000005964",10496475
"ENSMUST00000005975",10452356
"ENSMUST00000005976",10452307
"ENSMUST00000006005",10597239
"ENSMUST00000006020",10600057
"ENSMUST00000006027",10458090
"ENSMUST00000006035",10477777
"ENSMUST00000006046",10546417
"ENSMUST00000006094",10430909
"ENSMUST00000006101",10378286
"ENSMUST00000006104",10378319
"ENSMUST00000006123",10500011
"ENSMUST00000006128",10485645
"ENSMUST00000006137",10437311
"ENSMUST00000006151",10505614
"ENSMUST00000006178",10550250
"ENSMUST00000006181",10550237
"ENSMUST00000006221",10374500
"ENSMUST00000006235",10415844
"ENSMUST00000006254",10561854
"ENSMUST00000006293",10434003
"ENSMUST00000006311",10548146
"ENSMUST00000006341",10408097
"ENSMUST00000006362",10599296
"ENSMUST00000006367",10558150
"ENSMUST00000006380",10509985
"ENSMUST00000006381",10517967
"ENSMUST00000006392",10404439
"ENSMUST00000006397",10591660
"ENSMUST00000006431",10539449
"ENSMUST00000006435",10572146
"ENSMUST00000006444",10419471
"ENSMUST00000006451",10419460
"ENSMUST00000006470",10562005
"ENSMUST00000006476",10562050
"ENSMUST00000006478",10562096
"ENSMUST00000006508",10364056
"ENSMUST00000006523",10399005
"ENSMUST00000006544",10425211
"ENSMUST00000006557",10507539
"ENSMUST00000006559",10587554
"ENSMUST00000006565",10515744
"ENSMUST00000006578",10351588
"ENSMUST00000006587",10489912
"ENSMUST00000006611",10510391
"ENSMUST00000006614",10509965
"ENSMUST00000006618",10509947
"ENSMUST00000006626",10464836
"ENSMUST00000006632",10460485
"ENSMUST00000006638",10480633
"ENSMUST00000006659",10408420
"ENSMUST00000006660",10408429
"ENSMUST00000006662",10408395
"ENSMUST00000006669",10472846
"ENSMUST00000006679",10364529
"ENSMUST00000006687",10505445
"ENSMUST00000006692",10582310
"ENSMUST00000006701",10413598
"ENSMUST00000006703",10413615
"ENSMUST00000006704",10418455
"ENSMUST00000006716",10347491
"ENSMUST00000006718",10347497
"ENSMUST00000006742",10577449
"ENSMUST00000006745",10570749
"ENSMUST00000006749",10391649
"ENSMUST00000006750",10381574
"ENSMUST00000006760",10576140
"ENSMUST00000006762",10582322
"ENSMUST00000006764",10582390
"ENSMUST00000006774",10553280
"ENSMUST00000006785",10404113
"ENSMUST00000006786",10404077
"ENSMUST00000006818",10520633
"ENSMUST00000006825",10551905
"ENSMUST00000006828",10561927
"ENSMUST00000006851",10589030
"ENSMUST00000006854",10588975
"ENSMUST00000006856",10605674
"ENSMUST00000006893",10404195
"ENSMUST00000006898",10408321
"ENSMUST00000006900",10408331
"ENSMUST00000006911",10366814
"ENSMUST00000006912",10480347
"ENSMUST00000006914",10366848
"ENSMUST00000006915",10366796
"ENSMUST00000006949",10372443
"ENSMUST00000006952",10563602
"ENSMUST00000006956",10563597
"ENSMUST00000006963",10390823
"ENSMUST00000006969",10390860
"ENSMUST00000006991",10407337
"ENSMUST00000007005",10447891
"ENSMUST00000007012",10441815
"ENSMUST00000007042",10454966
"ENSMUST00000007046",10454953
"ENSMUST00000007130",10590325
"ENSMUST00000007139",10590298
"ENSMUST00000007156",10552570
"ENSMUST00000007161",10552532
"ENSMUST00000007216",10434384
"ENSMUST00000007236",10448694
"ENSMUST00000007245",10444637
"ENSMUST00000007248",10444591
"ENSMUST00000007250",10450384
"ENSMUST00000007251",10444685
"ENSMUST00000007255",10444665
"ENSMUST00000007257",10444658
"ENSMUST00000007272",10391052
"ENSMUST00000007275",10391013
"ENSMUST00000007280",10391061
"ENSMUST00000007296",10524169
"ENSMUST00000007317",10391036
"ENSMUST00000007318",10390979
"ENSMUST00000007340",10415446
"ENSMUST00000007423",10566822
"ENSMUST00000007449",10537169
"ENSMUST00000007482",10465336
"ENSMUST00000007559",10527888
"ENSMUST00000007601",10522904
"ENSMUST00000007708",10442155
"ENSMUST00000007733",10420097
"ENSMUST00000007738",10572282
