CycID,ARS_pvalue,ARS_BH.Q,ARS_period,ARS_adjphase,ARS_amplitude,JTK_pvalue,JTK_BH.Q,JTK_period,JTK_adjphase,JTK_amplitude,LS_pvalue,LS_BH.Q,LS_period,LS_adjphase,LS_amplitude,meta2d_pvalue,meta2d_BH.Q,meta2d_period,meta2d_phase,meta2d_Base,meta2d_AMP,meta2d_rAMP,7171,7184,7197,7210,7223,7236,7249,7262,7275,7288,7301,7314,7327,7340,7353,7366,7379,7392,7405,7418
YMR212C,0.000248713,0.001166695,9,8.306833338,8.557601392,0.000132863,0.000392829,10,8.5,6.967123115,0.015746266,0.048057888,9.701754386,8.007088242,39.19486236,1.31E-07,4.15E-07,9.567251462,8.283800869,31.28868727,9.727521098,0.310895788,29.48,22.954,24.724,26.291,31.026,31.696,30.564,50.344,39.549,38.11,31.662,18.073,21.808,25.938,28.358,30.607,39.503,42.481,34.542,29.037
YKR010C,0.065778019,0.085958161,9,0.725115415,2.406108337,1,1,11,10,3.924089082,0.698412037,0.742826734,9.701754386,0.220788086,26.28812057,0.405417124,0.459547609,9.900584795,0.050500459,24.80615661,2.515953562,0.101424562,30.802,22.375,25.611,21.692,24.23,24.089,19.556,27.035,27.999,28.649,29.162,18.289,24.137,24.992,23.85,22.955,20.749,29.225,24.535,26.669
YLR448W,0.003377171,0.006453439,9,8.444736279,189.8127632,3.02E-05,0.000114273,11,8,144.2515511,0.022810965,0.055282289,10.14678899,8.079612479,445.1008721,5.08E-07,1.39E-06,10.04892966,8.226375506,291.4172228,226.5060218,0.777256813,102.717,59.761,117.747,195.045,193.579,183.983,285.339,832.127,400.559,396.07,242.564,86.015,77.022,174.315,211.729,223.632,532.312,688.997,451.832,369.651
YNL155W,0.003609999,0.006786577,9,5.127998653,19.01331483,0.010149438,0.017563364,11,4,15.71226623,0.038523972,0.075168823,10.14678899,4.584132812,180.7474313,0.000148494,0.000263202,10.04892966,4.632121612,165.604935,22.58785818,0.136396045,143.686,150.104,188.835,205.462,166.985,171.073,170.782,141.964,140.072,159.698,167.693,142.425,186.224,188.735,179.536,193.47,170.425,156.149,150.31,140.412
YFR051C,0.000389357,0.001530165,9,1.297266778,15.89205182,0.141303754,0.190662221,10,0,16.26593084,0.042868324,0.080417411,10.14678899,10.07252909,106.8517963,0.000230912,0.000399895,9.71559633,0.42672588,94.10809127,16.74986747,0.177985413,98.999,84.716,84.911,87.642,87.593,75.88,74.595,84.382,116.306,126.296,116.014,88.829,83.262,78.449,88.584,88.596,86.229,101.824,111.867,126.572
YLR005W,0.000548194,0.001864164,9,0.11038587,14.21376658,0.001148248,0.002528864,11,9,15.69918476,0.014936925,0.047719349,9.919282511,8.764295977,81.94367741,1.79E-06,4.33E-06,9.97309417,9.008101977,70.23571435,16.44568093,0.234149835,87.207,57.614,47.274,55.178,61.062,69.48,78.146,73.811,83.781,87.601,91.176,62.167,47.027,58.264,60.327,69.259,71.629,81.758,81.93,80.554
YGR043C,3.53E-05,0.000442542,9,5.00648987,252.213519,0.000505366,0.001231906,10,4.5,301.5633645,0.00658442,0.045989133,9.919282511,4.11410225,479.8004897,3.35E-08,1.33E-07,9.639760837,4.558423806,321.4016162,278.2054754,0.865600736,152.966,496.587,584.528,477.407,443.261,523.275,493.99,59.045,31.797,31.287,61.718,427.235,642.533,552.351,453.906,498.367,262.675,28.383,26.479,29.746
YBR285W,0.06645116,0.086690163,9,3.68246353,67.41308526,0.000505366,0.001231906,11,2,98.97585748,0.028260268,0.06202668,11.17171717,1.87162405,255.8772814,0.000105368,0.000191176,10.39057239,2.548302252,178.517961,101.0002022,0.565770534,367.23,331.839,218.047,185.526,189.064,194.202,161.766,27.85,75.653,87.02,193.637,375.171,264.148,197.21,183.432,221.986,80.325,41.68,69.235,97.73
YKL124W,0.003145773,0.006114235,9,4.384910314,15.98109572,0.001698221,0.003569755,10,4,16.19451306,0.045268075,0.083290002,9.919282511,3.204418518,105.7268229,3.20E-05,6.26E-05,9.639760837,3.887312928,93.53400479,18.08581516,0.193360855,91.563,104.669,112.341,107.144,106.176,100.85,99.159,54.721,89.161,80.514,92.681,101.256,113.73,103.688,104.004,109.659,55.193,85.038,75.156,78.832
YNR007C,0.028213858,0.040071601,9,3.826515315,11.95863667,0.063177891,0.091979577,10,3,12.61089589,0.099961155,0.150456491,10.14678899,2.75475551,86.67911121,0.008355681,0.012116033,9.71559633,3.215268252,74.70887016,14.21931972,0.190329738,92.578,93.754,80.774,82.377,80.022,86.397,83.355,34.071,68.966,74.267,81.894,93.806,89.566,77.481,73.707,81.148,46.251,51.538,58.058,64.157
YLR275W,0.002900449,0.005750308,9,7.26126114,7.236769414,0.108852698,0.150651153,10,7,4.531493807,0.117836919,0.171597392,9.102880658,6.85503126,48.96497535,0.002351642,0.003623997,9.367626886,7.056493922,45.87428715,7.544727668,0.164465284,46.613,36.517,45.436,46.864,43.25,44.811,58.163,55.1,41.007,39.29,42.301,37.035,36.221,45.615,42.598,64.201,54.153,47.951,39.943,44.063
YER024W,0.533125921,0.566636693,9,2.939857215,63.00534997,0.296441553,0.369828913,11,2,147.7501387,0.334569842,0.399764394,4.993227991,3.002494056,438.0398072,0.436808926,0.491500126,8.331075997,2.900606319,368.6212972,23.84718857,0.064692921,998.886,481.852,356.72,397.961,402.213,426.727,358.361,110.713,188.412,260.381,592.64,476.575,330.114,383.954,385.862,364.365,304.234,113.963,153.266,337.713
YDL022W,0.011151131,0.017577206,9,4.235875264,78.29589228,0.010149438,0.017563364,11,2.5,55.13011053,0.050465761,0.089293411,10.38497653,2.702726993,341.9955804,0.000490922,0.000819494,10.12832551,3.168783449,259.5353236,95.19849081,0.366803599,361.328,338.454,293.201,276.089,298.481,326.379,285.487,45.681,193.828,195.763,273.147,358.486,375.16,302.474,311.522,330.287,149.184,97.066,154.267,228.482
YOL101C,0.000246375,0.00116132,9,3.744795735,47.86321925,2.25E-07,3.92E-06,10,3,40.88420698,0.00964404,0.045989133,9.919282511,3.061265124,94.30883805,2.29E-10,4.06E-09,9.639760837,3.285888175,49.35821245,56.34883105,1.141630303,31.298,78.532,132.821,82,38.916,20.594,11.879,9.064,13.919,34.651,66.49,69.475,155.081,109.333,51.725,20.966,8.79,10.459,13.543,27.209
YJL183W,0.000245409,0.001158709,9,0.487982971,11.56144492,0.083242178,0.11821853,10,9,14.14920669,0.029224787,0.063095934,9.701754386,0.243096022,68.41766663,7.05E-05,0.000130977,9.567251462,9.513423433,60.71053417,12.14067163,0.19997636,64.873,50.84,51.496,48.405,48.58,47.547,47.195,84.257,63.425,72.853,71.201,57.146,48.085,55.921,55.55,54.118,71.595,75.601,78.412,75.527
YBR189W,0.001890684,0.004255099,9,8.66219835,222.4300717,1.78E-05,7.54E-05,11,8,166.3698512,0.020115056,0.052306779,10.14678899,8.217109198,479.3367348,1.66E-07,5.10E-07,10.04892966,8.348072865,307.2147936,261.5522023,0.85136591,124.954,65.595,91.628,179.33,177.246,173.701,243.657,845.174,541.789,437.146,293.915,88.469,63.774,161.39,191.136,201.68,520.588,840.168,482.597,414.548
YJR125C,0.006534762,0.011071038,9,3.735551768,26.40594294,5.04E-05,0.000172962,11,2.5,13.27716725,0.071724866,0.115946069,9.701754386,3.290674571,199.1768418,4.08E-06,9.18E-06,9.900584795,3.246728015,175.4743235,29.83768797,0.170040194,189.983,205.852,189.763,188.328,185.769,186.545,177.005,90.819,165.159,169.91,187.785,213.005,191.795,186.992,189.042,188.905,130.406,129.54,164.388,177.838
YOL033W,1.26E-05,0.000296097,9,1.534836801,19.70317717,8.97E-07,8.88E-06,11,10.5,20.50150046,0.004637035,0.045989133,10.14678899,0.019924546,42.37201673,2.61E-11,1.12E-09,10.04892966,0.391174385,26.64576102,22.07764597,0.828561284,46.095,33.025,15.147,11.406,12.558,12.409,13.358,15.269,36.9,57.949,54.616,40.771,18.25,11.956,10.995,10.526,11.522,19.678,46.734,51.557
YML126C,5.00E-06,0.000261955,9,5.591398721,133.8437072,1.07E-07,2.86E-06,11,4.5,152.9083059,0.002746147,0.045989133,10.14678899,4.820667513,413.2690386,9.09E-13,2.25E-10,10.04892966,5.020597463,347.5366808,151.5235871,0.435993078,258.488,265.677,440.117,523.669,507.601,459.199,414.748,243.061,231.084,231.512,215.401,248.007,324.879,470.774,510.5,472.748,394.681,291.489,226.984,234.579
