ID	Translation_number	Protein_halflive	mRNA_halflive
ENSMUST00000113329	56.34257813	18.95	3.92
ENSMUST00000074346	56.34257813	18.95	3.92
ENSMUST00000113324	56.34257813	18.95	3.92
ENSMUST00000023535	182.6390424	22.41	3.92
ENSMUST00000022908	1470.040854	39.39	3.93
ENSMUST00000060711	2552.768688	36.69	3.94
ENSMUST00000108127	171.6991037	77.58	3.94
ENSMUST00000084724	171.6991037	77.58	3.94
ENSMUST00000108126	171.6991037	77.58	3.94
ENSMUST00000021667	272.7552795	21.24	3.96
ENSMUST00000094053	7.340223464	67.69	3.96
ENSMUST00000090511	227.2039312	40.23	3.97
ENSMUST00000064377	227.2039312	40.23	3.97
ENSMUST00000036649	681.9156328	44.74	3.97
ENSMUST00000107898	681.9156328	44.74	3.97
ENSMUST00000031740	242.09319	43.62	3.98
ENSMUST00000109241	750.1119067	44.55	3.98
ENSMUST00000037864	750.1119067	44.55	3.98
ENSMUST00000030385	1626.578045	107.86	3.98
ENSMUST00000003612	3452.747642	66.47	4
ENSMUST00000107172	3452.747642	66.47	4
ENSMUST00000107173	3452.747642	66.47	4
ENSMUST00000109232	545.3230016	16.14	4.01
ENSMUST00000020665	545.3230016	16.14	4.01
ENSMUST00000026469	499.0749008	17.63	4.01
ENSMUST00000099157	499.0749008	17.63	4.01
ENSMUST00000099156	499.0749008	17.63	4.01
ENSMUST00000040654	2981.834167	23.93	4.01
ENSMUST00000040043	107.7741047	43.52	4.02
ENSMUST00000038738	807.6095618	389.28	4.02
ENSMUST00000041388	34.90026326	0.93	4.03
ENSMUST00000077523	34.90026326	0.93	4.03
ENSMUST00000065889	152.7087192	13.35	4.03
ENSMUST00000111821	152.7087192	13.35	4.03
ENSMUST00000111819	152.7087192	13.35	4.03
ENSMUST00000111824	152.7087192	13.35	4.03
ENSMUST00000099950	152.7087192	13.35	4.03
ENSMUST00000099953	152.7087192	13.35	4.03
ENSMUST00000111733	152.7087192	13.35	4.03
ENSMUST00000099948	152.7087192	13.35	4.03
ENSMUST00000099947	152.7087192	13.35	4.03
ENSMUST00000099952	152.7087192	13.35	4.03
ENSMUST00000099951	152.7087192	13.35	4.03
ENSMUST00000066983	2048.546099	112.79	4.03
ENSMUST00000036411	2048.546099	112.79	4.03
ENSMUST00000118522	199.5823142	84.78	4.05
ENSMUST00000094331	765.6716867	18.06	4.06
ENSMUST00000025417	1204.0721	59.39	4.06
ENSMUST00000041726	219.8036204	8.22	4.07
ENSMUST00000010434	475.0387097	18.01	4.08
ENSMUST00000032768	882.7533719	7.63	4.1
ENSMUST00000091458	882.7533719	7.63	4.1
ENSMUST00000038383	2672.86612	270.56	4.1
ENSMUST00000021733	1205.715431	2728.65	4.1
ENSMUST00000021297	3041.166217	73.65	4.11
ENSMUST00000036221	307.5117371	56.95	4.12
ENSMUST00000080683	107.0371622	19.82	4.13
ENSMUST00000090037	107.0371622	19.82	4.13
ENSMUST00000079553	107.0371622	19.82	4.13
ENSMUST00000077935	107.0371622	19.82	4.13
ENSMUST00000093454	94.41733333	28.32	4.13
ENSMUST00000102738	249.7805677	29.12	4.13
ENSMUST00000037820	23343.39118	2292.3	4.13
ENSMUST00000046704	8445.909091	1667.8	4.14
ENSMUST00000109202	8445.909091	1667.8	4.14
ENSMUST00000027215	444.8827107	10	4.15
ENSMUST00000046633	1062.369427	120.88	4.15
ENSMUST00000048371	257.32893	6.94	4.16
ENSMUST00000107233	91.75036639	7.23	4.16
ENSMUST00000107236	91.75036639	7.23	4.16
ENSMUST00000107235	91.75036639	7.23	4.16
ENSMUST00000090791	378.8794964	25.64	4.16
ENSMUST00000098855	378.8794964	25.64	4.16
ENSMUST00000035635	150.8044355	27.03	4.17
ENSMUST00000057195	1224.139168	41.88	4.17
ENSMUST00000107891	1224.139168	41.88	4.17
ENSMUST00000071296	297.7691451	12.12	4.18
ENSMUST00000107949	297.7691451	12.12	4.18
ENSMUST00000107950	297.7691451	12.12	4.18
ENSMUST00000107948	297.7691451	12.12	4.18
ENSMUST00000084937	297.7691451	12.12	4.18
ENSMUST00000055858	297.7691451	12.12	4.18
ENSMUST00000031376	177.4167776	27.55	4.18
ENSMUST00000022856	276.1937984	41.05	4.18
ENSMUST00000100775	276.1937984	41.05	4.18
ENSMUST00000107270	733.7011331	49.47	4.19
ENSMUST00000042402	733.7011331	49.47	4.19
ENSMUST00000035199	276.8146307	14.22	4.21
ENSMUST00000037739	1531.655067	43.46	4.21
ENSMUST00000102667	71.40748031	23.34	4.22
ENSMUST00000056907	71.40748031	23.34	4.22
ENSMUST00000025815	2383.901294	47.62	4.22
ENSMUST00000097646	170.7536394	165.79	4.22
ENSMUST00000022511	684.347541	40.47	4.23
ENSMUST00000029838	381.990927	9.31	4.24
ENSMUST00000040972	2361.554176	84.67	4.24
ENSMUST00000064922	762.0156307	5.39	4.26
ENSMUST00000040967	562.3445972	13.7	4.26
ENSMUST00000056904	1386.451104	38.16	4.26
ENSMUST00000113190	78.33783784	68.79	4.26
ENSMUST00000027512	78.33783784	68.79	4.26
ENSMUST00000113188	78.33783784	68.79	4.26
ENSMUST00000057793	145.2709677	21.57	4.27
ENSMUST00000088001	145.2709677	21.57	4.27
ENSMUST00000066650	517.542517	56.53	4.27
ENSMUST00000065509	22.27604167	6.13	4.29
ENSMUST00000101304	22.27604167	6.13	4.29
ENSMUST00000029623	110.3039648	16.05	4.3
ENSMUST00000095078	72.44638404	38.63	4.31
ENSMUST00000113654	72.44638404	38.63	4.31
ENSMUST00000000642	2436.692018	53.64	4.31
ENSMUST00000089378	1334.245018	325.87	4.32
ENSMUST00000070607	87.80527383	32.51	4.33
ENSMUST00000061552	105.1680672	18.76	4.34
ENSMUST00000060807	256.0168753	26.24	4.34
ENSMUST00000009791	4594.10778	1365.9	4.34
ENSMUST00000020312	4594.10778	1365.9	4.34
ENSMUST00000090561	51.95061728	5.83	4.35
ENSMUST00000102629	51.95061728	5.83	4.35
ENSMUST00000100206	750.1119067	22.09	4.36
ENSMUST00000057632	750.1119067	22.09	4.36
ENSMUST00000023766	750.1119067	22.09	4.36
ENSMUST00000092154	492.5348837	169.28	4.36
ENSMUST00000106536	492.5348837	169.28	4.36
ENSMUST00000048956	449.5403012	23	4.37
ENSMUST00000110574	434.0516899	36.82	4.37
ENSMUST00000036647	434.0516899	36.82	4.37
ENSMUST00000110581	434.0516899	36.82	4.37
ENSMUST00000060323	383.640159	38.87	4.37
ENSMUST00000098861	383.640159	38.87	4.37
ENSMUST00000098763	125.4380282	32.72	4.38
ENSMUST00000077548	125.4380282	32.72	4.38
ENSMUST00000086869	241.7507205	44.07	4.38
ENSMUST00000028796	541.0640394	29.27	4.39
ENSMUST00000117956	221.6474501	53.26	4.39
ENSMUST00000048128	221.6474501	53.26	4.39
ENSMUST00000119606	221.6474501	53.26	4.39
ENSMUST00000043624	99.36953808	74.13	4.4
ENSMUST00000116388	165.0752941	13.79	4.41
ENSMUST00000031984	597.1058264	20.48	4.41
ENSMUST00000022705	1187.196707	26.35	4.41
ENSMUST00000078308	132.9771689	13.83	4.42
ENSMUST00000059031	573.1975309	12.91	4.43
ENSMUST00000031805	201.0835073	21.99	4.43
ENSMUST00000095063	2108.675057	63.83	4.43
ENSMUST00000087951	394.1876076	22.39	4.44
ENSMUST00000067924	147.1367232	26.57	4.44
ENSMUST00000113814	450.3471002	53.7	4.44
ENSMUST00000008579	258.0933694	81.66	4.44
ENSMUST00000072775	1077.856597	89.37	4.44
ENSMUST00000022226	1077.856597	89.37	4.44
ENSMUST00000112940	864.2882883	18.49	4.45
ENSMUST00000009174	864.2882883	18.49	4.45
ENSMUST00000040577	559.2132353	40.84	4.46
ENSMUST00000070119	334.4401821	42.77	4.46
ENSMUST00000057037	334.4401821	42.77	4.46
ENSMUST00000096096	417.207947	21.5	4.47
ENSMUST00000116506	417.207947	21.5	4.47
ENSMUST00000111035	610.0619355	31	4.47
ENSMUST00000031728	610.0619355	31	4.47
ENSMUST00000091829	384.9050036	42.6	4.47
ENSMUST00000091828	384.9050036	42.6	4.47
ENSMUST00000038260	384.9050036	42.6	4.47
ENSMUST00000032627	12.58703072	65.89	4.47
ENSMUST00000094359	12.58703072	65.89	4.47
ENSMUST00000043966	620.4263666	142.73	4.47
ENSMUST00000023069	227.1772152	16.5	4.48
ENSMUST00000038434	1929.322917	33.95	4.48
ENSMUST00000105853	45.68101029	76.81	4.48
ENSMUST00000102484	492.4302839	35.33	4.49
ENSMUST00000047632	1110.316361	119.93	4.49
ENSMUST00000114043	1110.316361	119.93	4.49
ENSMUST00000064139	322.6174912	9.6	4.5
ENSMUST00000020444	8411.293956	13.62	4.5
ENSMUST00000025675	1085.534808	19.71	4.5
ENSMUST00000101504	985.990228	49.23	4.5
ENSMUST00000080517	985.990228	49.23	4.5
ENSMUST00000070953	750.1119067	78.92	4.5
ENSMUST00000030931	750.1119067	78.92	4.5
ENSMUST00000008043	454.294412	110.61	4.5
ENSMUST00000063694	454.294412	110.61	4.5
ENSMUST00000021803	770.2248062	32.61	4.51
ENSMUST00000026139	750.1119067	61.86	4.52
ENSMUST00000066921	1154.47449	148.8	4.52
ENSMUST00000037117	255.7607527	33.29	4.53
ENSMUST00000102824	3204.108911	182.38	4.53
ENSMUST00000088911	750.1119067	22.65	4.54
ENSMUST00000109381	750.1119067	22.65	4.54
ENSMUST00000023022	750.1119067	22.65	4.54
ENSMUST00000037644	17.12985075	29.59	4.54
ENSMUST00000023289	750.1119067	181.26	4.55
ENSMUST00000020930	2319.668429	19.38	4.56
ENSMUST00000030556	175.3937198	77.81	4.56
ENSMUST00000067632	129.3374384	112.78	4.56
ENSMUST00000106440	129.3374384	112.78	4.56
ENSMUST00000108807	750.1119067	26.59	4.57
ENSMUST00000029105	750.1119067	26.59	4.57
ENSMUST00000116366	750.1119067	26.59	4.57
ENSMUST00000089651	71.55222763	13.28	4.58
ENSMUST00000108101	255.2038934	6.39	4.59
ENSMUST00000100705	255.2038934	6.39	4.59
ENSMUST00000018792	255.2038934	6.39	4.59
ENSMUST00000057015	179.3417969	29.59	4.59
ENSMUST00000090583	179.3417969	29.59	4.59
ENSMUST00000045665	2781.862348	39.86	4.59
ENSMUST00000112166	2781.862348	39.86	4.59
ENSMUST00000086444	2781.862348	39.86	4.59
ENSMUST00000002048	3396.812877	67.18	4.59
ENSMUST00000023491	123.990566	13.17	4.61
ENSMUST00000018304	26.13790323	46.79	4.61
ENSMUST00000107545	26.13790323	46.79	4.61
ENSMUST00000092735	26.13790323	46.79	4.61
ENSMUST00000027464	2043.672878	96.76	4.61
ENSMUST00000048457	212.5208532	28.44	4.62
ENSMUST00000008280	616.0972127	32.98	4.62
ENSMUST00000050104	334.2938389	36.46	4.62
ENSMUST00000108253	4156.747573	134.39	4.62
ENSMUST00000029888	4156.747573	134.39	4.62
ENSMUST00000042493	1981.4189	26.28	4.63
ENSMUST00000043517	550.7356669	61.86	4.63
ENSMUST00000037035	299.5575411	62.2	4.63
ENSMUST00000029938	1079.792683	10.35	4.64
ENSMUST00000066134	1428.084184	107.19	4.64
ENSMUST00000099667	235.0817717	9.31	4.65
ENSMUST00000042410	3763.326696	13.79	4.65
ENSMUST00000013759	299.5638801	52.63	4.65
ENSMUST00000034303	600.4082474	16.73	4.66
ENSMUST00000052932	1008.002141	18.92	4.66
ENSMUST00000110356	1287.898891	36.25	4.66
ENSMUST00000110351	1287.898891	36.25	4.66
ENSMUST00000110352	1287.898891	36.25	4.66
